nuts,January Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,32.97011
DE60,32.699898
DE71,34.796516
DE72,35.16726
DE73,33.619137
DE80,27.078098
DE91,30.565487
BG41,32.899635
BG42,40.41884
CH01,68.56202
AT32,45.8657
AT33,49.715706
AT34,60.420174
BE10,30.91697
BE23,31.3248
BE24,31.899006
BE25,31.89154
BE31,32.36391
BE32,35.114773
BE33,39.597015
BE34,44.26226
BE35,38.713512
BG31,32.072906
BG32,35.35016
BG33,32.76403
BG34,34.78381
DE92,32.32731
DE93,32.490543
DE94,35.394215
CZ07,24.113527
CZ08,24.765379
AL01,78.495865
AL02,62.6125
AL03,61.389957
AT11,22.464012
AT12,28.449612
AT13,22.89125
AT21,36.27155
AT22,34.01709
AT31,44.057014
DK05,31.916265
BE21,31.879206
BE22,34.435165
ES43,39.0684
ES51,31.00216
ES52,22.37501
ES53,25.798365
ES61,32.263844
ES62,18.855587
ES63,46.20682
ES64,21.486776
CH02,59.111725
CH03,44.94697
CH04,46.364403
CH05,49.34334
CH06,60.51684
CH07,55.07255
CY00,37.16842
CZ01,21.753326
CZ02,23.924952
CZ03,29.670565
CZ04,28.693663
CZ05,28.39787
CZ06,22.48689
DE40,25.718489
EL53,39.78475
EL54,73.252525
EL61,55.044315
EL62,71.62491
EL63,63.850792
ES70,8.675236
ITC1,49.690052
ITC2,63.098083
DE11,39.226353
DE12,43.03546
DE13,46.492317
DE14,39.97964
DE21,41.112442
DE22,38.266117
DE23,37.16126
DE24,36.261234
DE25,36.430565
DE26,36.477154
DE27,42.95885
DE30,25.580513
EL42,46.71025
LV00,24.005903
ME00,79.57918
MK00,36.053387
MT00,37.55796
NL11,35.66716
NL12,35.51428
EL64,52.67614
EL65,51.336468
ES11,75.62692
ES12,58.58604
ES13,48.693867
ES21,51.98086
ES22,41.062576
ES23,31.138626
ES24,24.974821
ES30,26.97718
IE05,42.553196
IE06,35.300434
IS00,60.880306
ITC3,56.324127
FI19,22.610464
FI1B,26.830376
FI1C,24.74051
DEA1,37.039597
DEA2,39.06379
DEA3,35.30859
DEA4,34.50518
DEA5,43.161587
DEB1,35.60098
DEB2,40.016975
DEB3,32.70242
DEC0,41.65824
DED2,29.422943
DED4,33.518715
DED5,26.354233
DEE0,25.04713
DEF0,32.42829
DEG0,29.77189
