nuts,August Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,35.700443
DE60,37.655796
DE71,32.791042
DE72,34.01835
DE73,36.46989
DE80,34.51354
DE91,36.13605
BG41,31.841469
BG42,25.317175
CH01,59.314354
AT32,67.0962
AT33,70.14751
AT34,70.317276
BE10,30.512543
BE23,34.78067
BE24,31.519753
BE25,33.12385
BE31,30.913935
BE32,30.645514
BE33,34.932728
BE34,33.079082
BE35,32.92335
BG31,34.11469
BG32,31.876263
BG33,25.398144
BG34,23.726933
DE92,37.56775
DE93,35.99584
DE94,35.447666
CZ07,42.175724
CZ08,46.171883
AL01,26.52559
AL02,19.567589
AL03,13.721465
AT11,38.11849
AT12,45.040077
AT13,37.32827
AT21,60.666824
AT22,56.071587
AT31,57.61764
DK05,39.730698
BE21,31.718039
BE22,32.83611
ES43,5.628998
ES51,31.77274
ES52,13.6701355
ES53,11.434814
ES61,4.3880706
ES62,6.723446
ES63,6.8954086
ES64,4.677064
CH02,61.969162
CH03,57.228554
CH04,54.722343
CH05,64.210785
CH06,75.96197
CH07,83.99217
CY00,0.54247344
CZ01,40.327244
CZ02,40.728592
CZ03,46.476902
CZ04,40.965176
CZ05,42.713406
CZ06,40.616173
DE40,33.956196
EL53,17.910625
EL54,12.8473835
EL61,18.701567
EL62,7.7218366
EL63,9.422325
ES70,1.1471494
ITC1,52.268883
ITC2,49.215836
DE11,35.390858
DE12,35.245804
DE13,42.877193
DE14,48.74713
DE21,60.79224
DE22,48.231823
DE23,39.824318
DE24,36.22316
DE25,36.579937
DE26,31.895523
DE27,56.509617
DE30,32.007107
EL42,0.5172954
LV00,39.99932
ME00,30.045012
MK00,21.202747
MT00,2.391781
NL11,38.832462
NL12,38.5771
EL64,11.176509
EL65,6.4359384
ES11,21.332052
ES12,29.783966
ES13,30.872656
ES21,29.562923
ES22,30.61559
ES23,22.68291
ES24,24.199589
ES30,10.157383
IE05,38.528633
IE06,36.366295
IS00,46.50872
ITC3,30.358105
FI19,40.246216
FI1B,38.695393
FI1C,39.042286
DEA1,35.309338
DEA2,36.693077
DEA3,32.765118
DEA4,38.781616
DEA5,40.22484
DEB1,33.105183
DEB2,31.067911
DEB3,30.568268
DEC0,30.663504
