nuts,October Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,33.729374
DE60,38.998745
DE71,37.965607
DE72,36.438652
DE73,35.693825
DE80,30.36224
DE91,33.99565
BG41,35.459435
BG42,36.22986
CH01,70.30241
AT32,60.654583
AT33,61.171825
AT34,63.261276
BE10,34.212307
BE23,35.004555
BE24,34.989464
BE25,38.862637
BE31,35.895184
BE32,35.53751
BE33,38.44969
BE34,42.411385
BE35,37.443226
BG31,34.933617
BG32,36.111576
BG33,35.527775
BG34,37.935085
DE92,34.0438
DE93,35.986942
DE94,39.04308
CZ07,32.93461
CZ08,33.773777
AL01,83.71286
AL02,65.68442
AL03,67.11972
AT11,39.72179
AT12,36.128372
AT13,32.59721
AT21,72.56847
AT22,49.797558
AT31,48.35418
DK05,44.277496
BE21,35.510918
BE22,36.99295
ES43,30.248913
ES51,39.317493
ES52,31.495321
ES53,32.388447
ES61,24.089863
ES62,21.181147
ES63,28.30491
ES64,15.768337
CH02,63.521374
CH03,55.262913
CH04,53.108593
CH05,64.09907
CH06,72.12442
CH07,100.129906
CY00,14.559565
CZ01,28.832415
CZ02,29.965837
CZ03,34.92867
CZ04,31.005947
CZ05,31.736858
CZ06,30.860214
DE40,27.359661
EL53,36.61184
EL54,80.56504
EL61,45.938446
EL62,92.549255
EL63,63.038128
ES70,5.574997
ITC1,77.37911
ITC2,67.70643
DE11,41.87248
DE12,44.30401
DE13,50.058594
DE14,47.203545
DE21,49.996944
DE22,43.65113
DE23,40.612713
DE24,37.92649
DE25,38.838036
DE26,39.11737
DE27,49.181393
DE30,27.673018
EL42,24.94973
LV00,38.211075
ME00,87.34971
MK00,36.018166
MT00,30.047108
NL11,41.59336
NL12,49.40284
EL64,39.7389
EL65,36.84601
ES11,60.739273
ES12,50.451595
ES13,41.213223
ES21,42.69393
ES22,37.36945
ES23,27.777779
ES24,31.579445
ES30,27.923454
IE05,50.24696
IE06,42.947277
IS00,72.05066
ITC3,75.777084
FI19,34.573467
FI1B,38.477562
FI1C,36.017803
DEA1,40.970055
DEA2,40.281067
DEA3,38.496468
DEA4,37.646458
DEA5,42.041836
DEB1,36.75085
DEB2,40.566242
DEB3,39.37488
DEC0,42.588135
DED2,30.521181
DED4,33.443977
DED5,27.544146
DEE0,28.693825
DEF0,39.78869
DEG0,32.868595
DK01,36.99016
DK02,36.320457
DK03,39.633324
DK04,39.910923
ES41,28.743221
ES42,25.234217
HU23,38.692314
HU31,33.901443
HU32,33.6046
HU33,31.717207
IE04,51.973923
EE00,36.431946
EL30,28.823853
EL41,30.300058
EL43,22.303415
EL51,36.058212
EL52,36.672108
FI20,38.002174
FR10,35.504227
FRB0,38.595356
FRC1,47.32639
FRC2,59.97117
FRD1,40.412926
FRD2,39.040108
FRE1,39.612064
FRE2,37.159206
FRF1,48.711678
NL13,36.523266
NL21,37.85309
NL22,39.129738
NL23,42.371803
NL31,39.70194
NL32,50.994713
ITG2,33.700214
ITH1,61.193283
ITH2,75.02833
FRI3,41.106148
FRJ1,63.48012
FRJ2,47.625164
FRK1,52.013878
FRK2,64.62758
FRL0,56.691833
FRM0,47.528164
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,36.77428
TR32,33.65447
TR33,26.82668
HR03,87.196236
HR02,47.54507
HU11,33.92249
HU12,34.78802
HU21,38.14406
HU22,40.443443
PT16,40.446075
PT17,27.113401
FRF2,43.06306
FRF3,46.330246
FRG0,37.671486
FRH0,40.067196
FRI1,46.209934
FRI2,51.25998
ITC4,72.78147
ITF1,50.13878
ITF2,48.02664
ITF3,65.95331
ITF4,44.520824
ITF5,41.186237
ITF6,54.464245
ITG1,40.110344
LT01,32.588924
LT02,36.446484
LU00,41.4135
PL22,35.128918
PL41,26.993689
PL42,31.075888
PT18,25.507626
PT20,0.0
PT30,0.0
RO11,37.572357
RO12,36.325157
RO21,34.024532
RO22,36.17767
RO31,36.47303
RO32,36.950405
ITH3,75.15112
ITH4,94.90147
ITH5,62.068913
ITI1,65.87792
ITI2,51.214767
ITI3,45.423676
ITI4,69.968216
LI00,72.2927
FI1D,32.383156
TR82,39.427902
TR83,36.153908
TR90,66.20268
TRA1,40.808273
TRA2,42.678154
PL43,27.2959
PL51,29.372282
PL52,31.34537
PL61,27.197353
PL62,32.70146
PL63,31.406284
PL71,29.484587
PL72,29.131792
PL81,28.113678
PL82,34.880955
PL84,28.968983
PL91,29.219757
PL92,28.392012
PT11,52.83136
PT15,21.677534
TRB1,38.803123
TRB2,42.73249
TRC1,28.264362
RS12,33.080154
