nuts,September Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,31.589903
DE60,33.42471
DE71,33.96413
DE72,34.26529
DE73,32.673428
DE80,29.235165
DE91,31.357456
BG41,29.926853
BG42,31.016691
CH01,64.28518
AT32,61.499786
AT33,61.09209
AT34,63.030624
BE10,27.85215
BE23,29.838299
BE24,28.964062
BE25,31.063139
BE31,28.48968
BE32,28.578175
BE33,34.01523
BE34,35.872635
BE35,31.534416
BG31,34.29538
BG32,35.27347
BG33,36.442574
BG34,33.975254
DE92,29.798773
DE93,31.703646
DE94,33.853756
CZ07,38.92139
CZ08,41.622673
AL01,64.76211
AL02,49.48144
AL03,48.175846
AT11,41.679264
AT12,43.133717
AT13,42.434776
AT21,64.39637
AT22,53.585983
AT31,51.6702
DK05,35.913696
BE21,30.71613
BE22,30.7039
ES43,23.107925
ES51,41.787865
ES52,33.589832
ES53,29.19813
ES61,19.706587
ES62,25.488138
ES63,15.957338
ES64,15.819561
CH02,61.41213
CH03,54.3428
CH04,54.401367
CH05,62.921875
CH06,74.01528
CH07,103.160225
CY00,4.179923
CZ01,30.624538
CZ02,31.968071
CZ03,35.260117
CZ04,33.220993
CZ05,37.713108
CZ06,37.357533
DE40,27.59561
EL53,28.392017
EL54,48.753334
EL61,30.275324
EL62,49.774784
EL63,33.569725
ES70,4.782336
ITC1,70.4342
ITC2,63.97943
DE11,35.87812
DE12,38.420902
DE13,43.9919
DE14,45.063915
DE21,48.15935
DE22,38.21099
DE23,35.385952
DE24,33.837624
DE25,32.547653
DE26,33.040257
DE27,46.9804
DE30,26.789186
EL42,7.3884296
LV00,31.643848
ME00,73.37006
MK00,29.585993
MT00,25.84925
NL11,38.007557
NL12,42.091908
EL64,23.409924
EL65,17.293058
ES11,42.000534
ES12,40.65765
ES13,37.861404
ES21,31.368021
ES22,33.410282
ES23,23.585333
ES24,30.165707
ES30,18.327194
IE05,39.21898
IE06,34.39824
IS00,60.885563
ITC3,62.608692
FI19,30.27811
FI1B,33.061954
FI1C,31.07375
DEA1,33.241127
DEA2,36.307865
DEA3,32.473385
DEA4,31.79747
DEA5,36.60727
DEB1,34.071712
DEB2,33.524162
DEB3,33.16847
DEC0,35.598713
DED2,34.235943
DED4,34.441376
DED5,30.54156
DEE0,30.526474
DEF0,33.971836
DEG0,31.973127
DK01,33.376503
DK02,31.31937
DK03,35.531307
DK04,35.853565
ES41,23.70326
ES42,21.05966
HU23,33.76946
HU31,32.225487
HU32,33.69027
HU33,32.72474
IE04,42.929905
EE00,32.783157
EL30,10.947313
EL41,12.876352
EL43,10.385375
EL51,24.550873
EL52,31.232216
FI20,30.026394
FR10,26.04602
FRB0,28.9937
FRC1,39.029564
FRC2,51.82649
FRD1,29.618464
FRD2,27.963202
FRE1,28.945753
FRE2,27.485949
FRF1,42.666508
NL13,32.855236
NL21,32.078365
NL22,31.293352
NL23,35.54544
NL31,33.712303
NL32,42.473236
ITG2,25.733137
ITH1,52.09725
ITH2,63.670063
FRI3,31.33488
FRJ1,44.742878
FRJ2,40.42518
FRK1,43.553406
FRK2,51.64224
FRL0,42.454456
FRM0,34.12607
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,14.168283
TR32,12.512317
TR33,12.395293
HR03,65.41298
HR02,44.965767
HU11,30.031704
HU12,31.139467
HU21,32.52814
HU22,37.188065
PT16,28.723644
PT17,17.86987
FRF2,35.315006
FRF3,41.018253
FRG0,27.945887
FRH0,29.488615
FRI1,38.951794
FRI2,39.637142
ITC4,65.86287
ITF1,42.119736
ITF2,36.892906
ITF3,46.271954
ITF4,30.536842
ITF5,29.228582
ITF6,38.51925
ITG1,32.912952
LT01,30.462868
LT02,30.970219
LU00,35.627914
PL22,39.882786
PL41,28.745052
PL42,29.427322
PT18,18.105267
PT20,0.0
PT30,0.0
RO11,41.44999
RO12,37.82457
RO21,36.415928
RO22,32.383793
RO31,35.116356
RO32,35.306244
ITH3,67.304405
ITH4,88.26809
ITH5,53.876804
ITI1,54.81835
ITI2,47.14784
ITI3,42.52145
ITI4,53.866978
LI00,73.63826
FI1D,30.137554
TR82,28.564655
TR83,23.472263
TR90,56.00677
TRA1,19.380863
TRA2,31.483099
PL43,28.496843
PL51,33.506084
PL52,36.973827
PL61,29.091303
PL62,32.786213
PL63,30.888031
PL71,31.522419
PL72,33.48131
PL81,35.60688
PL82,39.978916
PL84,31.805975
PL91,32.432213
PL92,32.341385
PT11,36.74029
PT15,15.304429
TRB1,10.373884
TRB2,10.974002
TRC1,5.517755
RS12,32.840885
RS21,35.65238
RS22,31.063046
SE11,29.027195
SE12,30.15323
NL33,37.55074
NL34,32.477028
NL41,31.633146
NL42,31.15699
PL21,40.549957
UKM6,50.43015
TR22,18.293262
TRC2,4.5993567
TRC3,3.5989528
UKC1,29.474033
UKC2,29.67178
UKD1,43.798016
UKD3,37.555225
UKD4,43.778763
UKD6,32.92647
UKD7,38.89993
UKE1,29.06588
UKE2,31.805292
UKE3,28.445932
RO41,37.148296
RO42,39.361694
RS11,31.96542
TR41,18.467958
TR42,31.211231
TR51,9.928006
TR52,8.556235
TR61,14.465367
TR62,16.45003
TR63,11.779164
TR71,9.934823
TR72,13.296951
TR81,39.391125
UKK1,29.184397
UKK2,32.136868
UKK3,33.634304
UKK4,33.385548
UKL1,40.523907
UKL2,35.244144
UKM5,37.825844
UKM7,41.093822
UKM8,48.140877
UKM9,43.278034
UKN0,37.94121
SE21,31.37701
SE22,32.304714
SE23,37.82532
SE31,35.82398
SE32,37.510574
SE33,37.017765
SI03,58.867935
SI04,75.92397
SK01,38.8994
SK02,36.16888
SK03,38.266052
SK04,37.133064
TR10,30.674513
TR21,22.337988
UKE4,32.73944
UKF1,28.541967
UKF2,27.493837
UKF3,28.575508
UKG1,29.788118
UKG2,29.237015
UKG3,29.031902
