nuts,Summer Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,50.971867
DE60,55.589867
DE71,46.83007
DE72,49.69369
DE73,49.54521
DE80,48.059605
DE91,47.65784
BG41,54.3688
BG42,52.12487
CH01,85.448166
AT32,95.838326
AT33,94.995735
AT34,99.840706
BE10,46.903656
BE23,45.11504
BE24,45.943737
BE25,44.75632
BE31,46.2431
BE32,46.53135
BE33,51.763477
BE34,49.244102
BE35,47.448414
BG31,57.79333
BG32,58.90195
BG33,47.506016
BG34,46.989483
DE92,47.797817
DE93,49.663345
DE94,49.8688
CZ07,67.00732
CZ08,71.59597
AL01,54.477737
AL02,41.98414
AL03,31.865429
AT11,59.764774
AT12,68.4963
AT13,60.169807
AT21,85.066986
AT22,80.60222
AT31,82.12336
DK05,47.39096
BE21,44.643444
BE22,46.553837
ES43,16.611717
ES51,46.885677
ES52,28.020601
ES53,16.389124
ES61,12.51524
ES62,16.289219
ES63,9.401608
ES64,8.71369
CH02,85.714386
CH03,77.77918
CH04,78.14342
CH05,91.78066
CH06,106.22277
CH07,124.64955
CY00,4.276461
CZ01,56.33962
CZ02,56.914474
CZ03,61.43561
CZ04,53.233746
CZ05,58.543785
CZ06,60.317856
DE40,48.95028
EL53,28.978151
EL54,26.344858
EL61,31.460617
EL62,17.240683
EL63,21.921412
ES70,2.223836
ITC1,80.54069
ITC2,76.17787
DE11,51.565422
DE12,51.802284
DE13,60.88546
DE14,70.61362
DE21,81.97246
DE22,63.676586
DE23,55.066734
DE24,49.867386
DE25,51.257748
DE26,47.25672
DE27,76.849174
DE30,49.440327
EL42,2.629952
LV00,55.109604
ME00,57.143105
MK00,40.0856
MT00,5.4200215
NL11,49.97912
NL12,51.222515
EL64,21.811287
EL65,12.14983
ES11,41.544186
ES12,55.072327
ES13,51.57076
ES21,52.09146
ES22,51.35938
ES23,45.2836
ES24,42.32889
ES30,23.534878
IE05,46.339733
IE06,44.846428
IS00,56.25796
ITC3,48.17737
FI19,50.22109
FI1B,49.082466
FI1C,50.30018
DEA1,48.415318
DEA2,51.809166
DEA3,47.899998
DEA4,48.424557
DEA5,52.137527
DEB1,47.751244
DEB2,46.29769
DEB3,44.38825
DEC0,47.487354
DED2,58.41897
DED4,57.13327
DED5,46.98689
DEE0,45.450684
DEF0,50.55689
DEG0,48.118126
DK01,50.181973
DK02,49.427486
DK03,48.592426
DK04,46.118164
ES41,32.291237
ES42,23.07306
HU23,55.755775
HU31,57.675323
HU32,54.177856
HU33,51.082462
IE04,48.753284
EE00,53.98392
EL30,6.859815
EL41,6.708505
EL43,6.4324946
EL51,33.669933
EL52,42.834
FI20,44.9848
FR10,41.055943
FRB0,41.974415
FRC1,50.457314
FRC2,64.154335
FRD1,42.3464
FRD2,43.24748
FRE1,42.45184
FRE2,42.87519
FRF1,55.179153
NL13,47.614117
NL21,46.848217
NL22,47.177525
NL23,47.66062
NL31,47.532475
NL32,51.8256
ITG2,17.986938
ITH1,80.03791
ITH2,86.48057
FRI3,41.820488
FRJ1,50.589657
FRJ2,58.022694
FRK1,54.76
FRK2,64.71748
FRL0,45.259396
FRM0,31.773191
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,10.887687
TR32,13.8094845
TR33,20.56713
HR03,60.653206
HR02,63.65443
HU11,53.975006
HU12,55.66661
HU21,56.346508
HU22,57.66408
PT16,21.013632
PT17,10.346237
FRF2,48.37804
FRF3,50.038605
FRG0,39.93068
FRH0,38.4327
FRI1,54.780853
FRI2,56.31313
ITC4,80.310425
ITF1,50.818573
ITF2,41.35234
ITF3,30.83438
ITF4,25.162546
ITF5,27.550817
ITF6,25.393953
ITG1,14.342215
LT01,57.264923
LT02,55.9999
LU00,47.30191
PL22,66.776474
PL41,55.411846
PL42,52.816864
PT18,12.531548
PT20,0.0
PT30,0.0
RO11,65.47776
RO12,71.50847
RO21,64.33321
RO22,50.608727
RO31,64.980705
RO32,66.33232
ITH3,78.01103
ITH4,94.48064
ITH5,59.51123
ITI1,45.69492
ITI2,44.63899
ITI3,49.812016
ITI4,40.802097
LI00,116.351715
FI1D,51.844273
TR82,39.533047
TR83,32.94569
TR90,60.66417
TRA1,37.60152
TRA2,50.12261
PL43,53.0239
PL51,60.108196
PL52,63.65386
PL61,54.05237
PL62,51.561436
PL63,53.76749
PL71,56.562492
PL72,59.490368
PL81,62.035294
PL82,65.07021
PL84,53.64782
PL91,54.08771
PL92,54.269653
PT11,33.420162
PT15,6.668072
TRB1,19.693125
TRB2,26.697144
TRC1,9.135684
RS12,52.645992
RS21,53.762566
RS22,50.831985
SE11,47.44069
SE12,50.92637
NL33,48.799324
NL34,46.913113
NL41,45.225845
NL42,45.99016
PL21,71.3761
UKM6,53.89844
TR22,19.772442
TRC2,7.3518643
TRC3,5.7004943
UKC1,44.28238
UKC2,44.295532
UKD1,52.868206
UKD3,46.874073
UKD4,49.666706
