nuts,March Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,26.687094
DE60,26.891064
DE71,30.51832
DE72,30.724508
DE73,30.545397
DE80,23.421501
DE91,28.035915
BG41,37.38812
BG42,39.62179
CH01,57.62325
AT32,49.394165
AT33,49.174187
AT34,53.76057
BE10,29.158348
BE23,28.034893
BE24,29.714725
BE25,26.9906
BE31,31.111952
BE32,30.664198
BE33,35.373123
BE34,36.911602
BE35,34.36058
BG31,32.29234
BG32,29.690033
BG33,28.776075
BG34,32.76035
DE92,27.83268
DE93,26.272417
DE94,27.711702
CZ07,27.599089
CZ08,28.818216
AL01,71.9785
AL02,56.823597
AL03,56.270107
AT11,26.829197
AT12,28.448498
AT13,24.78313
AT21,44.585026
AT22,36.55401
AT31,42.7911
DK05,23.117716
BE21,29.79627
BE22,31.33822
ES43,30.367352
ES51,35.70354
ES52,25.446053
ES53,20.662687
ES61,33.698177
ES62,25.556026
ES63,37.97122
ES64,23.835564
CH02,50.552963
CH03,43.292767
CH04,44.203075
CH05,48.548817
CH06,55.947647
CH07,60.36648
CY00,22.35526
CZ01,21.110222
CZ02,22.723618
CZ03,28.31327
CZ04,24.758165
CZ05,27.84613
CZ06,24.647835
DE40,22.835138
EL53,38.01462
EL54,63.243954
EL61,44.95632
EL62,51.418896
EL63,53.977222
ES70,7.5509644
ITC1,54.545547
ITC2,59.323074
DE11,34.768436
DE12,38.014175
DE13,42.235947
DE14,38.7111
DE21,41.41509
DE22,36.06427
DE23,32.20789
DE24,31.007095
DE25,31.13292
DE26,31.757446
DE27,41.331947
DE30,22.492546
EL42,33.27626
LV00,20.981186
ME00,74.539536
MK00,36.349022
MT00,19.418653
NL11,25.675455
NL12,26.262177
EL64,45.743965
EL65,43.075226
ES11,51.812023
ES12,47.067276
ES13,42.13736
ES21,44.295357
ES22,36.161064
ES23,27.297968
ES24,25.44714
ES30,26.055536
IE05,33.605904
IE06,29.265234
IS00,58.15564
ITC3,51.56528
FI19,18.010462
FI1B,19.253296
FI1C,19.02647
DEA1,32.8939
DEA2,34.438778
DEA3,31.839104
DEA4,31.190132
DEA5,36.923054
DEB1,30.93226
DEB2,32.55236
DEB3,29.36379
DEC0,34.743927
DED2,26.684437
DED4,28.222954
DED5,23.941221
DEE0,23.283367
DEF0,25.795431
DEG0,27.083712
DK01,21.135704
DK02,21.34147
DK03,24.922958
DK04,23.35525
ES41,26.94747
ES42,27.01571
HU23,28.345692
HU31,23.919119
HU32,25.124939
HU33,24.270508
IE04,35.627438
EE00,19.392836
EL30,32.32975
EL41,39.628334
EL43,29.852198
EL51,41.41449
EL52,36.330288
FI20,16.136227
FR10,26.846638
FRB0,27.029686
FRC1,32.92388
FRC2,48.54967
FRD1,30.85796
FRD2,29.214746
FRE1,29.246284
FRE2,29.237597
FRF1,39.54573
NL13,25.781443
NL21,29.221575
NL22,31.420998
NL23,28.142092
NL31,29.893248
