nuts,November Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,28.70819
DE60,30.820597
DE71,31.799467
DE72,32.311886
DE73,31.944586
DE80,23.813341
DE91,28.725897
BG41,33.850266
BG42,39.168285
CH01,67.847786
AT32,51.604546
AT33,53.716084
AT34,60.049393
BE10,29.737282
BE23,29.820807
BE24,30.745392
BE25,30.796658
BE31,30.942762
BE32,31.095552
BE33,35.4084
BE34,37.14467
BE35,34.357132
BG31,30.442535
BG32,32.459133
BG33,31.725508
BG34,37.08657
DE92,28.111252
DE93,28.34101
DE94,32.03234
CZ07,27.113075
CZ08,28.237087
AL01,96.102806
AL02,70.08015
AL03,80.624794
AT11,30.666878
AT12,28.51965
AT13,26.11573
AT21,62.219566
AT22,41.156296
AT31,38.245537
DK05,32.03504
BE21,30.460022
BE22,32.18945
ES43,45.053062
ES51,43.699455
ES52,30.665236
ES53,35.451485
ES61,41.152767
ES62,24.488285
ES63,52.596485
ES64,25.915049
CH02,58.996864
CH03,44.49605
CH04,44.892544
CH05,61.116154
CH06,64.66507
CH07,96.006
CY00,30.961172
CZ01,21.367046
CZ02,22.829527
CZ03,26.356838
CZ04,25.818514
CZ05,27.309752
CZ06,24.614698
DE40,23.252966
EL53,45.813488
EL54,92.3867
EL61,54.673626
EL62,108.404686
EL63,82.55041
ES70,11.049426
ITC1,80.25458
ITC2,73.45741
DE11,35.101273
DE12,38.628983
DE13,43.314804
DE14,39.540005
DE21,38.23742
DE22,32.94018
DE23,32.48101
DE24,33.434326
DE25,32.660664
DE26,32.5568
DE27,41.47305
DE30,22.821394
EL42,38.712666
LV00,26.778978
ME00,101.69934
MK00,42.09137
MT00,39.248062
NL11,32.568314
NL12,37.226955
EL64,48.19118
EL65,55.245945
ES11,74.49414
ES12,60.515774
ES13,52.899277
ES21,57.131886
ES22,46.408226
ES23,33.854824
ES24,34.9703
ES30,37.74149
IE05,43.34709
IE06,35.483627
IS00,60.88146
ITC3,85.37554
FI19,26.364655
FI1B,32.45538
FI1C,28.870474
DEA1,34.812748
DEA2,36.914387
DEA3,32.828434
DEA4,32.449074
DEA5,41.010628
DEB1,32.023785
DEB2,33.22021
DEB3,30.717968
DEC0,36.758434
DED2,27.851418
DED4,31.172272
DED5,26.14979
DEE0,23.348333
DEF0,29.827394
DEG0,28.083817
DK01,29.330753
DK02,28.011375
DK03,30.111818
DK04,30.378885
ES41,40.066162
ES42,34.028603
HU23,31.246336
HU31,26.017704
HU32,25.853722
HU33,25.982565
IE04,46.790565
EE00,27.955732
EL30,35.746872
EL41,48.34522
EL43,34.44968
EL51,49.268753
EL52,45.509953
FI20,29.383034
FR10,29.010368
FRB0,30.310549
FRC1,41.22099
FRC2,55.10719
FRD1,36.392063
FRD2,32.997753
FRE1,32.96638
FRE2,31.60496
FRF1,39.942814
NL13,29.562151
NL21,31.152687
NL22,30.534924
NL23,32.570442
NL31,30.249722
NL32,37.71764
ITG2,40.858055
ITH1,57.61688
ITH2,73.15363
FRI3,37.86562
FRJ1,62.17131
FRJ2,48.776245
FRK1,42.61838
FRK2,60.85203
FRL0,60.138786
FRM0,58.115402
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,61.882862
TR32,56.502747
TR33,34.18152
HR03,84.89414
HR02,39.563168
HU11,27.184347
HU12,26.977104
HU21,30.34974
HU22,32.54556
PT16,60.169178
PT17,47.20566
FRF2,38.22861
FRF3,40.442665
FRG0,35.640846
FRH0,37.04653
FRI1,46.722694
FRI2,42.111256
ITC4,69.35909
ITF1,61.277176
ITF2,57.117306
ITF3,78.02671
ITF4,44.43885
ITF5,47.556004
ITF6,63.168335
ITG1,43.24527
LT01,22.7995
LT02,26.204283
LU00,34.981453
PL22,27.557652
PL41,21.037426
PL42,24.415585
PT18,43.053493
PT20,0.0
PT30,0.0
RO11,29.763378
RO12,26.072084
RO21,26.552464
RO22,28.797226
RO31,30.928516
RO32,31.904417
ITH3,70.3078
ITH4,99.059296
ITH5,55.854923
ITI1,65.25309
ITI2,56.135384
ITI3,50.828945
ITI4,74.55505
LI00,65.461914
FI1D,24.475803
TR82,39.000546
TR83,39.314644
TR90,61.113976
TRA1,43.566475
TRA2,43.279686
PL43,23.051744
PL51,25.534533
PL52,23.710518
PL61,19.76303
PL62,23.508156
PL63,24.30422
PL71,21.47775
PL72,22.16089
PL81,22.282791
PL82,26.700785
PL84,22.096039
PL91,22.534548
PL92,21.85606
PT11,71.013145
PT15,39.676228
TRB1,55.059147
TRB2,59.2818
