nuts,Autumn Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,40.55033
DE60,45.60105
DE71,44.63263
DE72,44.670803
DE73,42.839573
DE80,37.422115
DE91,41.265556
BG41,50.44836
BG42,57.36138
CH01,91.15726
AT32,79.15913
AT33,77.75752
AT34,80.548386
BE10,39.25662
BE23,40.70804
BE24,40.335835
BE25,43.79419
BE31,41.094837
BE32,40.99767
BE33,47.18555
BE34,49.683456
BE35,45.02349
BG31,49.54299
BG32,53.00672
BG33,52.83452
BG34,56.191757
DE92,39.675423
DE93,41.501034
DE94,45.259617
CZ07,46.70659
CZ08,48.836548
AL01,120.18828
AL02,90.575264
AL03,100.45152
AT11,51.146324
AT12,48.975582
AT13,48.97164
AT21,92.14486
AT22,64.841576
AT31,60.518272
DK05,46.09472
BE21,42.492287
BE22,43.12207
ES43,60.799007
ES51,75.781906
ES52,59.553654
ES53,52.041737
ES61,56.848732
ES62,46.862095
ES63,71.70297
ES64,39.2304
CH02,80.20793
CH03,64.902435
CH04,65.96041
CH05,87.11125
CH06,93.18656
CH07,146.68942
CY00,36.88142
CZ01,35.375717
CZ02,37.913128
CZ03,43.30871
CZ04,41.252625
CZ05,44.101894
CZ06,43.153625
DE40,34.66135
EL53,62.44438
EL54,115.84882
EL61,75.86758
EL62,121.94031
EL63,98.64112
ES70,18.180502
ITC1,118.21344
ITC2,104.71348
DE11,49.14289
DE12,53.4965
DE13,59.78441
DE14,54.9997
DE21,59.77987
DE22,49.08542
DE23,46.349087
DE24,46.007492
DE25,44.568752
DE26,46.45249
DE27,59.37698
DE30,33.65703
EL42,44.29829
LV00,39.911278
ME00,132.26443
MK00,55.316704
MT00,54.701576
NL11,48.75409
NL12,56.033188
EL64,64.65988
EL65,66.959175
ES11,91.345825
ES12,78.68444
ES13,68.48006
ES21,70.71116
ES22,64.75065
ES23,46.44617
ES24,53.593536
ES30,47.97502
IE05,56.327843
IE06,49.824913
IS00,82.00606
ITC3,117.15495
FI19,37.078453
FI1B,41.361423
FI1C,39.25984
DEA1,46.665257
DEA2,48.690945
DEA3,44.991947
DEA4,44.83893
DEA5,51.9637
DEB1,43.966305
DEB2,46.25145
DEB3,44.828533
DEC0,51.365475
DED2,42.908676
DED4,46.438545
DED5,38.290047
DEE0,38.017094
DEF0,45.77556
DEG0,41.624054
DK01,41.921608
DK02,40.924507
DK03,46.05998
DK04,45.122704
ES41,50.88047
ES42,47.89785
HU23,48.471146
HU31,43.31766
HU32,43.726406
HU33,42.409084
IE04,58.018494
EE00,40.70482
EL30,46.337536
EL41,57.70475
EL43,43.265064
EL51,64.588974
EL52,65.647804
FI20,39.517906
FR10,40.465645
FRB0,43.16566
FRC1,56.460804
FRC2,73.110695
FRD1,47.381664
FRD2,43.798145
FRE1,43.50206
FRE2,41.17576
FRF1,56.4441
NL13,42.83391
NL21,44.247593
NL22,43.649136
NL23,48.299606
NL31,45.27089
NL32,56.821827
ITG2,53.919422
ITH1,81.317856
ITH2,105.842636
FRI3,50.13169
FRJ1,97.07669
FRJ2,68.25462
FRK1,61.80263
FRK2,85.06214
FRL0,81.576744
FRM0,73.32283
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,67.58194
TR32,63.913517
TR33,41.019043
HR03,114.563805
HR02,62.072906
HU11,42.11065
HU12,43.227947
HU21,45.992992
HU22,49.129734
PT16,76.8036
PT17,57.250717
FRF2,50.37702
FRF3,54.921238
FRG0,46.22966
FRH0,49.913895
FRI1,64.52185
FRI2,61.127327
ITC4,103.14598
ITF1,76.79753
ITF2,72.619865
ITF3,96.26569
ITF4,62.260597
ITF5,62.4911
ITF6,83.46867
ITG1,60.497356
LT01,38.119354
LT02,39.45654
LU00,47.36598
PL22,46.05458
PL41,34.859833
PL42,36.19896
PT18,52.239395
PT20,0.0
PT30,0.0
RO11,50.39473
RO12,49.485676
RO21,48.54794
RO22,48.13483
RO31,50.224407
RO32,48.833153
ITH3,98.87987
ITH4,137.48705
ITH5,83.16269
ITI1,87.17629
ITI2,75.72671
ITI3,70.20188
ITI4,97.34618
LI00,89.66185
FI1D,36.21078
TR82,52.07052
TR83,49.41952
TR90,85.161644
TRA1,53.45383
TRA2,58.76597
PL43,34.99468
PL51,41.280045
PL52,41.58249
PL61,34.765488
PL62,40.08628
PL63,38.386322
PL71,36.783375
PL72,40.47289
PL81,40.41639
PL82,47.947792
PL84,36.937904
PL91,37.265087
PL92,37.075947
PT11,90.595726
PT15,53.390354
TRB1,61.492188
TRB2,65.17588
TRC1,51.579903
RS12,43.827225
RS21,51.30148
RS22,47.951607
SE11,37.77425
SE12,38.057602
NL33,50.518513
NL34,47.20799
NL41,43.20679
NL42,43.230186
PL21,49.23823
UKM6,68.54144
TR22,63.17435
TRC2,51.408394
TRC3,48.512215
UKC1,43.849113
UKC2,43.540634
UKD1,63.503742
UKD3,50.566124
UKD4,61.16372
UKD6,43.483643
UKD7,54.5392
UKE1,38.127724
UKE2,45.959053
UKE3,38.523235
RO41,53.076645
RO42,49.393803
RS11,45.054943
TR41,42.841732
TR42,57.260708
TR51,33.41374
TR52,37.306824
TR61,62.599762
TR62,65.27523
TR63,56.02562
TR71,35.782265
TR72,43.393093
TR81,67.156906
UKK1,42.954235
UKK2,49.388977
UKK3,53.802742
UKK4,51.568115
UKL1,63.83596
UKL2,52.706932
UKM5,54.035107
UKM7,58.376045
UKM8,68.27708
UKM9,60.150867
UKN0,52.781055
SE21,38.697315
SE22,40.071335
SE23,47.821247
SE31,44.612442
SE32,47.145718
SE33,45.360424
SI03,82.72591
SI04,113.26103
SK01,46.46766
SK02,45.71845
SK03,50.13219
SK04,47.164936
TR10,66.64644
TR21,60.857216
UKE4,44.725594
UKF1,37.93461
UKF2,37.836266
UKF3,37.222977
UKG1,41.285072
UKG2,42.10253
UKG3,39.942574
UKH1,39.39392
UKH2,36.277493
UKH3,36.853397
UKI3,35.72928
UKI4,35.72928
UKI5,35.299736
UKI6,37.74522
UKI7,36.184975
UKJ1,38.48165
UKJ2,48.161217
UKJ3,46.163963
UKJ4,42.937233
NO09,86.84845
NO0A,111.15844
NO0B,43.546303
HR05,64.277565
HR06,64.540886
NO02,54.111183
NO06,70.12998
NO07,60.80467
NO08,62.669914
