nuts,December Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,31.592035
DE60,33.483776
DE71,38.901833
DE72,39.305454
DE73,37.60984
DE80,27.506271
DE91,32.487854
BG41,35.750088
BG42,42.128063
CH01,73.0828
AT32,50.839874
AT33,50.49632
AT34,62.096397
BE10,34.02071
BE23,33.451134
BE24,35.531235
BE25,33.425438
BE31,35.349304
BE32,35.522087
BE33,42.71769
BE34,45.208088
BE35,41.533833
BG31,31.541395
BG32,31.391157
BG33,31.02166
BG34,36.320126
DE92,32.72878
DE93,31.095835
DE94,33.6448
CZ07,27.616533
CZ08,28.278008
AL01,91.99352
AL02,66.59599
AL03,73.28338
AT11,24.601995
AT12,26.342905
AT13,20.574224
AT21,43.06836
AT22,35.190258
AT31,42.75349
DK05,32.287422
BE21,35.740078
BE22,38.60466
ES43,42.868523
ES51,32.41177
ES52,25.269701
ES53,31.22358
ES61,38.33225
ES62,20.206678
ES63,49.20484
ES64,15.768663
CH02,64.540085
CH03,52.695282
CH04,52.50502
CH05,54.65848
CH06,65.72662
CH07,62.491592
CY00,44.263214
CZ01,23.875307
CZ02,25.482729
CZ03,29.858921
CZ04,29.156017
CZ05,29.645525
CZ06,22.72461
DE40,26.087662
EL53,44.681293
EL54,88.39708
EL61,64.23946
EL62,89.480606
EL63,75.85503
ES70,16.756372
ITC1,55.99502
ITC2,64.53583
DE11,42.73597
DE12,48.239357
DE13,53.7435
DE14,45.54012
DE21,42.48637
DE22,39.265327
DE23,41.16448
DE24,41.25644
DE25,39.899967
DE26,40.45336
DE27,47.309616
DE30,25.722935
EL42,47.68311
LV00,26.032719
ME00,91.719
MK00,40.384735
MT00,45.83749
NL11,34.991024
NL12,38.269154
EL64,59.19025
EL65,53.60378
ES11,73.8577
ES12,57.66172
ES13,46.877186
ES21,49.663483
ES22,39.321213
ES23,28.891174
ES24,26.74825
ES30,29.433813
IE05,45.09532
IE06,37.64154
IS00,64.794685
ITC3,63.468216
FI19,25.33963
FI1B,29.072723
FI1C,26.585743
DEA1,39.758873
DEA2,41.9128
DEA3,37.70899
DEA4,36.59931
DEA5,45.470814
DEB1,38.36872
DEB2,40.78324
DEB3,38.69279
DEC0,45.667683
DED2,30.317486
DED4,34.218742
DED5,30.335037
DEE0,27.334726
DEF0,32.90639
DEG0,32.74606
DK01,29.099451
DK02,28.795233
DK03,32.91935
DK04,30.819405
ES41,35.140255
ES42,29.693834
HU23,30.818424
HU31,24.751509
HU32,27.856274
HU33,26.650242
IE04,50.86239
EE00,26.359343
EL30,40.968254
EL41,61.554203
EL43,41.283985
EL51,49.439007
EL52,50.75067
FI20,26.81306
FR10,35.29933
FRB0,35.861652
FRC1,43.37413
FRC2,64.08038
FRD1,40.385887
FRD2,38.13714
FRE1,35.01692
FRE2,37.198254
FRF1,50.338223
NL13,32.109795
NL21,34.49497
NL22,34.41916
NL23,35.649876
NL31,34.70202
NL32,38.191753
ITG2,36.41874
ITH1,40.876755
ITH2,49.506535
FRI3,41.331806
FRJ1,45.440327
FRJ2,44.43863
FRK1,41.787033
FRK2,56.76531
FRL0,48.425625
FRM0,48.1219
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,62.080776
TR32,59.74332
TR33,35.92408
HR03,73.28441
HR02,38.19041
