nuts,December Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,34.395992
DE60,35.651978
DE71,41.724087
DE72,39.92792
DE73,37.94952
DE80,29.727938
DE91,35.524868
BG41,37.437122
BG42,46.072166
CH01,68.98825
AT32,51.477016
AT33,51.128548
AT34,60.956024
BE10,37.531548
BE23,36.450172
BE24,38.664364
BE25,36.94086
BE31,39.220688
BE32,40.443142
BE33,45.862667
BE34,47.746998
BE35,44.50178
BG31,37.041336
BG32,37.28567
BG33,33.837566
BG34,40.855927
DE92,36.609524
DE93,33.77204
DE94,37.243557
CZ07,30.277412
CZ08,30.157831
AL01,87.921814
AL02,64.07108
AL03,68.50402
AT11,27.874527
AT12,28.208551
AT13,24.882917
AT21,48.34237
AT22,39.21508
AT31,43.8986
DK05,35.96094
BE21,39.461792
BE22,40.207863
ES43,38.63993
ES51,30.83774
ES52,25.809807
ES53,28.249743
ES61,36.04166
ES62,17.228138
ES63,44.566963
ES64,13.504537
CH02,61.55479
CH03,50.926975
CH04,51.13828
CH05,54.853275
CH06,60.251198
CH07,59.163322
CY00,35.55156
CZ01,24.643318
CZ02,26.82165
CZ03,31.478558
CZ04,31.38008
CZ05,31.242216
CZ06,25.304733
DE40,29.251406
EL53,48.67941
EL54,77.50595
EL61,63.714947
EL62,94.20935
EL63,68.44495
ES70,9.304369
ITC1,52.407413
ITC2,60.279465
DE11,44.856434
DE12,49.96228
DE13,54.42208
DE14,45.392918
DE21,43.467625
DE22,39.82092
DE23,41.076717
DE24,40.87801
DE25,39.687965
DE26,41.3942
DE27,46.4602
DE30,28.755129
EL42,47.565334
LV00,27.715729
ME00,96.27601
MK00,41.661015
MT00,43.64147
NL11,36.381454
NL12,41.029694
EL64,55.559277
EL65,49.701183
ES11,75.54392
ES12,54.76093
ES13,41.617764
ES21,45.3327
ES22,36.60202
ES23,28.057446
ES24,27.007385
ES30,28.55145
IE05,49.385715
IE06,40.31195
IS00,71.37882
ITC3,64.36617
FI19,26.555569
FI1B,31.438847
FI1C,29.695147
DEA1,41.015114
DEA2,44.551296
DEA3,39.78799
DEA4,39.488735
DEA5,46.639057
DEB1,41.078243
DEB2,43.980976
DEB3,39.68169
DEC0,48.952015
DED2,33.40393
DED4,36.384773
DED5,31.617577
DEE0,30.789862
DEF0,36.591866
DEG0,34.29191
DK01,32.896893
DK02,31.19599
DK03,35.741333
DK04,35.340393
ES41,35.568954
ES42,29.460308
HU23,33.071266
HU31,26.981644
HU32,29.671587
HU33,29.176022
IE04,53.90547
EE00,29.034445
EL30,37.625942
EL41,63.157993
EL43,40.521572
EL51,51.657406
EL52,52.903957
FI20,28.189322
FR10,35.40686
FRB0,37.27623
FRC1,44.37197
FRC2,64.66784
FRD1,44.623013
FRD2,39.06152
FRE1,41.0138
FRE2,39.148327
FRF1,51.08072
NL13,35.007572
NL21,38.25941
NL22,37.228195
NL23,38.39193
NL31,37.516235
NL32,41.286182
ITG2,36.498882
ITH1,46.498302
ITH2,50.159626
FRI3,42.90111
FRJ1,44.401043
FRJ2,39.458397
FRK1,39.660873
FRK2,54.53613
FRL0,46.890324
FRM0,52.29508
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,57.713146
TR32,53.973152
TR33,35.69693
HR03,74.81244
HR02,39.49744
HU11,28.187954
HU12,27.89212
HU21,31.034002
HU22,30.685545
PT16,54.69415
PT17,40.60488
FRF2,45.301445
FRF3,52.750137
FRG0,41.744408
FRH0,49.1532
FRI1,44.435318
FRI2,46.160164
ITC4,48.656918
ITF1,47.077286
ITF2,45.64444
ITF3,62.9956
ITF4,39.62045
ITF5,42.88984
ITF6,57.45488
ITG1,39.20345
LT01,28.192343
LT02,28.70025
LU00,45.282986
PL22,31.78817
PL41,27.150774
PL42,30.649376
PT18,36.776737
PT20,0.0
PT30,0.0
RO11,34.390694
RO12,30.586304
RO21,26.67611
RO22,29.35928
RO31,31.806938
RO32,33.61178
ITH3,48.958466
ITH4,72.12426
ITH5,45.45675
ITI1,53.592457
ITI2,48.43661
ITI3,42.010677
ITI4,61.1822
LI00,63.457535
FI1D,24.65545
TR82,46.6577
TR83,41.26067
TR90,55.2626
TRA1,39.351326
TRA2,44.177288
PL43,28.250948
PL51,29.991257
PL52,27.566133
PL61,25.614595
PL62,27.846674
PL63,28.279371
PL71,28.018991
PL72,26.112288
PL81,25.31086
PL82,29.7754
PL84,25.544834
PL91,26.003895
PL92,26.297909
PT11,68.399254
PT15,39.936172
TRB1,55.523365
TRB2,66.28088
TRC1,49.965702
RS12,29.898771
RS21,38.33546
RS22,35.662937
SE11,26.032904
SE12,27.420637
NL33,38.953564
NL34,36.77354
NL41,38.57204
NL42,39.59943
PL21,29.252317
UKM6,63.822517
TR22,49.785732
TRC2,48.958214
TRC3,43.73729
UKC1,37.181347
UKC2,37.042053
UKD1,61.426796
UKD3,46.07239
UKD4,56.66314
UKD6,38.138275
UKD7,46.072495
UKE1,30.961287
