nuts,October Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,30.90225
DE60,33.233105
DE71,36.527996
DE72,37.208485
DE73,33.228428
DE80,27.477554
DE91,30.215439
BG41,32.18737
BG42,34.988857
CH01,68.24794
AT32,60.84408
AT33,58.78368
AT34,59.0506
BE10,31.947634
BE23,33.130398
BE24,32.651844
BE25,34.3258
BE31,33.581406
BE32,35.251984
BE33,37.641968
BE34,40.092342
BE35,36.928364
BG31,30.58496
BG32,31.670156
BG33,34.365143
BG34,36.83329
DE92,32.312473
DE93,30.42718
DE94,35.225933
CZ07,30.840673
CZ08,32.370403
AL01,82.22766
AL02,60.995697
AL03,67.10322
AT11,36.763832
AT12,34.613266
AT13,31.081453
AT21,74.38088
AT22,51.146366
AT31,44.96425
DK05,40.86202
BE21,33.200806
BE22,33.929985
ES43,37.704872
ES51,52.06817
ES52,36.418404
ES53,33.903145
ES61,29.979832
ES62,22.570236
ES63,36.933453
ES64,18.089155
CH02,61.719
CH03,53.160564
CH04,51.033867
CH05,61.282024
CH06,67.875046
CH07,108.18748
CY00,15.715695
CZ01,27.15788
CZ02,28.086834
CZ03,31.006748
CZ04,30.746454
CZ05,30.321085
CZ06,27.74571
DE40,24.36025
EL53,39.007366
EL54,70.55454
EL61,47.89616
EL62,81.39108
EL63,55.679073
ES70,7.55772
ITC1,83.35446
ITC2,75.65118
DE11,40.77182
DE12,43.372063
DE13,47.92313
DE14,44.36261
DE21,46.144135
DE22,37.861378
DE23,35.23019
DE24,33.903564
DE25,35.554726
DE26,36.329376
DE27,45.566586
DE30,25.626608
EL42,22.281418
LV00,33.407513
ME00,89.38709
MK00,35.260033
MT00,34.700684
NL11,39.97126
NL12,46.651966
EL64,39.43422
EL65,35.380848
ES11,66.045135
ES12,51.771324
ES13,44.020763
ES21,42.897293
ES22,41.909733
ES23,28.188438
ES24,35.85056
ES30,30.484095
IE05,44.73595
IE06,36.958145
IS00,66.8486
ITC3,82.53754
FI19,32.18659
FI1B,35.289886
FI1C,33.416664
DEA1,36.10013
DEA2,37.756794
DEA3,34.57599
DEA4,33.61708
DEA5,40.42472
DEB1,36.82789
DEB2,39.4558
DEB3,36.50216
DEC0,43.61601
DED2,27.81478
DED4,32.094456
DED5,26.000696
DEE0,25.73017
DEF0,34.991524
DEG0,30.735079
DK01,34.21584
DK02,33.100132
DK03,37.7837
DK04,39.14166
ES41,33.08712
ES42,28.219822
HU23,36.311005
HU31,32.08547
HU32,30.444452
HU33,30.926004
IE04,48.659134
EE00,33.475937
EL30,27.514044
EL41,30.760052
EL43,21.965843
EL51,35.994385
EL52,40.092678
FI20,34.046684
FR10,34.500366
FRB0,37.173477
FRC1,44.52362
FRC2,56.657955
FRD1,40.101456
FRD2,37.966503
FRE1,36.262222
FRE2,35.872677
FRF1,46.71184
NL13,34.99182
NL21,34.604294
NL22,32.812195
NL23,37.919506
NL31,33.23961
NL32,44.294834
ITG2,37.10387
ITH1,66.78452
ITH2,83.15203
FRI3,42.561974
FRJ1,68.80602
FRJ2,48.183834
FRK1,47.56208
FRK2,61.282375
FRL0,58.360218
FRM0,49.809086
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,34.04159
TR32,29.546667
TR33,24.033274
HR03,85.238686
HR02,44.764225
HU11,32.17709
HU12,31.892693
HU21,33.281902
HU22,37.250526
PT16,48.912674
PT17,33.19484
FRF2,41.391426
FRF3,45.866356
FRG0,38.870445
FRH0,40.498596
FRI1,45.380424
FRI2,47.809593
ITC4,74.30832
ITF1,48.796307
ITF2,46.134933
ITF3,64.96936
ITF4,41.184116
ITF5,38.994865
ITF6,52.713833
ITG1,39.944366
LT01,29.920347
LT02,31.866192
LU00,40.10704
PL22,33.053852
PL41,23.339624
PL42,26.338282
PT18,31.472105
PT20,0.0
PT30,0.0
RO11,35.784443
RO12,31.565973
RO21,28.369967
RO22,29.036022
RO31,31.2051
RO32,32.438156
ITH3,77.05172
ITH4,103.94121
ITH5,56.9927
ITI1,62.09893
ITI2,50.75958
ITI3,41.83516
ITI4,70.30519
LI00,62.358055
FI1D,30.302147
TR82,38.467983
TR83,37.78264
TR90,67.47854
TRA1,38.17382
TRA2,42.541542
PL43,23.742918
PL51,28.177622
PL52,28.233656
PL61,24.13907
PL62,27.780254
PL63,29.321035
PL71,26.017061
PL72,26.937986
PL81,26.175938
PL82,32.425385
PL84,26.928131
PL91,24.878244
PL92,25.301157
PT11,60.888695
PT15,28.643103
TRB1,37.5097
TRB2,40.31985
TRC1,31.303139
RS12,33.3768
RS21,34.90466
RS22,30.229828
SE11,30.313934
SE12,30.803635
NL33,38.653393
NL34,36.33346
NL41,33.589176
NL42,33.567104
PL21,34.21774
UKM6,60.23687
TR22,41.527935
TRC2,30.222355
TRC3,22.279734
UKC1,32.913193
UKC2,34.031937
UKD1,53.100662
UKD3,43.9857
UKD4,54.368965
UKD6,36.562603
UKD7,45.40586
UKE1,30.044378
UKE2,35.488663
UKE3,31.40892
RO41,31.659521
RO42,34.949436
RS11,33.47967
TR41,30.770107
TR42,44.223038
TR51,22.153345
TR52,20.650164
TR61,30.353329
TR62,34.42921
TR63,32.462433
TR71,22.058523
TR72,28.530073
TR81,49.941364
UKK1,38.93961
UKK2,45.21383
UKK3,49.0796
UKK4,47.10215
UKL1,55.578968
UKL2,47.365803
UKM5,44.472454
UKM7,47.679478
UKM8,56.4945
UKM9,49.70379
UKN0,43.412014
SE21,30.663105
SE22,33.265694
SE23,40.574886
SE31,35.798195
SE32,37.65242
SE33,35.035656
SI03,63.244957
SI04,90.1944
SK01,29.284945
SK02,30.811556
SK03,35.221855
SK04,33.330204
TR10,53.808956
TR21,43.63863
UKE4,34.824673
UKF1,32.118797
UKF2,31.7542
UKF3,30.854258
UKG1,35.934494
UKG2,36.196682
UKG3,34.378796
UKH1,33.26274
UKH2,31.133211
UKH3,31.501602
UKI3,30.953547
UKI4,30.953547
UKI5,30.584288
UKI6,31.775133
UKI7,31.459558
UKJ1,34.283127
UKJ2,41.975174
UKJ3,42.224426
UKJ4,35.687553
NO09,70.16061
NO0A,92.556694
NO0B,36.608936
HR05,49.279644
HR06,48.68206
NO02,44.17817
NO06,59.456875
NO07,52.48591
NO08,51.572773
