nuts,December Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,33.314896
DE60,32.776077
DE71,37.300148
DE72,36.131077
DE73,34.665176
DE80,26.255283
DE91,33.35316
BG41,34.710327
BG42,40.74507
CH01,71.25822
AT32,51.76496
AT33,52.42489
AT34,61.832684
BE10,34.812862
BE23,33.698364
BE24,35.698776
BE25,34.25241
BE31,36.45363
BE32,36.461437
BE33,42.75733
BE34,44.232567
BE35,40.779655
BG31,28.22398
BG32,29.717552
BG33,29.790215
BG34,35.669235
DE92,34.351986
DE93,33.417953
DE94,35.097645
CZ07,25.204546
CZ08,25.665524
AL01,84.83182
AL02,61.725918
AL03,64.80606
AT11,23.329056
AT12,25.593151
AT13,22.539175
AT21,44.921055
AT22,35.16271
AT31,40.916855
DK05,30.550608
BE21,35.10451
BE22,37.300133
ES43,43.91138
ES51,29.986404
ES52,24.569923
ES53,28.888746
ES61,39.113453
ES62,19.0798
ES63,49.63743
ES64,16.408894
CH02,62.212757
CH03,47.98254
CH04,46.672085
CH05,56.02706
CH06,63.313335
CH07,60.235973
CY00,42.66085
CZ01,21.412498
CZ02,23.051575
CZ03,27.347275
CZ04,28.030993
CZ05,26.837437
CZ06,21.664642
DE40,26.459122
EL53,43.759228
EL54,81.37428
EL61,55.939117
EL62,84.363625
EL63,69.29755
ES70,12.768179
ITC1,53.64307
ITC2,62.425175
DE11,39.81984
DE12,44.2155
DE13,48.616356
DE14,41.95547
DE21,41.440464
DE22,35.79877
DE23,35.03809
DE24,36.087215
DE25,35.081512
DE26,36.560738
DE27,43.98783
DE30,26.054037
EL42,47.610806
LV00,24.244324
ME00,88.44877
MK00,39.209957
MT00,37.66249
NL11,33.677685
NL12,37.017727
EL64,52.173336
EL65,50.580334
ES11,74.10801
ES12,57.921417
ES13,46.333344
ES21,47.02376
ES22,37.840027
ES23,26.93562
ES24,25.455051
ES30,30.903437
IE05,43.63651
IE06,36.155117
IS00,61.866924
ITC3,64.65157
FI19,22.502565
FI1B,27.21562
FI1C,24.902521
DEA1,38.690643
DEA2,42.371086
DEA3,37.006836
DEA4,37.079056
DEA5,44.038532
DEB1,37.754177
DEB2,40.631607
DEB3,36.18654
DEC0,44.42191
DED2,29.95717
DED4,32.53896
DED5,28.474663
DEE0,27.715172
DEF0,31.945053
DEG0,30.76755
DK01,29.723352
DK02,28.718065
DK03,32.002544
DK04,30.679672
ES41,37.68577
ES42,30.506268
HU23,27.863647
HU31,22.711258
HU32,24.428917
HU33,24.955761
IE04,48.203
EE00,24.879913
EL30,39.05156
EL41,61.20302
EL43,42.661327
EL51,50.96264
EL52,49.41423
FI20,24.40487
FR10,33.88546
FRB0,33.293476
FRC1,40.635365
FRC2,59.499138
FRD1,39.272007
FRD2,34.962753
FRE1,36.253567
FRE2,34.229877
FRF1,46.265305
NL13,31.665598
NL21,35.885044
NL22,34.710873
NL23,36.297943
NL31,35.612503
NL32,38.24932
ITG2,34.02275
ITH1,41.771935
ITH2,51.232685
FRI3,38.66629
FRJ1,46.891838
FRJ2,42.84447
FRK1,39.971123
FRK2,55.84519
FRL0,46.46193
FRM0,47.91228
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,59.57495
TR32,57.618286
TR33,33.805035
HR03,67.864456
HR02,34.177837
HU11,24.273554
HU12,24.226051
HU21,25.85707
HU22,25.513933
PT16,59.017014
PT17,44.331497
FRF2,41.601482
FRF3,46.661808
FRG0,34.547386
FRH0,40.838337
FRI1,44.433
FRI2,46.017914
ITC4,47.92596
ITF1,45.64749
ITF2,42.129898
ITF3,62.465706
ITF4,34.269905
ITF5,38.03384
ITF6,52.911118
ITG1,36.01873
LT01,23.337425
LT02,24.920017
LU00,41.32677
PL22,25.708218
PL41,23.633709
PL42,28.125334
PT18,40.90069
PT20,0.0
PT30,0.0
RO11,32.47006
RO12,26.181377
RO21,23.010052
RO22,24.369497
RO31,26.088387
RO32,25.76303
ITH3,47.73816
ITH4,68.16084
ITH5,44.662792
ITI1,48.7365
ITI2,43.78986
ITI3,40.438915
ITI4,56.983234
LI00,63.659527
FI1D,20.670765
TR82,43.611626
TR83,38.583935
TR90,48.46456
TRA1,35.594448
TRA2,40.616226
PL43,25.409136
PL51,25.291216
PL52,22.67006
PL61,22.098251
PL62,24.145086
PL63,25.062471
PL71,23.070103
PL72,21.47473
PL81,21.91902
PL82,25.798094
PL84,21.759472
PL91,22.78926
PL92,22.042374
PT11,76.29385
PT15,42.01799
TRB1,53.845116
TRB2,65.12778
TRC1,55.290848
RS12,25.54893
RS21,32.43056
RS22,30.762766
SE11,23.452663
SE12,23.821848
NL33,36.172535
NL34,33.974747
NL41,34.317944
NL42,35.818794
PL21,24.877657
UKM6,56.927406
TR22,50.189545
TRC2,48.86349
TRC3,46.93064
UKC1,33.4432
UKC2,33.75115
UKD1,52.985806
UKD3,39.602962
UKD4,48.543648
UKD6,33.515198
UKD7,40.02539
UKE1,28.397268
UKE2,34.920033
UKE3,30.40981
RO41,31.63869
RO42,31.177317
RS11,26.647562
TR41,36.532986
TR42,46.09158
TR51,28.806574
TR52,33.423424
TR61,62.599464
TR62,65.7646
TR63,57.757336
TR71,31.822912
TR72,33.020824
TR81,50.60649
UKK1,33.652077
UKK2,39.09567
UKK3,41.471058
UKK4,40.65731
UKL1,48.97359
UKL2,41.331337
UKM5,34.181133
UKM7,44.82557
UKM8,53.53665
UKM9,46.85757
UKN0,40.19928
SE21,26.229813
SE22,27.357132
SE23,31.30099
SE31,25.109852
SE32,27.528248
SE33,27.447395
SI03,43.506474
SI04,60.879906
SK01,23.106728
SK02,25.423782
SK03,28.248596
SK04,24.998642
TR10,47.834957
TR21,41.65352
UKE4,35.161205
UKF1,28.933521
UKF2,26.211779
UKF3,25.443058
UKG1,29.6194
UKG2,31.27534
UKG3,28.780718
UKH1,26.743616
UKH2,26.82685
UKH3,27.851624
UKI3,29.03283
UKI4,29.03283
UKI5,27.9985
UKI6,29.926569
UKI7,27.876131
UKJ1,28.568441
UKJ2,37.62919
UKJ3,37.43536
UKJ4,31.71504
NO09,56.591053
NO0A,95.628716
NO0B,34.89839
HR05,35.13643
HR06,34.177773
NO02,32.51542
NO06,57.362225
NO07,45.97022
NO08,36.537003
