nuts,April Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,26.676302
DE60,26.027262
DE71,29.988415
DE72,29.527697
DE73,29.344002
DE80,24.603313
DE91,26.78645
BG41,36.275066
BG42,34.870457
CH01,61.374348
AT32,53.58773
AT33,52.984604
AT34,55.185837
BE10,25.587412
BE23,26.647541
BE24,26.302725
BE25,26.383032
BE31,26.298561
BE32,27.291567
BE33,31.626795
BE34,34.659634
BE35,30.91796
BG31,36.24404
BG32,32.43562
BG33,29.60391
BG34,31.169819
DE92,26.724258
DE93,25.246265
DE94,26.205982
CZ07,30.490242
CZ08,34.745697
AL01,57.874077
AL02,47.07067
AL03,41.007507
AT11,27.10122
AT12,32.79708
AT13,27.463203
AT21,49.87581
AT22,41.28626
AT31,45.17269
DK05,25.757612
BE21,26.30626
BE22,28.067945
ES43,28.669113
ES51,38.03095
ES52,32.32572
ES53,21.753014
ES61,25.55097
ES62,22.573912
ES63,30.224165
ES64,20.889494
CH02,53.478912
CH03,46.644722
CH04,47.527905
CH05,56.189884
CH06,62.25601
CH07,84.758736
CY00,12.283548
CZ01,24.290796
CZ02,26.500162
CZ03,31.726782
CZ04,27.573595
CZ05,27.45141
CZ06,26.050732
DE40,23.837423
EL53,33.580776
EL54,42.382305
EL61,36.881905
EL62,31.60271
EL63,38.688377
ES70,3.705499
ITC1,73.13553
ITC2,67.95416
DE11,35.79403
DE12,35.248856
DE13,41.019577
DE14,43.120674
DE21,46.989166
DE22,35.662292
DE23,32.17256
DE24,30.206951
DE25,31.77765
DE26,30.882257
DE27,45.35218
DE30,23.076508
EL42,15.887797
LV00,24.470327
ME00,62.242973
MK00,36.069496
MT00,12.080673
NL11,24.393715
NL12,23.387737
EL64,30.45791
EL65,25.824806
ES11,55.39014
ES12,52.50965
ES13,47.104267
ES21,45.976494
ES22,42.13347
ES23,35.355873
ES24,33.622845
ES30,30.827215
IE05,32.52874
IE06,29.458399
IS00,48.92981
ITC3,57.801975
FI19,20.73172
FI1B,19.925533
FI1C,20.094028
DEA1,28.088505
DEA2,30.017496
DEA3,26.235847
DEA4,28.573606
DEA5,32.2658
DEB1,29.089619
DEB2,30.969824
DEB3,28.781937
DEC0,32.916374
DED2,28.4385
DED4,30.560644
DED5,26.575294
DEE0,24.533674
DEF0,24.509249
DEG0,28.426003
DK01,22.33148
DK02,22.555132
DK03,25.224684
DK04,25.517138
ES41,32.67378
ES42,30.361628
HU23,27.766186
HU31,29.443296
HU32,29.751272
HU33,26.941896
IE04,33.395943
EE00,22.33989
EL30,18.278889
EL41,23.577293
EL43,15.750626
EL51,30.166203
EL52,31.72435
FI20,19.91415
FR10,28.732386
FRB0,32.24803
FRC1,39.256668
FRC2,49.244076
FRD1,30.926315
FRD2,30.56719
FRE1,27.539757
FRE2,28.898962
FRF1,37.514885
NL13,24.174538
NL21,25.632227
NL22,26.237528
NL23,25.68245
NL31,26.870872
NL32,24.52942
ITG2,32.50365
ITH1,48.216614
ITH2,55.104893
FRI3,35.416992
FRJ1,47.25496
FRJ2,45.103794
FRK1,41.894386
FRK2,51.921513
FRL0,48.76427
FRM0,39.22372
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,29.354795
TR32,26.792355
TR33,27.880356
HR03,53.692204
HR02,35.17164
HU11,27.215216
HU12,28.05395
HU21,27.784468
HU22,26.6988
PT16,38.11987
PT17,26.309849
FRF2,34.258587
FRF3,36.744457
FRG0,30.90198
FRH0,31.36541
FRI1,43.651894
FRI2,46.708717
ITC4,57.401608
ITF1,43.81437
ITF2,40.85432
ITF3,45.093204
ITF4,25.822296
ITF5,29.19205
ITF6,34.21291
ITG1,24.112217
LT01,28.673754
LT02,27.15957
LU00,33.01156
PL22,32.066658
PL41,22.779158
PL42,24.612503
PT18,26.30404
PT20,0.0
PT30,0.0
RO11,38.597713
RO12,39.66439
RO21,33.390312
RO22,27.126587
RO31,33.023228
RO32,32.779587
ITH3,50.214363
ITH4,63.139233
ITH5,45.281498
ITI1,43.00262
ITI2,43.05015
ITI3,40.846786
ITI4,43.36805
LI00,60.153034
FI1D,19.47147
TR82,38.934593
TR83,38.47565
TR90,49.2592
TRA1,43.095474
TRA2,41.850082
PL43,26.07252
PL51,27.601755
PL52,27.48623
PL61,23.279146
PL62,24.995634
PL63,24.201674
PL71,25.77289
PL72,30.740286
PL81,30.923433
PL82,35.95774
PL84,26.816618
PL91,27.491951
PL92,27.225807
PT11,49.63974
PT15,24.602964
TRB1,43.4368
TRB2,55.945187
TRC1,30.247532
RS12,31.213278
RS21,38.44274
RS22,37.921246
SE11,21.463575
SE12,24.492102
NL33,26.73626
NL34,26.750921
NL41,26.101011
NL42,27.109015
PL21,38.34266
UKM6,37.056717
TR22,30.698576
TRC2,33.35459
TRC3,30.261713
UKC1,29.450293
UKC2,28.878965
UKD1,35.157616
UKD3,31.46601
UKD4,34.218975
UKD6,27.520826
UKD7,29.10759
UKE1,26.5213
UKE2,29.990587
UKE3,29.082212
RO41,38.204903
RO42,39.184498
RS11,32.12441
TR41,29.28197
TR42,36.429104
TR51,25.192165
TR52,22.63157
TR61,30.45594
TR62,34.44521
TR63,37.545826
TR71,26.6579
TR72,35.945213
TR81,39.92342
UKK1,29.479668
UKK2,30.55119
UKK3,31.533463
UKK4,32.82283
UKL1,34.345684
UKL2,32.384403
