nuts,January Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,32.440693
DE60,32.800632
DE71,34.41125
DE72,34.56572
DE73,33.13257
DE80,26.63466
DE91,30.762663
BG41,30.090172
BG42,35.770657
CH01,69.30814
AT32,46.00014
AT33,46.163082
AT34,60.048283
BE10,31.46314
BE23,31.722666
BE24,32.050293
BE25,30.976002
BE31,32.722733
BE32,34.220154
BE33,39.718063
BE34,43.877525
BE35,38.104286
BG31,26.93554
BG32,30.23679
BG33,30.873375
BG34,32.69431
DE92,31.918203
DE93,31.172052
DE94,34.162838
CZ07,23.21556
CZ08,24.307713
AL01,76.549545
AL02,59.29931
AL03,55.587955
AT11,19.467854
AT12,25.037037
AT13,19.833092
AT21,32.408226
AT22,31.22732
AT31,41.603638
DK05,29.781473
BE21,33.01809
BE22,33.446903
ES43,36.932526
ES51,29.424173
ES52,24.791431
ES53,26.120388
ES61,32.64082
ES62,18.703674
ES63,41.908455
ES64,22.022062
CH02,60.030834
CH03,46.272095
CH04,47.945652
CH05,48.734222
CH06,60.094402
CH07,47.62234
CY00,38.29612
CZ01,19.391287
CZ02,21.838087
CZ03,27.361633
CZ04,25.899645
CZ05,26.23344
CZ06,20.443306
DE40,24.886051
EL53,38.126514
EL54,70.4214
EL61,50.976048
EL62,67.9853
EL63,65.965004
ES70,12.274587
ITC1,53.315296
ITC2,64.15493
DE11,38.052364
DE12,41.774612
DE13,47.366695
DE14,40.63574
DE21,38.645733
DE22,35.929665
DE23,34.872967
DE24,35.555557
DE25,34.304676
DE26,35.521526
DE27,40.648853
DE30,24.032442
EL42,46.67356
LV00,22.48988
ME00,75.73039
MK00,32.230453
MT00,36.550766
NL11,34.296196
NL12,35.134224
EL64,49.0193
EL65,48.16308
ES11,67.71307
ES12,55.13934
ES13,46.442924
ES21,49.31928
ES22,38.526974
ES23,28.19024
ES24,23.315828
ES30,27.559
IE05,41.3074
IE06,34.50551
IS00,61.553345
ITC3,55.466816
FI19,20.348295
FI1B,24.58891
FI1C,22.74967
DEA1,36.933365
DEA2,39.13023
DEA3,34.90241
DEA4,34.802193
DEA5,41.981667
DEB1,34.641277
DEB2,38.60122
DEB3,32.243637
DEC0,42.597317
DED2,27.276907
DED4,29.69835
DED5,25.500881
DEE0,24.61812
DEF0,32.019142
DEG0,28.825483
DK01,26.281485
DK02,25.873978
DK03,30.50016
DK04,28.323462
ES41,33.01842
ES42,25.563803
HU23,23.383934
HU31,19.462679
HU32,20.226168
HU33,19.381643
IE04,44.986546
EE00,23.017193
EL30,37.857613
EL41,53.22098
EL43,42.918694
EL51,41.558212
EL52,35.39305
FI20,21.629232
FR10,28.408491
FRB0,31.735325
FRC1,39.19264
FRC2,59.443245
FRD1,37.41714
FRD2,32.718636
FRE1,32.957127
FRE2,30.823202
FRF1,43.47366
NL13,32.873672
NL21,32.68109
NL22,32.537712
NL23,34.145252
NL31,32.807755
NL32,35.15819
ITG2,30.958275
ITH1,34.202335
ITH2,38.509388
FRI3,37.495773
FRJ1,47.941936
FRJ2,44.06969
FRK1,40.437943
FRK2,54.671387
FRL0,45.524776
FRM0,39.385452
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,57.838886
TR32,60.221333
TR33,35.222153
HR03,55.982628
HR02,33.200027
HU11,20.66753
HU12,20.523006
HU21,22.08233
HU22,21.399082
PT16,54.254704
PT17,39.61124
FRF2,39.349842
FRF3,44.979942
FRG0,35.54235
FRH0,38.95213
FRI1,43.228176
FRI2,46.145824
ITC4,38.333748
ITF1,44.40425
ITF2,41.953297
ITF3,54.689
ITF4,34.58041
ITF5,35.9656
ITF6,53.139824
ITG1,38.90534
LT01,22.135445
LT02,23.0228
LU00,40.452847
PL22,24.669615
PL41,22.189474
PL42,26.376303
PT18,34.787354
PT20,0.0
PT30,0.0
RO11,29.094822
RO12,24.235039
RO21,22.86408
RO22,28.834198
RO31,28.541334
RO32,28.562334
ITH3,38.136787
ITH4,50.075428
ITH5,38.29079
ITI1,39.71713
ITI2,37.294693
ITI3,35.191692
ITI4,47.356434
LI00,60.65685
FI1D,18.119593
TR82,35.535946
TR83,35.388996
TR90,48.53998
TRA1,37.039383
TRA2,40.671356
PL43,24.04385
PL51,24.910604
PL52,21.555296
PL61,20.425007
PL62,22.918964
PL63,23.575182
PL71,21.117775
PL72,18.814274
PL81,20.355743
PL82,23.552013
PL84,21.165333
PL91,21.222164
PL92,20.249426
PT11,65.17197
PT15,32.342995
TRB1,58.660988
TRB2,59.90803
TRC1,59.379917
RS12,22.847452
RS21,28.92301
RS22,28.587276
SE11,21.587904
SE12,22.369984
NL33,33.153965
NL34,31.257265
NL41,32.552315
NL42,33.699467
PL21,23.036758
UKM6,55.34847
TR22,47.743767
TRC2,51.004086
TRC3,41.87255
UKC1,33.958626
UKC2,34.064922
UKD1,49.32225
UKD3,38.4896
UKD4,45.942116
UKD6,31.147024
UKD7,35.160294
UKE1,27.64652
UKE2,35.005123
UKE3,28.591938
RO41,29.789146
RO42,30.065973
RS11,23.78724
TR41,33.76226
TR42,41.560436
TR51,27.327024
TR52,34.152668
TR61,63.892033
TR62,65.229355
TR63,58.897285
TR71,30.47417
TR72,33.308624
TR81,43.471844
UKK1,31.824568
UKK2,36.102795
UKK3,41.562183
UKK4,38.820946
UKL1,47.322495
UKL2,40.547153
UKM5,34.980812
UKM7,46.775036
UKM8,55.69211
UKM9,45.77263
UKN0,38.39122
SE21,23.3234
SE22,26.29053
SE23,29.825994
SE31,24.626432
SE32,26.20137
SE33,25.845058
SI03,34.19561
SI04,45.755207
SK01,19.224607
SK02,23.522861
SK03,26.895464
SK04,22.517584
TR10,42.81931
TR21,37.646553
UKE4,34.485424
UKF1,28.385029
UKF2,25.536379
UKF3,24.861185
UKG1,29.208292
UKG2,29.983597
UKG3,28.058119
UKH1,26.208931
UKH2,26.243538
UKH3,26.991405
UKI3,27.518696
UKI4,27.518696
UKI5,26.71915
UKI6,28.61892
UKI7,27.44329
UKJ1,28.279966
UKJ2,34.79769
UKJ3,34.85021
UKJ4,30.794788
NO09,57.569557
NO0A,84.34914
NO0B,31.826561
HR05,30.758081
HR06,29.091665
NO02,30.729422
NO06,52.326687
NO07,42.329086
NO08,36.762405
