nuts,April Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,25.506725
DE60,25.116856
DE71,28.390625
DE72,27.633215
DE73,27.906403
DE80,22.880957
DE91,25.21002
BG41,37.660168
BG42,34.83636
CH01,57.950138
AT32,52.007156
AT33,51.471558
AT34,53.765785
BE10,24.320051
BE23,24.601898
BE24,25.19878
BE25,24.639702
BE31,25.525108
BE32,25.88609
BE33,30.146929
BE34,32.076782
BE35,28.905834
BG31,38.31225
BG32,33.116737
BG33,28.283081
BG34,31.499958
DE92,26.170124
DE93,24.399876
DE94,24.66034
CZ07,29.120977
CZ08,32.75112
AL01,58.665253
AL02,51.46042
AL03,44.417416
AT11,27.838064
AT12,32.873096
AT13,27.003979
AT21,49.428246
AT22,40.07158
AT31,42.188717
DK05,23.673613
BE21,25.188921
BE22,26.511114
ES43,30.612358
ES51,36.61979
ES52,31.288366
ES53,21.52795
ES61,27.923794
ES62,22.587934
ES63,26.201023
ES64,22.412773
CH02,51.774982
CH03,43.375267
CH04,43.657654
CH05,52.4154
CH06,60.294548
CH07,79.259
CY00,12.257059
CZ01,22.190172
CZ02,23.917343
CZ03,28.012028
CZ04,26.446806
CZ05,27.070547
CZ06,26.838898
DE40,23.010912
EL53,34.651123
EL54,45.01106
EL61,37.9047
EL62,34.78812
EL63,40.43383
ES70,3.727269
ITC1,65.19887
ITC2,62.18942
DE11,31.709972
DE12,33.44892
DE13,38.077084
DE14,38.83468
DE21,43.697983
DE22,34.317554
DE23,28.919424
DE24,29.142979
DE25,28.08839
DE26,29.77766
DE27,42.13591
DE30,23.22007
EL42,18.185259
LV00,23.735497
ME00,63.04405
MK00,35.78919
MT00,14.067937
NL11,24.671576
NL12,22.922058
EL64,33.235737
EL65,28.421896
ES11,49.543472
ES12,49.48807
ES13,45.448586
ES21,44.47512
ES22,42.422127
ES23,36.337685
ES24,33.24129
ES30,29.11752
IE05,31.088686
IE06,27.459038
IS00,48.484848
ITC3,53.747673
FI19,20.660723
FI1B,21.111263
FI1C,19.88985
DEA1,26.76973
DEA2,30.268696
DEA3,26.509178
DEA4,27.315584
DEA5,30.638287
DEB1,28.933609
DEB2,29.552116
DEB3,27.30723
DEC0,30.085804
DED2,27.670326
DED4,30.27009
DED5,23.855595
DEE0,22.621855
DEF0,23.954039
DEG0,27.104727
DK01,20.616608
DK02,19.869097
DK03,23.363768
DK04,22.806562
ES41,32.169304
ES42,29.053488
HU23,26.66323
HU31,28.040058
HU32,28.834253
HU33,26.750828
IE04,32.62672
EE00,21.727423
EL30,20.009483
EL41,25.720694
EL43,17.729015
EL51,30.861967
EL52,32.953297
FI20,18.153944
FR10,25.475616
FRB0,30.189215
FRC1,38.4512
FRC2,47.27457
FRD1,27.174026
FRD2,27.288395
FRE1,26.25008
FRE2,26.307152
FRF1,34.659054
NL13,24.674368
NL21,23.686476
NL22,24.62471
NL23,24.416811
NL31,25.358717
NL32,23.94943
ITG2,29.42671
ITH1,46.588154
ITH2,54.252342
FRI3,33.274292
FRJ1,46.257633
FRJ2,44.78158
FRK1,40.999985
FRK2,49.0435
FRL0,42.851326
FRM0,35.20217
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,32.55241
TR32,28.96109
TR33,28.585964
HR03,53.776764
HR02,36.34646
HU11,24.15897
HU12,25.480408
HU21,25.99098
HU22,27.49296
PT16,35.908813
PT17,29.778135
FRF2,31.253681
FRF3,32.043266
FRG0,27.468294
FRH0,29.541834
FRI1,41.00961
FRI2,43.147106
ITC4,52.975124
ITF1,41.96314
ITF2,36.499634
ITF3,42.181034
ITF4,25.957464
ITF5,31.636662
ITF6,38.827225
ITG1,25.12611
LT01,26.565765
LT02,24.973585
LU00,30.371147
PL22,33.25461
PL41,22.728504
PL42,23.543978
PT18,28.971169
PT20,0.0
PT30,0.0
RO11,37.694473
RO12,40.433144
RO21,34.398273
RO22,27.677618
RO31,33.49718
RO32,33.283405
ITH3,48.786198
ITH4,64.16805
ITH5,44.438946
ITI1,40.79894
ITI2,43.096333
ITI3,38.06777
ITI4,41.961254
LI00,58.996494
FI1D,20.154743
TR82,38.86144
TR83,38.699764
TR90,49.58419
TRA1,42.442223
TRA2,41.43853
PL43,24.972612
PL51,25.910887
PL52,26.99852
PL61,23.240808
PL62,24.606491
PL63,23.2844
PL71,25.807018
PL72,28.92768
PL81,28.851936
PL82,33.97982
PL84,24.91186
PL91,26.836803
PL92,25.635765
PT11,44.696514
PT15,25.714703
TRB1,47.36786
TRB2,59.398518
TRC1,31.108086
RS12,30.93969
RS21,37.111538
RS22,36.13622
SE11,19.652084
SE12,22.51263
NL33,25.44142
NL34,24.940569
NL41,24.191511
NL42,23.599966
PL21,34.478386
UKM6,37.25143
TR22,32.547043
TRC2,36.18848
TRC3,31.25764
UKC1,29.550976
UKC2,28.346416
UKD1,34.073257
UKD3,32.51355
UKD4,34.350285
UKD6,28.666372
UKD7,30.630146
UKE1,27.20342
UKE2,30.40278
UKE3,28.25769
RO41,37.02992
RO42,39.47252
RS11,32.167397
TR41,30.344225
TR42,37.34337
TR51,26.51798
TR52,25.101816
TR61,32.50198
TR62,34.557858
TR63,36.986385
TR71,27.533491
TR72,35.326393
TR81,41.854774
UKK1,28.28657
UKK2,29.18472
UKK3,29.728785
UKK4,30.61609
UKL1,34.102608
UKL2,33.29473
UKM5,29.552298
UKM7,32.013504
UKM8,36.665787
UKM9,32.932003
UKN0,30.761967
SE21,21.472513
SE22,21.665802
SE23,27.206043
SE31,26.00999
SE32,25.94377
SE33,24.812674
SI03,42.80256
SI04,57.06839
SK01,26.441986
SK02,28.301126
SK03,33.742554
SK04,32.344906
TR10,24.932507
TR21,29.487463
UKE4,31.199772
UKF1,28.848812
UKF2,26.062103
UKF3,25.730907
UKG1,28.260096
UKG2,28.258753
UKG3,28.365013
UKH1,23.695274
UKH2,24.908379
UKH3,23.07205
UKI3,23.996876
UKI4,23.996876
UKI5,23.974394
UKI6,24.228355
UKI7,25.285406
UKJ1,26.213812
UKJ2,24.443647
UKJ3,26.11763
UKJ4,23.25195
NO09,39.783886
NO0A,54.195465
NO0B,27.089994
HR05,36.63214
HR06,34.95837
NO02,28.344778
NO06,43.584686
NO07,37.582676
NO08,31.767391
