nuts,Spring Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,36.71637
DE60,37.680607
DE71,43.15654
DE72,43.19356
DE73,43.660927
DE80,35.045155
DE91,39.075516
BG41,51.990505
BG42,57.633106
CH01,85.42303
AT32,74.70925
AT33,75.54746
AT34,79.32716
BE10,36.21561
BE23,37.584503
BE24,36.99314
BE25,36.919685
BE31,38.07893
BE32,38.9432
BE33,43.266212
BE34,45.73107
BE35,43.322403
BG31,53.99727
BG32,49.002914
BG33,43.24269
BG34,49.485546
DE92,37.08223
DE93,36.33594
DE94,37.52184
CZ07,43.981636
CZ08,47.35285
AL01,86.59781
AL02,69.598434
AL03,64.96556
AT11,44.33618
AT12,49.502567
AT13,43.454777
AT21,72.36308
AT22,61.900837
AT31,65.406654
DK05,34.09445
BE21,38.12216
BE22,39.479588
ES43,43.45319
ES51,56.395714
ES52,48.001118
ES53,33.700287
ES61,42.36623
ES62,41.157967
ES63,45.719566
ES64,35.384083
CH02,76.61094
CH03,68.05632
CH04,65.04503
CH05,76.6206
CH06,82.7833
CH07,111.73437
CY00,25.955019
CZ01,37.0039
CZ02,37.706444
CZ03,43.497944
CZ04,40.232815
CZ05,40.113323
CZ06,39.78392
DE40,35.09716
EL53,52.039875
EL54,72.407486
EL61,61.58213
EL62,60.259445
EL63,64.575455
ES70,8.038126
ITC1,93.164474
ITC2,92.74559
DE11,51.477238
DE12,53.849247
DE13,61.7884
DE14,61.75733
DE21,65.445015
DE22,51.187992
DE23,46.990463
DE24,46.41518
DE25,47.536366
DE26,46.342976
DE27,66.30297
DE30,36.72498
EL42,37.004967
LV00,37.22254
ME00,93.198425
MK00,49.248566
MT00,24.830511
NL11,36.741062
NL12,35.849625
EL64,54.80871
EL65,46.047955
ES11,72.59151
ES12,65.15143
ES13,57.694412
ES21,58.403954
ES22,54.08983
ES23,48.51197
ES24,48.85362
ES30,42.950855
IE05,44.256977
IE06,38.559673
IS00,68.17952
ITC3,77.1711
FI19,31.708427
FI1B,29.963835
FI1C,30.307062
DEA1,41.810238
DEA2,44.381985
DEA3,41.18146
DEA4,40.451946
DEA5,47.79323
DEB1,41.250286
DEB2,43.016556
DEB3,42.664585
DEC0,46.997963
DED2,38.776653
DED4,46.316307
DED5,39.926273
DEE0,35.321663
DEF0,35.77652
DEG0,43.276814
DK01,32.16156
DK02,30.964588
DK03,35.076084
DK04,34.408127
ES41,45.30414
ES42,43.563732
HU23,42.179832
HU31,42.928024
HU32,42.29428
HU33,40.17732
IE04,44.542458
EE00,31.64031
EL30,37.593132
EL41,48.76918
EL43,35.231426
EL51,53.99816
EL52,50.24437
FI20,26.363298
FR10,38.84811
FRB0,43.27817
FRC1,52.858887
FRC2,69.478615
FRD1,40.120472
FRD2,39.986904
FRE1,38.305725
FRE2,38.9655
FRF1,56.462753
NL13,36.31353
NL21,37.527576
NL22,38.191353
NL23,38.80684
NL31,40.005493
NL32,36.97196
ITG2,43.588814
ITH1,64.11217
ITH2,76.33354
FRI3,44.813637
FRJ1,65.08584
FRJ2,60.439407
FRK1,57.183823
FRK2,69.40328
FRL0,61.83658
FRM0,55.057236
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
