nuts,January Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,29.877321
DE60,31.87743
DE71,35.445267
DE72,35.275623
DE73,33.09839
DE80,25.33649
DE91,28.8304
BG41,30.002235
BG42,32.9433
CH01,67.13089
AT32,44.877037
AT33,46.56931
AT34,58.17149
BE10,29.97075
BE23,28.64376
BE24,30.477594
BE25,28.94355
BE31,31.416346
BE32,33.7476
BE33,41.0176
BE34,43.79114
BE35,39.22933
BG31,26.90526
BG32,29.452734
BG33,29.637022
BG34,34.305107
DE92,30.340996
DE93,30.08341
DE94,32.405727
CZ07,23.656569
CZ08,23.589783
AL01,84.44027
AL02,63.074135
AL03,57.239517
AT11,21.933046
AT12,25.690296
AT13,20.969568
AT21,36.062458
AT22,32.818134
AT31,41.654655
DK05,31.062214
BE21,30.763306
BE22,32.52181
ES43,36.753235
ES51,28.073252
ES52,25.093975
ES53,25.582798
ES61,30.174156
ES62,20.986805
ES63,45.24165
ES64,26.141092
CH02,57.18919
CH03,44.55344
CH04,45.80088
CH05,50.067654
CH06,57.545193
CH07,49.665546
CY00,36.994167
CZ01,20.397728
CZ02,22.310028
CZ03,28.406906
CZ04,25.791727
CZ05,26.881777
CZ06,21.136911
DE40,23.937418
EL53,37.822582
EL54,70.26442
EL61,51.552845
EL62,70.19487
EL63,68.94844
ES70,12.2269125
ITC1,53.23621
ITC2,66.93118
DE11,38.274544
DE12,42.102226
DE13,47.029125
DE14,39.37878
DE21,39.773785
DE22,37.67044
DE23,36.429882
DE24,36.026768
DE25,34.486595
DE26,37.583294
DE27,43.36646
DE30,23.850021
EL42,45.007534
LV00,23.716942
ME00,83.16684
MK00,34.47247
MT00,35.83338
NL11,32.733727
NL12,32.595303
EL64,48.896378
EL65,50.592148
ES11,72.687645
ES12,59.00944
ES13,47.570515
ES21,49.056816
ES22,40.220535
ES23,29.970707
ES24,26.408092
ES30,29.987171
IE05,43.158916
IE06,35.144196
IS00,63.610252
ITC3,57.543373
FI19,20.73085
FI1B,25.026463
FI1C,23.30068
DEA1,34.699184
DEA2,39.93115
DEA3,33.655106
DEA4,33.117596
DEA5,41.64784
DEB1,36.197495
DEB2,40.12458
DEB3,31.444618
