nuts,Winter Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,40.202488
DE60,41.615417
DE71,48.364086
DE72,47.731205
DE73,44.776722
DE80,33.73728
DE91,40.54458
BG41,50.157444
BG42,58.09573
CH01,94.945885
AT32,61.151947
AT33,64.29967
AT34,79.0568
BE10,42.99664
BE23,40.043945
BE24,44.15496
BE25,40.303047
BE31,45.64975
BE32,45.685936
BE33,54.71406
BE34,58.199577
BE35,52.64552
BG31,44.132782
BG32,47.10041
BG33,45.077175
BG34,53.48108
DE92,40.36718
DE93,40.13705
DE94,42.066345
CZ07,33.593407
CZ08,33.142773
AL01,117.19935
AL02,87.016136
AL03,89.40989
AT11,34.57076
AT12,38.40906
AT13,33.618633
AT21,60.807224
AT22,49.33919
AT31,55.015987
DK05,38.956238
BE21,42.623734
BE22,47.969242
ES43,63.326916
ES51,48.671684
ES52,44.93061
ES53,42.030262
ES61,55.403877
ES62,31.824469
ES63,67.57251
ES64,30.768875
CH02,81.090866
CH03,60.968132
CH04,63.008236
CH05,68.676285
CH06,80.20063
CH07,83.62766
CY00,53.250698
CZ01,27.770304
CZ02,30.9692
CZ03,38.33881
CZ04,37.403175
CZ05,36.838673
CZ06,31.087301
DE40,32.98305
EL53,61.306286
EL54,105.301186
EL61,85.633
EL62,104.838455
EL63,94.81861
ES70,17.362926
ITC1,78.89329
ITC2,91.4219
DE11,52.681694
DE12,59.093792
DE13,62.29264
DE14,54.05529
DE21,51.565117
DE22,48.427914
DE23,49.572502
DE24,49.65571
DE25,48.8332
DE26,50.983044
DE27,56.60414
DE30,32.615067
EL42,67.348045
LV00,31.043768
ME00,122.026924
MK00,54.047806
MT00,56.374985
NL11,42.2585
NL12,43.58922
EL64,77.54351
EL65,73.791534
ES11,99.55932
ES12,77.08929
ES13,67.22634
ES21,68.673164
ES22,56.72078
ES23,41.13418
ES24,39.68357
ES30,44.038567
IE05,55.456512
IE06,45.030743
IS00,83.66506
ITC3,86.599976
FI19,28.114542
FI1B,33.21829
FI1C,31.223696
DEA1,49.416164
DEA2,53.70701
DEA3,44.279736
DEA4,44.774895
DEA5,56.014122
DEB1,48.460796
DEB2,53.20058
