nuts,Winter Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,39.549088
DE60,41.46919
DE71,45.53032
DE72,44.24518
DE73,42.279446
DE80,33.170933
DE91,39.41624
BG41,45.113026
BG42,54.987556
CH01,95.333206
AT32,63.601086
AT33,66.2202
AT34,81.87769
BE10,41.65618
BE23,38.693165
BE24,42.587925
BE25,37.495453
BE31,43.18191
BE32,43.99952
BE33,51.690807
BE34,54.991447
BE35,49.978966
BG31,41.597946
BG32,42.977665
BG33,42.62554
BG34,49.016644
DE92,40.48143
DE93,39.12199
DE94,40.802727
CZ07,33.97997
CZ08,34.80226
AL01,117.063354
AL02,84.69154
AL03,87.90052
AT11,33.300076
AT12,35.316994
AT13,30.453978
AT21,60.882534
AT22,46.615044
AT31,54.455578
DK05,37.229885
BE21,42.4887
BE22,45.918472
ES43,60.410034
ES51,51.758144
ES52,44.990948
ES53,40.53916
ES61,54.19637
ES62,36.52339
ES63,75.45326
ES64,35.889236
CH02,80.51453
CH03,60.55933
CH04,61.887527
CH05,72.23174
CH06,83.89395
CH07,92.262405
CY00,52.82929
CZ01,28.061094
CZ02,30.682686
CZ03,38.07399
CZ04,35.955616
CZ05,35.91219
CZ06,29.700932
DE40,31.25313
EL53,61.976994
EL54,108.69668
EL61,82.83761
EL62,106.30466
EL63,95.49224
ES70,22.39189
ITC1,85.65509
ITC2,98.38374
DE11,51.772705
DE12,58.163692
DE13,63.129402
DE14,53.774124
DE21,53.338814
DE22,48.3783
DE23,48.163605
DE24,46.12555
DE25,46.44357
DE26,47.527493
DE27,57.211845
DE30,30.357101
EL42,65.34859
LV00,30.155779
ME00,123.780876
MK00,52.581882
MT00,56.578506
NL11,40.415295
NL12,42.694275
EL64,77.72302
EL65,70.50659
ES11,98.48357
ES12,78.956474
ES13,65.72414
ES21,69.42498
ES22,55.923325
ES23,42.529922
ES24,39.849743
ES30,43.920193
IE05,52.323074
IE06,43.2417
IS00,84.41082
ITC3,92.13105
FI19,27.861609
FI1B,33.29497
FI1C,30.25055
DEA1,46.817204
DEA2,49.946625
DEA3,43.209797
DEA4,43.80188
DEA5,52.711117
DEB1,45.284954
DEB2,49.06595
DEB3,43.329136
DEC0,54.63522
DED2,36.11026
DED4,42.39042
DED5,34.561447
DEE0,32.614697
DEF0,39.873547
DEG0,38.385983
DK01,34.088745
DK02,33.549606
DK03,39.053215
DK04,37.9139
ES41,50.27549
ES42,41.761353
HU23,38.816986
HU31,31.488768
HU32,33.350445
HU33,33.733635
IE04,57.01651
EE00,29.935188
EL30,57.92252
EL41,79.95452
EL43,59.41598
EL51,67.38859
EL52,63.153606
FI20,29.339874
FR10,39.675316
FRB0,42.3887
FRC1,51.26939
FRC2,77.018166
FRD1,48.948944
FRD2,43.611797
FRE1,42.863743
FRE2,42.654003
FRF1,59.73728
NL13,37.836803
NL21,39.585392
NL22,38.505993
NL23,40.165825
NL31,38.890484
NL32,42.613895
ITG2,50.871838
ITH1,56.20582
ITH2,70.03101
FRI3,51.066135
FRJ1,71.96274
FRJ2,61.728046
FRK1,55.727917
FRK2,75.29217
FRL0,68.567535
FRM0,64.55674
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,82.59236
TR32,81.76182
TR33,50.0684
HR03,91.2411
HR02,50.37685
HU11,32.37993
HU12,32.236713
HU21,34.907646
HU22,36.47075
PT16,77.798996
PT17,62.033096
FRF2,52.146545
FRF3,59.95931
FRG0,45.364933
FRH0,51.73912
FRI1,62.290764
FRI2,63.460594
ITC4,67.43894
ITF1,66.17865
ITF2,64.83904
ITF3,84.41474
ITF4,52.874535
ITF5,60.65623
ITF6,80.321884
ITG1,59.657467
LT01,29.326271
LT02,30.475628
LU00,51.66507
PL22,34.783
PL41,29.233812
PL42,33.45957
PT18,57.76055
PT20,0.0
PT30,0.0
RO11,42.220184
RO12,37.08246
RO21,33.653282
RO22,36.673237
RO31,39.478836
RO32,39.016045
ITH3,68.030075
ITH4,90.96064
ITH5,63.489212
ITI1,66.451126
ITI2,60.841564
ITI3,55.77962
ITI4,75.22169
LI00,84.214485
FI1D,25.363909
TR82,53.415936
TR83,49.557323
TR90,67.15352
TRA1,50.616844
TRA2,59.682648
PL43,30.537178
PL51,33.393967
PL52,30.28616
PL61,28.485825
PL62,31.86266
PL63,32.887264
PL71,30.214258
PL72,29.09095
PL81,29.389948
PL82,34.338055
PL84,28.735098
PL91,30.095974
PL92,29.391163
PT11,92.23526
PT15,60.04562
TRB1,73.82996
TRB2,87.30671
TRC1,71.04137
RS12,37.447002
RS21,44.636116
RS22,42.220657
SE11,28.682625
SE12,29.179281
NL33,39.363106
NL34,37.436962
NL41,40.853123
NL42,44.79161
PL21,34.831314
UKM6,68.27269
TR22,68.075836
TRC2,65.75872
TRC3,63.223007
UKC1,43.537163
UKC2,42.46443
UKD1,64.152855
UKD3,50.571487
UKD4,59.35332
UKD6,40.36651
UKD7,46.550518
UKE1,34.18203
UKE2,44.24289
UKE3,36.227757
RO41,44.7323
RO42,44.274994
RS11,38.138096
TR41,48.10787
TR42,57.03277
TR51,39.086514
TR52,46.38677
TR61,83.78336
TR62,85.14049
TR63,75.32106
TR71,40.374687
TR72,45.048786
TR81,60.237045
UKK1,38.549515
UKK2,44.266457
UKK3,49.79619
UKK4,48.15677
UKL1,58.7906
UKL2,50.813034
UKM5,47.066544
UKM7,58.65962
UKM8,68.3514
UKM9,57.25593
UKN0,48.734444
SE21,32.11132
SE22,34.0781
SE23,39.40818
SE31,32.939053
SE32,36.501564
SE33,37.072987
SI03,59.19011
SI04,79.01421
SK01,29.833277
SK02,34.601357
SK03,40.585114
SK04,34.287163
TR10,58.380608
TR21,56.31317
UKE4,43.554184
UKF1,35.737064
UKF2,30.966257
UKF3,30.671492
UKG1,36.112034
UKG2,38.65845
UKG3,34.710102
UKH1,32.038025
UKH2,31.304619
UKH3,33.046505
UKI3,33.06157
UKI4,33.06157
UKI5,32.3554
UKI6,34.40692
UKI7,32.842842
UKJ1,33.939426
UKJ2,43.789806
UKJ3,42.8331
UKJ4,38.47303
NO09,74.34403
NO0A,115.311554
NO0B,43.44145
HR05,51.173515
HR06,48.82087
NO02,42.30138
NO06,72.91768
NO07,59.504684
NO08,49.354927
