nuts,February Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,25.357962
DE60,26.087034
DE71,30.230198
DE72,31.20325
DE73,29.773266
DE80,21.761904
DE91,25.279907
BG41,33.832817
BG42,37.154804
CH01,66.68167
AT32,47.561188
AT33,47.282726
AT34,57.594135
BE10,28.466286
BE23,25.429453
BE24,29.247953
BE25,24.741161
BE31,30.278328
BE32,31.04703
BE33,37.952835
BE34,38.971104
BE35,36.147587
BG31,29.960337
BG32,31.958382
BG33,30.419016
BG34,35.54036
DE92,27.019815
DE93,25.123722
DE94,26.595829
CZ07,24.193914
CZ08,24.67514
AL01,78.554474
AL02,58.4137
AL03,59.529926
AT11,24.52259
AT12,27.694223
AT13,26.527367
AT21,38.175674
AT22,34.832294
AT31,40.895203
DK05,25.576525
BE21,28.767303
BE22,32.260773
ES43,35.481514
ES51,28.588186
ES52,22.160303
ES53,22.41328
ES61,30.338291
ES62,15.896806
ES63,38.93538
ES64,20.212475
CH02,57.12328
CH03,41.434753
CH04,43.494812
CH05,48.455887
CH06,57.18088
CH07,54.227787
CY00,29.93782
CZ01,18.357996
CZ02,20.002787
CZ03,25.779274
CZ04,23.113773
CZ05,24.0756
CZ06,21.872353
DE40,20.406792
EL53,42.774532
EL54,75.02585
EL61,52.539326
EL62,73.642746
EL63,67.660576
ES70,6.513023
ITC1,49.701504
ITC2,59.419327
DE11,34.06623
DE12,38.48428
DE13,42.52468
DE14,37.703854
DE21,37.837086
DE22,32.651585
DE23,30.533043
DE24,31.071848
DE25,30.041159
DE26,31.24302
DE27,41.034218
DE30,20.677235
EL42,43.46019
LV00,20.156376
ME00,80.971634
MK00,38.78617
MT00,29.136885
NL11,25.658333
NL12,26.317856
EL64,48.155247
EL65,43.953316
ES11,62.599213
ES12,54.529263
ES13,47.9631
ES21,49.77488
ES22,40.4824
ES23,28.252823
ES24,27.016668
ES30,26.868753
IE05,38.804993
IE06,31.427643
IS00,63.176025
ITC3,51.25449
FI19,17.645607
FI1B,21.843504
FI1C,19.928213
DEA1,33.03712
DEA2,37.251072
DEA3,29.918211
DEA4,29.679638
DEA5,37.3047
DEB1,31.980362
DEB2,34.52879
DEB3,30.352303
DEC0,38.39338
DED2,25.50901
DED4,27.743576
DED5,22.409805
DEE0,21.137424
DEF0,26.117079
DEG0,25.417871
DK01,22.999489
DK02,22.087198
DK03,26.17438
DK04,25.814028
ES41,31.962265
ES42,26.633713
HU23,27.794867
HU31,23.194788
HU32,24.25719
HU33,24.959743
IE04,40.17665
EE00,19.588205
EL30,32.31426
EL41,50.309803
EL43,39.11724
EL51,44.239754
EL52,36.778343
FI20,18.129505
FR10,27.073387
FRB0,29.981127
FRC1,37.347958
FRC2,55.721478
FRD1,32.32829
FRD2,29.674295
FRE1,29.622835
FRE2,29.743069
FRF1,39.12915
NL13,24.882425
NL21,26.326788
NL22,28.06654
NL23,26.688599
NL31,26.080818
NL32,27.085543
ITG2,30.467085
ITH1,34.96167
ITH2,40.709557
FRI3,34.076565
