nuts,August Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,36.043407
DE60,40.851303
DE71,31.996677
DE72,33.441772
DE73,34.787945
DE80,39.16974
DE91,37.08088
BG41,26.959322
BG42,22.634172
CH01,55.010746
AT32,67.07585
AT33,67.51165
AT34,68.58355
BE10,30.713379
BE23,32.01834
BE24,31.927122
BE25,31.689207
BE31,30.988716
BE32,30.799507
BE33,34.41581
BE34,32.91928
BE35,33.530582
BG31,33.362366
BG32,28.791384
BG33,23.061678
BG34,20.799278
DE92,33.852985
DE93,39.324135
DE94,36.387844
CZ07,42.97299
CZ08,46.446407
AL01,21.661036
AL02,16.139776
AL03,14.292366
AT11,38.9217
AT12,47.943626
AT13,44.530903
AT21,58.568745
AT22,58.28481
AT31,59.71834
DK05,35.724884
BE21,30.84411
BE22,33.26951
ES43,6.190466
ES51,28.455767
ES52,12.787691
ES53,9.008663
ES61,4.1987796
ES62,6.216293
ES63,6.4489136
ES64,4.240466
CH02,60.977734
CH03,55.511288
CH04,53.690907
CH05,59.47024
CH06,72.66237
CH07,71.10717
CY00,0.42283827
CZ01,38.951653
CZ02,38.427223
CZ03,42.955685
CZ04,39.507027
CZ05,42.02916
CZ06,42.042717
DE40,35.15632
EL53,14.966025
EL54,11.635144
EL61,12.724454
EL62,7.5160027
EL63,7.5591254
ES70,0.8385866
ITC1,48.080997
ITC2,46.74709
DE11,34.99909
DE12,34.960808
DE13,42.18964
DE14,49.712852
DE21,56.674675
DE22,44.5032
DE23,37.568245
DE24,35.337875
DE25,34.60443
DE26,33.86597
DE27,55.324993
DE30,32.902134
EL42,0.3038461
LV00,42.960205
ME00,26.373098
MK00,18.034071
MT00,1.7266297
NL11,36.580494
NL12,40.454094
EL64,7.9929576
EL65,4.417604
ES11,16.151127
ES12,24.07467
ES13,26.505716
ES21,24.296038
ES22,27.70472
ES23,20.464912
ES24,22.140997
ES30,8.374861
IE05,35.0758
IE06,36.12177
IS00,46.317165
ITC3,29.782
FI19,42.446503
FI1B,39.74845
FI1C,40.776295
DEA1,34.596066
DEA2,35.20085
DEA3,34.704
DEA4,37.036633
DEA5,37.757015
DEB1,31.80298
DEB2,30.389923
DEB3,29.235817
DEC0,28.311102
DED2,42.975338
DED4,40.726105
DED5,33.58613
DEE0,36.888668
DEF0,37.762108
DEG0,32.993595
DK01,38.231544
DK02,35.329456
DK03,35.490326
DK04,36.336067
ES41,12.293533
ES42,9.115967
HU23,29.471405
HU31,29.891794
HU32,28.957539
HU33,28.309793
IE04,40.11434
EE00,45.524956
EL30,2.4427724
EL41,0.80703485
EL43,1.454406
EL51,13.136165
EL52,15.660164
FI20,41.03336
FR10,26.073948
FRB0,23.889383
FRC1,29.507275
FRC2,41.825485
FRD1,24.622532
FRD2,27.498997
FRE1,28.937407
FRE2,28.149849
FRF1,38.68173
NL13,34.59417
NL21,34.188454
NL22,33.419193
NL23,35.428772
NL31,32.666664
NL32,37.8011
ITG2,7.575569
ITH1,55.393856
ITH2,49.766937
FRI3,24.223831
FRJ1,30.236975
FRJ2,34.71288
FRK1,36.718506
FRK2,38.740086
FRL0,23.408577
FRM0,10.91226
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,1.5252473
TR32,1.9760265
TR33,4.146724
HR03,32.838573
HR02,34.580017
HU11,26.456987
HU12,27.305956
HU21,30.192017
HU22,33.501446
PT16,6.3803625
PT17,2.6384206
FRF2,29.462856
FRF3,33.8145
FRG0,21.082785
FRH0,19.81997
FRI1,32.278263
FRI2,31.221825
ITC4,48.30389
ITF1,21.31443
ITF2,15.867132
ITF3,13.294619
ITF4,13.001337
ITF5,14.368451
ITF6,12.8115225
ITG1,7.595111
LT01,43.567993
LT02,42.75058
LU00,30.75662
PL22,50.146835
PL41,35.046036
PL42,36.615807
PT18,4.500914
PT20,0.0
PT30,0.0
RO11,38.798252
RO12,44.26131
RO21,40.286797
RO22,28.621227
RO31,33.52408
RO32,32.576027
ITH3,47.01775
ITH4,61.270794
ITH5,31.030273
ITI1,23.300108
ITI2,21.036234
ITI3,24.107803
ITI4,18.09863
LI00,78.813286
FI1D,43.39916
TR82,13.799334
TR83,9.765308
TR90,36.226322
TRA1,14.09088
TRA2,18.358313
PL43,35.269096
PL51,40.97698
PL52,39.764034
PL61,38.136425
PL62,39.266315
PL63,42.1565
PL71,37.56853
PL72,43.159733
PL81,43.587723
PL82,44.63052
PL84,42.536686
PL91,43.424465
PL92,40.65324
PT11,11.547452
PT15,2.4337993
TRB1,4.7046633
TRB2,7.0095825
TRC1,1.7280551
RS12,30.190403
RS21,29.627296
RS22,28.982283
SE11,38.6307
SE12,42.4111
NL33,34.61293
NL34,32.195618
NL41,32.204857
NL42,32.62907
