nuts,October Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,32.102604
DE60,33.63338
DE71,33.90506
DE72,33.357693
DE73,30.998816
DE80,26.433174
DE91,29.50393
BG41,33.84241
BG42,36.55716
CH01,61.67513
AT32,54.609505
AT33,55.42218
AT34,55.76044
BE10,31.412708
BE23,32.637196
BE24,32.21118
BE25,34.398438
BE31,33.470875
BE32,33.40179
BE33,37.15714
BE34,39.41505
BE35,35.84039
BG31,32.763096
BG32,34.553722
BG33,35.879375
BG34,38.298878
DE92,32.226227
DE93,31.830189
DE94,34.70345
CZ07,28.23111
CZ08,30.007015
AL01,77.483345
AL02,61.872837
AL03,66.799644
AT11,35.45639
AT12,32.244476
AT13,29.43582
AT21,66.64938
AT22,47.760246
AT31,39.2153
DK05,38.831326
BE21,32.42388
BE22,34.061047
ES43,37.963154
ES51,46.16004
ES52,38.36745
ES53,33.71229
ES61,30.182314
ES62,24.497633
ES63,37.200974
ES64,23.585394
CH02,55.994568
CH03,47.589176
CH04,46.433365
CH05,57.91582
CH06,61.04235
CH07,92.70033
CY00,18.882359
CZ01,22.053131
CZ02,23.722584
CZ03,28.128988
CZ04,26.535658
CZ05,27.955946
CZ06,25.076178
DE40,24.03469
EL53,40.6068
EL54,75.71743
EL61,51.5168
EL62,80.19315
EL63,62.222008
ES70,10.236597
ITC1,70.6246
ITC2,67.10175
DE11,37.10657
DE12,40.453373
DE13,44.219173
DE14,40.304558
DE21,42.38433
DE22,34.093014
DE23,33.172577
DE24,32.403393
DE25,33.084198
DE26,34.57774
DE27,42.133976
DE30,23.99164
EL42,24.018343
LV00,31.770512
ME00,81.97985
MK00,37.59105
MT00,35.609577
NL11,36.553482
NL12,43.77365
EL64,41.013947
EL65,37.0487
ES11,66.36041
ES12,53.701504
ES13,45.012463
ES21,45.476727
ES22,42.74935
ES23,28.51335
ES24,34.9361
ES30,30.304426
IE05,42.754574
IE06,37.610336
IS00,68.20927
ITC3,74.13429
FI19,29.47148
FI1B,33.528862
FI1C,31.88739
DEA1,37.0566
DEA2,37.11203
DEA3,34.541336
DEA4,34.11281
DEA5,39.00745
DEB1,33.794697
DEB2,36.3423
DEB3,33.325703
DEC0,39.28342
DED2,26.537098
DED4,28.874687
DED5,24.336256
DEE0,24.245094
DEF0,34.73065
DEG0,28.21796
DK01,32.480896
DK02,31.776697
DK03,36.43922
DK04,37.050713
ES41,34.931515
ES42,28.919878
HU23,31.85938
HU31,29.245703
HU32,31.613499
HU33,30.21984
IE04,46.737797
EE00,32.268707
EL30,28.02912
EL41,31.380028
EL43,25.30794
EL51,39.10917
EL52,41.57158
FI20,31.990688
FR10,32.91756
FRB0,33.868923
FRC1,41.04008
FRC2,51.62059
FRD1,36.721146
FRD2,36.49788
FRE1,35.60639
FRE2,34.254036
FRF1,40.881298
NL13,32.096188
NL21,33.0453
NL22,32.85981
NL23,36.348537
NL31,34.14774
NL32,44.850216
ITG2,33.82864
ITH1,56.859505
ITH2,74.37066
FRI3,37.912098
FRJ1,64.92053
FRJ2,45.12861
FRK1,44.55375
FRK2,58.99104
FRL0,57.10528
FRM0,47.967224
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,36.985317
TR32,33.590282
TR33,24.325169
HR03,77.03451
HR02,42.07673
HU11,26.671137
HU12,27.59865
HU21,27.975307
HU22,33.077526
PT16,53.022636
PT17,35.259647
FRF2,38.108566
FRF3,41.374626
FRG0,36.21173
FRH0,38.74281
FRI1,44.73722
FRI2,46.47683
ITC4,66.891975
ITF1,49.24181
ITF2,46.170204
ITF3,66.63958
ITF4,40.736168
ITF5,39.992855
ITF6,55.269623
ITG1,44.170567
LT01,27.624897
LT02,30.570438
LU00,36.484673
PL22,29.67161
PL41,22.220573
PL42,27.513388
PT18,35.137383
PT20,0.0
PT30,0.0
RO11,35.692154
RO12,31.663673
RO21,30.023222
RO22,30.617289
RO31,33.125813
RO32,32.386433
ITH3,70.838844
ITH4,100.67319
ITH5,56.26054
ITI1,62.04584
ITI2,49.76765
ITI3,45.182632
ITI4,64.61742
LI00,60.18372
FI1D,27.867502
TR82,38.87898
TR83,34.57244
TR90,66.4374
TRA1,35.619694
TRA2,42.507442
PL43,23.401592
PL51,25.776884
PL52,26.154333
PL61,21.82901
PL62,27.113523
PL63,27.37245
PL71,24.049105
PL72,24.00029
PL81,24.8085
PL82,29.781183
PL84,24.965452
PL91,23.545229
PL92,23.415653
PT11,66.65629
PT15,31.867538
TRB1,36.942184
TRB2,40.34577
TRC1,28.705435
RS12,29.000658
RS21,33.67356
RS22,30.81518
SE11,28.217392
SE12,27.733889
NL33,38.861286
NL34,35.32478
NL41,32.819622
NL42,34.177284
PL21,29.994518
UKM6,58.46521
TR22,41.231873
TRC2,29.621685
TRC3,25.41381
UKC1,31.649654
UKC2,32.69324
UKD1,52.22878
UKD3,41.38585
UKD4,49.32722
UKD6,34.94859
UKD7,41.700813
UKE1,28.799162
UKE2,34.306995
UKE3,30.054098
RO41,34.810776
RO42,34.184956
RS11,29.152275
TR41,29.550522
TR42,42.60174
TR51,19.122026
TR52,18.216255
TR61,34.35117
TR62,33.523884
TR63,32.6771
TR71,18.865234
TR72,27.64107
TR81,50.6214
UKK1,34.614643
UKK2,40.779114
UKK3,44.52846
UKK4,42.436577
UKL1,52.33817
UKL2,41.566986
UKM5,40.634483
UKM7,46.732
UKM8,56.466785
UKM9,49.216675
UKN0,43.37757
SE21,29.70213
SE22,31.957167
SE23,38.041576
SE31,33.043022
SE32,34.993443
SE33,33.801697
SI03,59.275238
SI04,85.69296
SK01,26.949913
SK02,28.370497
SK03,31.925037
SK04,30.603554
TR10,47.01551
TR21,41.60347
UKE4,34.78694
UKF1,30.292303
UKF2,28.307266
UKF3,28.522696
UKG1,32.090485
UKG2,32.54858
UKG3,30.814028
UKH1,29.494614
UKH2,27.57365
UKH3,29.034143
UKI3,27.539242
UKI4,27.539242
UKI5,27.196856
UKI6,29.48771
UKI7,27.337145
UKJ1,30.149105
UKJ2,38.77145
UKJ3,37.687656
UKJ4,34.529224
NO09,69.28288
NO0A,88.5743
NO0B,34.753098
HR05,46.159645
HR06,43.55683
NO02,41.47663
NO06,53.35772
NO07,50.747017
NO08,48.941708
