nuts,August Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,36.87786
DE60,39.40009
DE71,30.2944
DE72,34.16309
DE73,36.69371
DE80,33.537964
DE91,33.577454
BG41,30.99467
BG42,26.148153
CH01,63.897087
AT32,65.596275
AT33,67.97187
AT34,74.02125
BE10,34.200092
BE23,32.41374
BE24,33.65901
BE25,33.17743
BE31,33.261417
BE32,31.95242
BE33,36.36645
BE34,36.591576
BE35,34.943996
BG31,33.276066
BG32,28.013607
BG33,26.5142
BG34,22.277145
DE92,34.709656
DE93,36.030693
DE94,35.885777
CZ07,40.36084
CZ08,42.403446
AL01,27.29775
AL02,20.712818
AL03,17.020178
AT11,38.34076
AT12,45.93311
AT13,38.811626
AT21,60.59477
AT22,56.488045
AT31,58.37696
DK05,37.971664
BE21,34.412212
BE22,32.522617
ES43,5.961988
ES51,30.5559
ES52,14.860042
ES53,8.907502
ES61,4.614927
ES62,6.981
ES63,5.1007676
ES64,3.8357234
CH02,65.68103
CH03,60.17173
CH04,59.631836
CH05,66.76187
CH06,81.02427
CH07,84.98894
CY00,0.70473135
CZ01,42.60082
CZ02,40.85557
CZ03,43.03535
CZ04,38.29362
CZ05,40.9819
CZ06,40.482544
DE40,31.703516
EL53,16.591694
EL54,13.372514
EL61,18.962173
EL62,8.334418
EL63,11.094231
ES70,0.8963014
ITC1,51.109333
ITC2,52.87527
DE11,36.22313
DE12,37.51563
DE13,44.282562
DE14,46.963676
DE21,53.62789
DE22,45.215694
DE23,38.922085
DE24,34.075832
DE25,34.79374
DE26,33.727448
DE27,53.575203
DE30,29.421103
EL42,0.6185243
LV00,38.12356
ME00,29.890923
MK00,20.564274
MT00,1.9447036
NL11,38.997353
NL12,39.583637
EL64,13.359057
EL65,7.594672
ES11,22.146614
ES12,32.67038
ES13,30.119244
ES21,27.837223
ES22,27.391394
ES23,19.3192
ES24,26.75928
ES30,9.136563
IE05,34.62243
IE06,33.49736
IS00,45.566116
ITC3,35.562504
FI19,39.44643
FI1B,38.11163
FI1C,39.52121
DEA1,33.707928
DEA2,37.75872
DEA3,35.95989
DEA4,34.672127
DEA5,38.592804
DEB1,32.050823
DEB2,32.05414
DEB3,29.382755
DEC0,30.43457
DED2,41.583107
DED4,37.859203
DED5,31.1079
DEE0,31.176222
DEF0,36.750973
DEG0,32.9432
DK01,38.899483
DK02,36.77037
DK03,38.15529
DK04,37.806355
ES41,14.552725
ES42,9.370722
HU23,31.819695
HU31,32.193108
HU32,29.38106
HU33,27.762781
IE04,40.50144
EE00,41.078495
EL30,3.359158
EL41,0.9247472
EL43,2.112824
EL51,14.944809
EL52,21.892466
FI20,34.347298
FR10,28.371687
FRB0,28.023119
FRC1,34.64473
FRC2,44.995323
FRD1,29.023632
FRD2,30.766619
FRE1,32.164913
FRE2,30.751345
FRF1,39.193512
NL13,35.64026
NL21,34.0345
NL22,34.77858
NL23,37.587177
NL31,36.07296
NL32,40.50735
ITG2,5.7117143
ITH1,56.502617
ITH2,57.19969
FRI3,26.75221
FRJ1,31.97978
FRJ2,39.23373
FRK1,38.56666
FRK2,42.844593
FRL0,24.954927
FRM0,11.723278
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,2.5369356
TR32,4.86686
TR33,7.8076596
HR03,36.33948
HR02,35.2676
HU11,28.59158
HU12,31.341688
HU21,32.360264
HU22,34.333126
PT16,7.9331417
PT17,3.139741
FRF2,32.381138
FRF3,33.96091
FRG0,24.45316
FRH0,25.019238
FRI1,36.257217
FRI2,36.91416
ITC4,55.636375
ITF1,23.575335
ITF2,19.430618
ITF3,14.031038
ITF4,13.995146
ITF5,13.986432
ITF6,17.335308
ITG1,7.7935505
LT01,38.213978
LT02,39.66945
LU00,34.55826
PL22,43.63823
PL41,34.292847
PL42,37.483284
PT18,4.058249
PT20,0.0
PT30,0.0
RO11,38.86363
