nuts,May Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,30.53393
DE60,28.951887
DE71,33.4217
DE72,32.22771
DE73,34.16945
DE80,27.906034
DE91,32.11063
BG41,41.513718
BG42,39.72252
CH01,68.02865
AT32,60.449074
AT33,61.422756
AT34,65.9647
BE10,29.108988
BE23,29.701445
BE24,29.5724
BE25,28.097755
BE31,30.533756
BE32,31.119936
BE33,34.43108
BE34,35.212334
BE35,33.028946
BG31,40.12028
BG32,35.75811
BG33,31.423244
BG34,32.85507
DE92,31.198597
DE93,31.299261
DE94,29.025562
CZ07,37.135696
CZ08,39.993496
AL01,52.79283
AL02,43.633354
AL03,35.725468
AT11,39.16622
AT12,44.238243
AT13,37.594696
AT21,57.810497
AT22,51.583103
AT31,53.96796
DK05,26.838789
BE21,30.11578
BE22,30.266808
ES43,29.551786
ES51,39.786076
ES52,26.640842
ES53,21.188519
ES61,24.93625
ES62,18.87786
ES63,18.60618
ES64,14.970702
CH02,65.01241
CH03,58.344223
CH04,57.362793
CH05,62.071243
CH06,69.54517
CH07,88.90108
CY00,11.689912
CZ01,30.83718
CZ02,31.80266
CZ03,38.833153
CZ04,32.038372
CZ05,31.898516
CZ06,34.688526
DE40,26.349833
EL53,31.098574
EL54,34.21434
EL61,29.12303
EL62,18.60158
EL63,27.86919
ES70,2.2929385
ITC1,65.78375
ITC2,68.83563
DE11,41.94594
DE12,44.21192
DE13,50.760773
DE14,52.481445
DE21,57.01272
DE22,44.023438
DE23,36.978474
DE24,34.494827
DE25,38.801235
DE26,36.40562
DE27,55.50863
DE30,26.817795
EL42,9.043595
LV00,27.453636
ME00,53.997295
MK00,34.764923
MT00,6.4820857
NL11,29.263166
NL12,28.077478
EL64,24.271626
EL65,16.69357
ES11,51.72453
ES12,46.226803
ES13,41.290554
ES21,40.062584
ES22,40.188393
ES23,39.063396
ES24,33.232025
ES30,34.776268
IE05,33.63345
IE06,30.416042
IS00,38.44508
ITC3,43.752174
FI19,23.6752
FI1B,21.237288
FI1C,22.526691
DEA1,31.84843
DEA2,34.039177
DEA3,30.520864
DEA4,32.93284
DEA5,34.96398
DEB1,32.91873
DEB2,32.945126
DEB3,33.02225
DEC0,34.82921
DED2,31.182442
DED4,35.841404
DED5,28.510073
DEE0,29.005844
DEF0,28.063656
DEG0,33.636906
DK01,24.625046
DK02,24.292444
DK03,27.650656
DK04,27.884468
ES41,34.114193
ES42,29.073475
HU23,35.256676
HU31,37.302517
HU32,34.746555
HU33,31.758205
IE04,36.365227
EE00,24.421803
EL30,10.996911
EL41,14.068679
EL43,12.228763
EL51,29.177431
EL52,31.15965
FI20,20.13964
FR10,31.199059
FRB0,34.259586
FRC1,40.53409
FRC2,54.31825
FRD1,31.242569
FRD2,30.614761
FRE1,30.168924
FRE2,32.505665
FRF1,43.961525
NL13,28.816013
NL21,28.88637
NL22,29.701756
NL23,29.930128
NL31,30.676165
NL32,28.149475
ITG2,25.415659
ITH1,52.814766
ITH2,62.67238
FRI3,36.12411
FRJ1,44.35583
FRJ2,46.09763
FRK1,44.237347
FRK2,53.12156
FRL0,42.983448
FRM0,29.06035
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,21.98894
TR32,23.850536
TR33,25.65314
HR03,45.234882
HR02,42.731026
HU11,33.31828
HU12,33.940224
HU21,36.860687
HU22,36.732388
PT16,39.661694
PT17,26.974237
FRF2,35.265736
FRF3,38.095272
FRG0,33.014626
FRH0,33.02139
FRI1,40.49473
FRI2,42.870136
ITC4,58.791622
ITF1,37.90509
ITF2,32.4099
ITF3,33.309177
ITF4,19.8807
ITF5,24.676449
ITF6,26.644737
ITG1,16.835098
LT01,31.616684
LT02,28.112944
LU00,33.5003
PL22,37.678116
PL41,26.618975
PL42,28.182644
PT18,26.358643
PT20,0.0
PT30,0.0
RO11,42.41986
RO12,44.360886
RO21,37.128338
RO22,30.874666
RO31,35.863796
RO32,35.264984
ITH3,53.435413
ITH4,68.28384
ITH5,41.69863
ITI1,35.89054
ITI2,37.3902
ITI3,33.644764
