nuts,February Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,28.75834
DE60,29.011332
DE71,31.75323
DE72,30.028122
DE73,28.368877
DE80,23.6506
DE91,27.719599
BG41,31.529135
BG42,35.66883
CH01,64.90213
AT32,44.341454
AT33,45.428665
AT34,55.451687
BE10,30.02646
BE23,28.027494
BE24,30.725382
BE25,28.04595
BE31,31.155313
BE32,30.439667
BE33,36.20839
BE34,38.75545
BE35,34.995953
BG31,28.388538
BG32,31.015823
BG33,29.797426
BG34,34.424114
DE92,27.605148
DE93,27.841906
DE94,29.973349
CZ07,25.44566
CZ08,26.651937
AL01,81.20591
AL02,59.795723
AL03,57.49388
AT11,27.961397
AT12,29.828526
AT13,27.16829
AT21,43.49132
AT22,37.279007
AT31,40.22079
DK05,29.358414
BE21,30.807201
BE22,32.59504
ES43,33.431957
ES51,33.786594
ES52,25.395378
ES53,26.141842
ES61,29.868956
ES62,19.79357
ES63,39.820564
ES64,22.421913
CH02,57.350815
CH03,46.653397
CH04,46.096996
CH05,49.027237
CH06,55.2483
CH07,63.884407
CY00,25.722387
CZ01,21.09709
CZ02,22.276625
CZ03,28.252335
CZ04,25.888735
CZ05,26.101686
CZ06,23.760223
DE40,22.832708
EL53,35.67208
EL54,64.66432
EL61,47.399044
EL62,63.922237
EL63,60.25301
ES70,7.4548
ITC1,58.837322
ITC2,63.853745
DE11,36.722477
DE12,39.519337
DE13,43.13051
DE14,42.099735
DE21,40.619164
DE22,36.39675
DE23,33.119846
DE24,30.93925
DE25,31.922974
DE26,32.06322
DE27,43.014538
DE30,21.477942
EL42,41.32915
LV00,23.298365
ME00,83.03728
MK00,34.984623
MT00,27.292492
NL11,29.478281
NL12,29.84461
EL64,44.177338
EL65,41.00977
ES11,61.943893
ES12,52.03665
ES13,44.305916
ES21,46.259056
ES22,36.198627
ES23,28.46561
ES24,26.400452
ES30,25.579716
IE05,39.22825
IE06,30.654125
IS00,67.15876
ITC3,55.868267
FI19,18.676775
FI1B,23.67665
FI1C,21.55048
DEA1,33.60415
DEA2,35.25529
DEA3,30.335999
DEA4,30.393332
DEA5,36.126255
DEB1,32.47428
DEB2,34.36867
DEB3,32.52067
DEC0,37.880844
DED2,28.554337
DED4,30.120071
DED5,24.338861
DEE0,22.942375
DEF0,28.707123
DEG0,26.029385
DK01,25.218502
DK02,24.069012
DK03,28.922325
DK04,28.630514
ES41,31.659979
ES42,25.390966
HU23,31.492428
HU31,26.546604
HU32,26.908054
HU33,26.964457
IE04,40.206036
EE00,21.085573
EL30,29.51503
EL41,45.96276
EL43,34.342037
EL51,38.329838
EL52,33.43871
FI20,19.730959
FR10,28.440891
FRB0,31.39826
FRC1,39.085297
FRC2,56.639027
FRD1,33.269077
