nuts,October Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,30.129961
DE60,33.476986
DE71,33.409317
DE72,31.70477
DE73,30.436108
DE80,27.060549
DE91,27.923689
BG41,35.024475
BG42,37.333183
CH01,62.178295
AT32,55.61263
AT33,57.60469
AT34,56.397854
BE10,30.498142
BE23,30.052645
BE24,30.867468
BE25,32.246986
BE31,32.16728
BE32,32.390144
BE33,35.379868
BE34,37.763092
BE35,35.30533
BG31,32.306072
BG32,31.404137
BG33,33.134575
BG34,36.83226
DE92,29.826189
DE93,29.975357
DE94,33.68843
CZ07,30.527033
CZ08,31.359978
AL01,81.12242
AL02,60.46729
AL03,65.058716
AT11,35.877148
AT12,34.02116
AT13,31.373013
AT21,64.71744
AT22,46.471638
AT31,42.53502
DK05,37.859264
BE21,30.9885
BE22,32.642056
ES43,41.0252
ES51,54.3969
ES52,38.208954
ES53,35.763866
ES61,33.326115
ES62,25.352987
ES63,39.46272
ES64,21.315622
CH02,55.069107
CH03,46.673393
CH04,45.512524
CH05,57.42386
CH06,63.8408
CH07,101.79067
CY00,18.105446
CZ01,21.51519
CZ02,24.139006
CZ03,28.199673
CZ04,26.288364
CZ05,28.628271
CZ06,27.296331
DE40,23.453327
EL53,38.3279
EL54,76.50108
EL61,49.461006
EL62,78.15112
EL63,60.46358
ES70,8.3051605
ITC1,79.23653
ITC2,71.46951
DE11,35.05568
DE12,37.295826
DE13,42.318417
DE14,39.9409
DE21,41.642918
DE22,33.243637
DE23,31.117428
DE24,31.838129
DE25,33.25306
DE26,34.07515
DE27,42.01877
DE30,23.90898
EL42,26.061245
LV00,31.172007
ME00,85.23419
MK00,35.049976
MT00,34.070866
NL11,36.401512
NL12,44.07706
EL64,41.623108
EL65,37.477753
ES11,67.86229
ES12,55.180424
ES13,45.532616
ES21,47.12854
ES22,46.20787
ES23,31.80634
ES24,39.335175
ES30,31.993217
IE05,45.59305
IE06,37.481514
IS00,66.47737
ITC3,83.24206
FI19,28.28297
FI1B,31.150982
FI1C,29.310623
DEA1,34.969585
DEA2,36.219666
DEA3,33.93093
DEA4,33.28331
DEA5,38.782413
DEB1,32.72583
DEB2,33.87369
DEB3,32.81529
DEC0,36.78338
DED2,25.90963
DED4,28.495802
DED5,24.078365
DEE0,23.469007
DEF0,34.174843
DEG0,27.144827
DK01,33.504604
DK02,31.960894
DK03,35.204273
DK04,35.596973
ES41,36.194447
ES42,31.327732
HU23,34.12045
HU31,31.384838
HU32,29.166353
HU33,30.954634
IE04,46.525043
EE00,31.958107
EL30,27.960375
EL41,33.206608
EL43,28.485825
EL51,38.730347
EL52,40.60829
FI20,32.557777
FR10,32.505184
FRB0,35.08388
FRC1,40.737446
FRC2,50.11655
FRD1,36.643063
FRD2,35.207924
FRE1,34.86757
FRE2,32.52047
FRF1,40.427155
NL13,31.623983
NL21,32.078278
NL22,30.989277
NL23,35.615692
NL31,32.668613
NL32,45.367638
ITG2,35.750416
ITH1,58.485313
ITH2,75.7778
FRI3,37.278877
FRJ1,70.07717
