nuts,Annual Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,57.913338
DE60,63.428436
DE71,62.143974
DE72,61.50449
DE73,61.260555
DE80,53.52511
DE91,58.14032
BG41,73.75903
BG42,84.03079
CH01,128.906
AT32,106.78432
AT33,110.55305
AT34,116.514305
BE10,59.030277
BE23,56.607117
BE24,57.42001
BE25,56.819542
BE31,57.93091
BE32,58.604507
BE33,64.524475
BE34,66.441055
BE35,60.747883
BG31,76.31224
BG32,78.57312
BG33,71.33598
BG34,76.853615
DE92,57.69272
DE93,57.62291
DE94,60.942215
CZ07,69.04003
CZ08,73.63563
AL01,146.52626
AL02,109.09183
AL03,117.90219
AT11,67.4955
AT12,73.83189
AT13,67.25561
AT21,111.559364
AT22,87.783005
AT31,91.23999
DK05,58.291607
BE21,58.432034
BE22,57.392887
ES43,80.059044
ES51,94.95198
ES52,83.56119
ES53,67.4868
ES61,80.79311
ES62,66.90793
ES63,98.93516
ES64,59.758244
CH02,112.051704
CH03,92.95278
CH04,93.63287
CH05,115.96297
CH06,128.33044
CH07,182.79938
CY00,60.364838
CZ01,61.894966
CZ02,60.84223
CZ03,67.289505
CZ04,62.809395
CZ05,63.434177
CZ06,62.54546
DE40,55.023674
EL53,79.78406
EL54,136.21567
EL61,111.37471
EL62,139.19408
EL63,120.61194
ES70,27.340725
ITC1,148.347
ITC2,145.65709
DE11,68.35418
DE12,72.29107
DE13,84.58222
DE14,83.80324
DE21,91.497765
DE22,74.4399
DE23,66.17476
DE24,63.06191
DE25,65.205345
DE26,63.13115
DE27,90.9044
DE30,54.80786
EL42,73.93385
LV00,57.164104
ME00,156.04639
MK00,73.94363
MT00,74.98827
NL11,64.121574
NL12,66.70449
EL64,97.22511
EL65,92.45458
ES11,117.775986
ES12,105.10409
ES13,89.09495
ES21,87.1094
ES22,80.74592
ES23,66.28806
ES24,70.9882
ES30,65.13584
IE05,67.72617
IE06,60.71935
IS00,99.91991
ITC3,134.09885
FI19,52.75332
FI1B,54.14635
FI1C,53.104156
DEA1,60.56585
DEA2,66.40492
DEA3,60.057587
DEA4,61.338295
DEA5,70.32035
DEB1,61.459183
DEB2,62.536205
DEB3,59.76562
DEC0,67.742775
DED2,64.591515
DED4,67.83379
DED5,56.974453
DEE0,52.929264
DEF0,60.261562
DEG0,60.32649
DK01,56.48307
DK02,57.21159
DK03,58.92549
DK04,57.8686
ES41,70.763214
ES42,64.27012
HU23,65.70966
HU31,59.779816
HU32,62.11403
HU33,58.200256
IE04,69.92351
EE00,57.031143
EL30,75.78125
EL41,90.10088
EL43,69.878426
EL51,87.512276
EL52,88.87701
FI20,51.270775
FR10,52.996048
FRB0,57.962906
FRC1,71.2329
FRC2,95.01386
FRD1,60.392754
FRD2,58.06272
FRE1,58.618347
FRE2,55.254517
FRF1,76.310524
NL13,57.712807
NL21,57.98563
NL22,57.27149
NL23,59.555634
NL31,57.04516
NL32,67.20249
ITG2,74.153076
ITH1,102.0128
ITH2,122.071915
FRI3,65.35795
FRJ1,119.22902
FRJ2,86.772316
FRK1,80.481316
FRK2,105.99564
FRL0,100.41011
FRM0,91.71473
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,95.06083
TR32,95.259995
TR33,63.471554
HR03,130.91461
HR02,82.25291
HU11,59.386322
HU12,59.68679
HU21,61.433514
HU22,66.83494
PT16,97.58951
PT17,76.508736
FRF2,66.039604
FRF3,74.43811
FRG0,59.082367
FRH0,62.22778
FRI1,80.89713
FRI2,78.08111
ITC4,120.67777
ITF1,100.65483
ITF2,94.40254
ITF3,113.3212
ITF4,78.180534
ITF5,83.40905
ITF6,109.54408
ITG1,82.899895
LT01,56.85962
LT02,56.225796
LU00,64.28213
PL22,70.6074
PL41,59.27899
PL42,58.889416
PT18,74.36984
PT20,0.0
PT30,0.0
RO11,74.68078
RO12,78.26025
RO21,79.10153
RO22,71.76517
RO31,78.70235
RO32,79.78837
ITH3,120.546684
ITH4,156.49957
ITH5,102.76764
ITI1,102.77135
ITI2,90.49823
ITI3,85.81864
ITI4,111.93317
LI00,127.307495
FI1D,54.313057
TR82,73.14886
TR83,69.22841
TR90,102.60143
TRA1,69.47098
TRA2,82.06672
PL43,56.34379
PL51,65.258026
PL52,64.39749
PL61,58.37718
PL62,55.21094
PL63,58.64361
PL71,56.52852
PL72,61.97903
PL81,63.488174
PL82,71.42172
PL84,57.072563
PL91,56.855164
PL92,57.35258
PT11,117.698814
PT15,83.20936
TRB1,87.60364
TRB2,102.28325
TRC1,81.702095
RS12,61.53088
RS21,73.7775
RS22,66.67228
SE11,52.586647
SE12,54.481388
NL33,61.440773
NL34,58.863148
NL41,55.876423
NL42,57.0669
PL21,73.85206
UKM6,83.2112
TR22,84.58886
TRC2,77.47106
TRC3,73.93899
UKC1,60.820854
UKC2,62.078857
UKD1,76.45874
UKD3,62.504616
UKD4,71.30505
UKD6,56.500393
UKD7,63.01498
UKE1,51.749714
UKE2,60.9365
UKE3,54.20826
RO41,80.28077
RO42,71.81632
RS11,68.088486
TR41,64.730705
TR42,79.201675
TR51,50.10695
TR52,56.882675
TR61,99.91819
TR62,104.161575
TR63,87.83378
TR71,52.920097
TR72,58.8111
TR81,87.335594
UKK1,55.439064
UKK2,59.257793
UKK3,63.71986
UKK4,62.47389
UKL1,74.01655
UKL2,66.714905
UKM5,64.77532
UKM7,72.70425
UKM8,81.35176
UKM9,71.18845
UKN0,63.660057
SE21,55.184444
SE22,54.298958
SE23,62.13647
SE31,60.806747
SE32,63.408577
SE33,65.78067
SI03,101.36473
SI04,129.52586
SK01,64.37599
SK02,63.972042
SK03,71.34458
SK04,68.16525
TR10,82.958405
TR21,78.98139
UKE4,60.007866
UKF1,53.35579
UKF2,50.180367
UKF3,51.365494
UKG1,54.87749
UKG2,54.688267
UKG3,52.222485
UKH1,50.787697
UKH2,49.300125
UKH3,48.92987
UKI3,50.259296
UKI4,50.259296
UKI5,49.675655
UKI6,51.09545
UKI7,50.038322
UKJ1,50.695244
UKJ2,56.5055
UKJ3,55.869953
UKJ4,52.470535
NO09,101.57749
NO0A,136.9492
NO0B,54.057434
HR05,80.20856
HR06,81.79856
NO02,74.302864
NO06,93.781235
NO07,82.282425
NO08,78.0041
