nuts,September Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,31.137386
DE60,31.277882
DE71,33.286686
DE72,33.560432
DE73,34.013397
DE80,27.9586
DE91,32.235207
BG41,28.825788
BG42,30.135696
CH01,65.41369
AT32,60.223972
AT33,59.60473
AT34,64.23193
BE10,28.063776
BE23,28.600746
BE24,28.611593
BE25,30.091238
BE31,28.466251
BE32,27.694105
BE33,33.18313
BE34,35.338303
BE35,31.319965
BG31,30.592224
BG32,32.498913
BG33,29.054874
BG34,30.9374
DE92,31.244934
DE93,30.58351
DE94,33.318733
CZ07,35.470417
CZ08,37.941505
AL01,60.43409
AL02,44.59476
AL03,48.64791
AT11,38.59985
AT12,41.07857
AT13,37.653957
AT21,62.38028
AT22,51.579815
AT31,50.02274
DK05,37.10692
BE21,30.234606
BE22,30.608408
ES43,19.650005
ES51,41.84988
ES52,35.199387
ES53,28.957644
ES61,18.229467
ES62,26.124214
ES63,14.9810095
ES64,15.098541
CH02,64.380684
CH03,55.224693
CH04,53.096004
CH05,60.204662
CH06,75.2199
CH07,97.596146
CY00,3.659744
CZ01,28.067106
CZ02,29.7972
CZ03,33.928455
CZ04,30.693726
CZ05,33.6388
CZ06,35.405666
DE40,27.351664
EL53,30.014212
EL54,48.62169
EL61,32.190437
EL62,51.435497
EL63,36.18956
ES70,3.9249961
ITC1,67.248344
ITC2,61.522327
DE11,34.78221
DE12,36.738705
DE13,42.499744
DE14,46.131123
DE21,49.154926
DE22,37.611595
DE23,35.375854
DE24,33.435123
DE25,33.259937
DE26,31.989656
DE27,48.034363
DE30,26.92372
EL42,6.0194635
LV00,32.81502
ME00,64.93997
MK00,28.858597
MT00,26.919573
NL11,36.577026
NL12,43.85365
EL64,24.214617
EL65,17.182812
ES11,36.74265
ES12,37.336967
ES13,32.295353
ES21,27.7153
ES22,30.875435
ES23,21.278963
ES24,30.325706
ES30,16.87287
IE05,38.351078
IE06,33.59295
IS00,60.842888
ITC3,57.948597
FI19,31.47527
FI1B,34.031227
FI1C,32.47121
DEA1,33.556602
DEA2,35.340584
DEA3,32.01272
DEA4,32.682327
DEA5,36.769703
DEB1,34.205723
DEB2,33.716743
DEB3,33.85167
DEC0,37.476204
DED2,31.039705
DED4,34.048615
DED5,30.400244
DEE0,30.454702
DEF0,32.28894
DEG0,33.00857
DK01,33.16098
DK02,30.797552
DK03,35.18483
DK04,36.111046
ES41,21.498241
ES42,20.018122
HU23,33.3515
HU31,30.637272
HU32,29.934986
HU33,28.274078
IE04,43.45153
EE00,32.49831
EL30,10.902848
EL41,14.201004
EL43,10.128074
EL51,24.325624
EL52,31.32239
FI20,32.231438
FR10,26.704226
FRB0,29.154556
FRC1,40.91855
FRC2,51.014374
FRD1,29.571054
FRD2,27.97591
FRE1,27.34513
FRE2,26.159006
FRF1,39.994175
NL13,32.142437
NL21,31.690197
NL22,30.947124
NL23,35.500374
NL31,33.053764
NL32,43.695976
ITG2,25.126356
ITH1,49.429012
ITH2,59.437447
FRI3,30.606514
FRJ1,47.912903
FRJ2,38.989124
FRK1,44.518227
FRK2,51.871166
FRL0,41.009148
FRM0,30.220139
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,15.043372
TR32,13.427669
TR33,12.96253
HR03,62.62566
HR02,42.984665
HU11,30.417347
HU12,33.094048
HU21,32.80405
HU22,37.218533
PT16,26.84202
PT17,13.857635
FRF2,35.38385
FRF3,41.709923
FRG0,26.92538
FRH0,27.655613
FRI1,35.043633
FRI2,42.610806
ITC4,62.26455
ITF1,42.773525
ITF2,34.397083
ITF3,47.61191
ITF4,32.93023
ITF5,29.56852
ITF6,41.99859
ITG1,35.62537
LT01,31.571335
LT02,32.066284
LU00,34.30419
PL22,36.942127
PL41,27.662601
PL42,30.078356
PT18,15.661439
PT20,0.0
PT30,0.0
RO11,36.287735
RO12,37.520473
RO21,31.76843
RO22,29.418554
RO31,32.52682
RO32,31.363998
ITH3,62.615643
ITH4,82.71376
ITH5,49.92679
ITI1,50.271698
ITI2,42.47113
ITI3,48.06773
ITI4,46.137684
LI00,72.79286
FI1D,30.62906
TR82,25.643192
TR83,22.829966
TR90,53.438877
TRA1,18.063322
TRA2,28.44489
PL43,26.850986
PL51,31.745817
PL52,32.265705
PL61,26.988928
PL62,31.046804
PL63,31.316334
PL71,29.602558
PL72,33.285187
PL81,34.98654
PL82,39.638084
PL84,31.262335
PL91,29.432306
PL92,30.629839
PT11,32.50001
PT15,14.044453
TRB1,9.441633
TRB2,9.1577635
TRC1,4.601619
RS12,29.188028
RS21,35.772846
RS22,30.128908
SE11,30.629671
SE12,30.393654
NL33,37.60395
NL34,33.511753
NL41,30.957712
NL42,30.307446
PL21,39.08533
UKM6,50.4221
TR22,20.237528
TRC2,4.1387095
TRC3,3.1735058
UKC1,31.731812
UKC2,31.839323
UKD1,43.18885
UKD3,37.854473
UKD4,44.649593
UKD6,31.066
UKD7,38.586506
UKE1,28.370682
UKE2,32.789497
UKE3,27.403154
RO41,35.253654
RO42,33.985405
RS11,31.433455
TR41,20.157084
TR42,28.241892
TR51,10.455845
TR52,7.743982
TR61,13.389933
TR62,12.532486
TR63,9.9952545
TR71,8.837303
TR72,13.163025
TR81,34.13187
UKK1,27.204424
UKK2,29.458797
UKK3,31.007067
UKK4,30.387537
UKL1,39.456253
UKL2,33.601948
UKM5,34.60164
UKM7,39.791313
UKM8,48.65817
UKM9,40.213364
UKN0,37.67551
SE21,29.822102
SE22,31.4327
SE23,37.658134
SE31,36.00144
SE32,37.112152
SE33,35.91981
SI03,58.80685
SI04,75.46143
SK01,36.485344
SK02,34.64413
SK03,37.704597
SK04,34.530243
TR10,32.44266
TR21,24.381351
UKE4,34.516003
UKF1,27.36147
UKF2,26.293516
UKF3,26.706652
UKG1,27.411924
UKG2,28.353182
UKG3,26.554148
UKH1,26.734392
UKH2,24.018517
UKH3,25.272009
UKI3,23.56562
UKI4,23.56562
UKI5,23.728258
UKI6,23.406082
UKI7,23.695795
UKJ1,24.717396
UKJ2,28.139711
UKJ3,28.029066
UKJ4,25.231844
NO09,59.518433
NO0A,84.248566
NO0B,29.145462
HR05,47.55751
HR06,45.224674
NO02,40.16562
NO06,59.91191
NO07,45.22917
NO08,45.19014
