nuts,June Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,42.155342
DE60,40.456436
DE71,35.894573
DE72,38.54142
DE73,38.572582
DE80,36.02218
DE91,37.25672
BG41,39.459335
BG42,38.246853
CH01,70.36381
AT32,73.4989
AT33,76.49351
AT34,85.278725
BE10,37.2782
BE23,31.75972
BE24,37.637154
BE25,29.99687
BE31,39.95109
BE32,35.13053
BE33,42.047195
BE34,40.11063
BE35,41.3084
BG31,40.676975
BG32,41.996956
BG33,38.130947
BG34,32.601185
DE92,36.459312
DE93,38.03725
DE94,39.398056
CZ07,45.703434
CZ08,48.221943
AL01,38.4468
AL02,31.675032
AL03,24.305178
AT11,43.409386
AT12,50.609
AT13,42.758095
AT21,65.57712
AT22,62.631348
AT31,63.908756
DK05,40.001755
BE21,35.104492
BE22,36.13381
ES43,9.19733
ES51,26.71733
ES52,14.1223545
ES53,7.020128
ES61,9.887922
ES62,9.091203
ES63,4.4699497
ES64,5.3662453
CH02,71.407486
CH03,65.45159
CH04,64.962204
CH05,75.44017
CH06,86.34202
CH07,86.97772
CY00,2.5060685
CZ01,34.59411
CZ02,37.49733
CZ03,43.03798
CZ04,38.044743
CZ05,42.96063
CZ06,41.886887
DE40,36.07777
EL53,20.78473
EL54,18.186432
EL61,18.74038
EL62,11.529273
EL63,14.627578
ES70,1.6869308
ITC1,56.87802
ITC2,59.812172
DE11,41.19509
DE12,40.8095
DE13,52.541046
DE14,60.858765
DE21,68.615616
DE22,50.704807
DE23,43.883793
DE24,40.834072
DE25,41.615166
DE26,38.76999
DE27,65.74085
DE30,35.541687
EL42,1.4587803
LV00,40.97336
ME00,39.675953
MK00,29.053608
MT00,1.4284127
NL11,42.07141
NL12,37.132908
EL64,13.62219
EL65,8.840583
ES11,25.870678
ES12,38.00288
ES13,35.908752
ES21,35.22088
ES22,32.468185
ES23,29.940716
ES24,23.538696
ES30,14.3754835
IE05,32.598263
IE06,32.086723
IS00,37.162296
ITC3,34.351166
FI19,39.573048
FI1B,37.809044
FI1C,38.80704
DEA1,35.06364
DEA2,39.712154
DEA3,36.557987
DEA4,36.634045
DEA5,41.380962
DEB1,38.651436
DEB2,37.766705
DEB3,34.821552
DEC0,37.02525
DED2,39.454906
DED4,39.471302
DED5,32.249187
DEE0,32.66771
DEF0,38.628788
DEG0,36.25617
DK01,36.35777
DK02,35.392067
DK03,40.444977
DK04,39.66503
ES41,21.789827
ES42,16.072487
HU23,40.58451
HU31,40.656635
HU32,38.825554
HU33,37.587227
IE04,36.390423
EE00,41.66475
EL30,4.1504793
EL41,5.2631717
EL43,3.819538
EL51,26.076263
EL52,23.938797
FI20,30.080982
FR10,30.522482
FRB0,28.67048
FRC1,39.478657
FRC2,53.64204
FRD1,29.090715
FRD2,28.966286
FRE1,31.086073
FRE2,32.329
FRF1,44.769638
NL13,39.655872
NL21,38.10977
NL22,36.07803
NL23,37.033127
