nuts,September Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,32.647236
DE60,33.54873
DE71,31.476587
DE72,34.04572
DE73,32.61639
DE80,28.718628
DE91,32.12258
BG41,29.737352
BG42,31.13626
CH01,59.755592
AT32,66.522545
AT33,62.07878
AT34,61.995857
BE10,27.9173
BE23,28.060408
BE24,28.333672
BE25,31.034756
BE31,28.415493
BE32,27.295986
BE33,32.71407
BE34,33.40741
BE35,31.102886
BG31,34.102615
BG32,33.78197
BG33,33.250423
BG34,34.22019
DE92,31.794449
DE93,32.435177
DE94,34.892433
CZ07,38.770226
CZ08,40.37327
AL01,58.041496
AL02,43.651264
AL03,45.73081
AT11,43.958225
AT12,46.30084
AT13,42.295044
AT21,64.32186
AT22,58.30153
AT31,55.487892
DK05,36.129116
BE21,29.141916
BE22,30.307707
ES43,21.3046
ES51,41.34941
ES52,35.32186
ES53,28.239704
ES61,18.378939
ES62,24.758354
ES63,17.773779
ES64,16.462015
CH02,57.201572
CH03,50.91462
CH04,49.313595
CH05,59.45559
CH06,67.989586
CH07,103.639015
CY00,4.344585
CZ01,30.223768
CZ02,31.982046
CZ03,36.919147
CZ04,33.030296
CZ05,35.96798
CZ06,38.601585
DE40,27.79781
EL53,31.033815
EL54,44.327007
EL61,35.545956
EL62,50.19357
EL63,34.401234
ES70,3.880962
ITC1,68.03426
ITC2,57.63073
DE11,32.48447
DE12,34.952362
DE13,41.116066
DE14,42.872566
DE21,49.31812
DE22,41.032883
DE23,35.91013
DE24,33.273552
DE25,32.005287
DE26,30.957504
DE27,45.7977
DE30,26.495844
EL42,6.3560553
LV00,31.375034
ME00,62.4087
MK00,28.202488
MT00,28.056347
NL11,37.832813
NL12,42.4761
EL64,25.646402
EL65,18.89743
ES11,41.767593
ES12,38.996796
ES13,37.061764
ES21,32.494965
ES22,33.781445
ES23,24.680399
ES24,31.688515
ES30,18.891285
IE05,37.097637
IE06,32.944378
IS00,57.357994
ITC3,57.756176
FI19,29.00527
FI1B,30.981293
FI1C,30.157946
DEA1,32.702106
DEA2,34.459957
DEA3,33.316032
DEA4,33.63511
DEA5,37.250866
DEB1,32.040478
DEB2,32.025894
DEB3,30.643742
DEC0,33.610527
DED2,32.618263
DED4,34.74502
DED5,30.617304
DEE0,28.916018
DEF0,33.37833
DEG0,31.352842
DK01,32.096825
DK02,31.795147
DK03,34.904053
DK04,36.200993
ES41,23.220366
ES42,19.286415
HU23,36.91999
HU31,31.706259
HU32,31.65642
HU33,30.775623
IE04,41.736874
EE00,32.861427
EL30,11.909996
EL41,13.981803
EL43,9.942695
EL51,23.54193
EL52,32.19733
FI20,28.47893
FR10,25.310755
FRB0,28.031805
FRC1,38.817646
FRC2,48.820374
FRD1,29.853207
FRD2,27.813164
FRE1,27.63874
FRE2,26.941252
FRF1,40.110962
NL13,33.693707
NL21,33.19199
NL22,30.295877
NL23,35.711952
NL31,32.031025
NL32,43.073982
ITG2,24.263914
ITH1,51.98052
ITH2,63.66178
FRI3,30.379227
FRJ1,48.518265
FRJ2,39.56727
FRK1,41.895275
FRK2,49.823895
FRL0,43.84167
FRM0,31.760704
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,15.462915
TR32,12.55134
TR33,12.3372
HR03,62.93017
HR02,44.68105
HU11,31.852015
HU12,32.104458
HU21,34.50933
HU22,39.9634
PT16,28.325148
PT17,16.777134
FRF2,35.38363
FRF3,39.242928
FRG0,27.742546
FRH0,29.158072
FRI1,37.64032
FRI2,41.867733
ITC4,62.85938
ITF1,41.400253
ITF2,37.944138
ITF3,43.58439
ITF4,32.756073
ITF5,29.476233
ITF6,41.01463
ITG1,35.767403
LT01,31.620989
LT02,31.856491
LU00,33.1424
PL22,37.746025
PL41,28.670198
PL42,29.257284
PT18,17.476297
PT20,0.0
PT30,0.0
RO11,38.6005
RO12,39.46408
RO21,35.74683
RO22,30.559223
RO31,34.69354
RO32,32.749226
ITH3,65.34291
ITH4,86.266
ITH5,50.637417
ITI1,52.146885
ITI2,44.645447
ITI3,43.74038
ITI4,47.158962
LI00,72.43075
FI1D,29.52454
TR82,28.101442
TR83,21.387087
TR90,53.89661
TRA1,18.22147
TRA2,28.333124
PL43,26.286205
PL51,32.627987
PL52,33.846928
PL61,26.580414
PL62,31.387997
PL63,30.441696
PL71,29.273716
PL72,35.170784
PL81,35.19052
PL82,41.13965
PL84,29.661987
PL91,29.7724
PL92,30.971605
PT11,39.019142
PT15,13.552792
TRB1,11.351254
TRB2,11.0313835
TRC1,5.4266424
RS12,30.837267
RS21,34.555073
RS22,28.982315
SE11,28.659296
SE12,30.212646
NL33,36.91808
NL34,31.940958
NL41,29.58524
NL42,29.894796
PL21,41.086952
UKM6,51.650383
TR22,18.320278
TRC2,4.755617
TRC3,3.5021708
UKC1,33.536495
UKC2,31.530914
UKD1,42.720284
UKD3,36.402786
UKD4,42.735703
UKD6,32.22768
UKD7,39.40455
UKE1,30.081713
UKE2,34.685238
UKE3,28.957253
RO41,36.75174
RO42,36.3728
RS11,32.430603
TR41,17.503458
TR42,29.483492
TR51,10.780215
TR52,8.837404
TR61,12.196323
TR62,17.537083
TR63,11.8653755
TR71,9.787325
TR72,13.406984
TR81,40.07837
UKK1,29.48351
UKK2,32.142323
UKK3,32.43387
UKK4,31.961441
UKL1,41.653362
UKL2,35.13867
UKM5,34.741665
UKM7,40.625206
UKM8,51.21777
UKM9,41.527386
UKN0,37.53808
SE21,29.953808
SE22,30.363573
SE23,37.146217
SE31,33.937656
SE32,35.788055
SE33,35.512936
SI03,61.64022
SI04,73.43852
SK01,39.681904
SK02,37.315224
SK03,39.245575
SK04,37.826252
TR10,30.32869
TR21,24.33207
UKE4,33.18782
UKF1,28.961773
UKF2,25.849876
UKF3,27.149433
UKG1,29.626265
UKG2,29.661695
UKG3,28.123442
UKH1,26.132904
UKH2,24.874737
UKH3,23.837933
UKI3,23.324516
UKI4,23.324516
UKI5,23.420433
UKI6,24.156185
UKI7,23.992903
UKJ1,26.70187
UKJ2,27.694223
UKJ3,29.454594
UKJ4,25.804045
NO09,60.02156
NO0A,81.36546
NO0B,29.26451
HR05,47.806866
HR06,48.305355
NO02,41.438644
NO06,56.44099
NO07,46.082733
NO08,46.895008
