nuts,May Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,31.089386
DE60,31.307678
DE71,34.00256
DE72,32.067562
DE73,33.298954
DE80,29.619022
DE91,31.43532
BG41,44.367695
BG42,40.078144
CH01,67.34949
AT32,64.51759
AT33,66.887566
AT34,71.53371
BE10,30.504198
BE23,31.38784
BE24,30.749577
BE25,30.718504
BE31,31.187456
BE32,31.808813
BE33,33.720753
BE34,33.86162
BE35,32.92562
BG31,42.653885
BG32,38.56617
BG33,32.369946
BG34,34.466618
DE92,30.773767
DE93,30.57877
DE94,29.81843
CZ07,39.9828
CZ08,40.693768
AL01,52.89646
AL02,44.837753
AL03,35.518036
AT11,39.17022
AT12,47.868706
AT13,39.926445
AT21,56.864056
AT22,54.124966
AT31,60.645657
DK05,29.314735
BE21,30.384726
BE22,32.597157
ES43,23.834324
ES51,38.456383
ES52,25.558802
ES53,20.680971
ES61,22.948256
ES62,17.921246
ES63,16.97887
ES64,14.811893
CH02,65.87431
CH03,60.231117
CH04,55.770664
CH05,62.456947
CH06,72.462944
CH07,81.35225
CY00,9.499387
CZ01,35.072388
CZ02,34.96585
CZ03,40.997456
CZ04,34.385464
CZ05,34.05343
CZ06,35.804276
DE40,31.003185
EL53,32.686657
EL54,34.95382
EL61,29.88838
EL62,20.639713
EL63,30.159231
ES70,2.5804946
ITC1,63.366486
ITC2,64.80943
DE11,43.400803
DE12,44.25574
DE13,51.77858
DE14,52.455795
DE21,61.32751
DE22,46.61923
DE23,41.845036
DE24,36.7055
DE25,41.153378
DE26,35.7283
DE27,58.401405
DE30,30.929792
EL42,8.64055
LV00,31.318674
ME00,55.077675
MK00,35.64642
MT00,5.958547
NL11,29.918179
NL12,30.508537
EL64,25.88452
EL65,17.034056
ES11,43.921593
ES12,45.52994
ES13,41.993988
ES21,41.46815
ES22,39.565712
ES23,41.45114
ES24,34.364086
ES30,26.836203
IE05,35.16619
IE06,31.975128
IS00,38.943375
ITC3,44.250996
FI19,25.39089
FI1B,24.23278
FI1C,24.52538
DEA1,33.854946
DEA2,34.34302
DEA3,32.828197
DEA4,31.333517
DEA5,35.582306
DEB1,35.25445
DEB2,35.470264
DEB3,35.03467
DEC0,38.455574
DED2,32.0891
DED4,37.082413
DED5,30.537037
DEE0,31.993809
DEF0,29.740946
DEG0,34.13407
DK01,27.83255
DK02,26.99026
DK03,29.433857
DK04,30.16033
ES41,31.060904
ES42,27.763958
HU23,35.931988
HU31,37.461384
HU32,35.85916
HU33,32.26353
IE04,36.290413
EE00,26.765093
EL30,11.599368
EL41,14.867506
EL43,10.8046465
EL51,29.94437
EL52,34.041363
FI20,22.237465
FR10,31.241426
FRB0,33.54743
FRC1,41.692036
FRC2,55.41316
FRD1,31.52888
FRD2,31.04037
FRE1,31.866402
FRE2,31.78952
FRF1,46.724766
