nuts,April Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,28.212324
DE60,26.468084
DE71,32.28032
DE72,29.565538
DE73,30.215204
DE80,25.007742
DE91,28.34351
BG41,39.996365
BG42,38.0765
CH01,56.6261
AT32,50.71317
AT33,51.97245
AT34,55.76006
BE10,27.074448
BE23,28.113117
BE24,28.036886
BE25,27.970648
BE31,28.050653
BE32,28.678055
BE33,31.896923
BE34,34.520905
BE35,31.010468
BG31,41.36432
BG32,37.27741
BG33,32.60993
BG34,35.13689
DE92,28.432413
DE93,27.337393
DE94,27.767887
CZ07,32.24803
CZ08,36.434334
AL01,59.822296
AL02,46.56984
AL03,42.405453
AT11,29.948381
AT12,34.769737
AT13,28.306595
AT21,50.229404
AT22,44.350502
AT31,47.52483
DK05,25.931578
BE21,27.86631
BE22,29.151882
ES43,28.580845
ES51,33.422646
ES52,24.535742
ES53,17.755323
ES61,25.227257
ES62,17.70761
ES63,24.154089
ES64,16.161055
CH02,53.78014
CH03,48.60372
CH04,48.93108
CH05,56.470955
CH06,60.80238
CH07,81.493515
CY00,12.130639
CZ01,24.365995
CZ02,26.450182
CZ03,31.556496
CZ04,28.276701
CZ05,28.945555
CZ06,25.49295
DE40,25.50518
EL53,34.93738
EL54,41.699066
EL61,35.959938
EL62,32.050674
EL63,37.544838
ES70,2.099536
ITC1,69.01081
ITC2,65.26559
DE11,35.195396
DE12,36.157566
DE13,42.90949
DE14,42.418365
DE21,45.9424
DE22,36.439922
DE23,32.372807
DE24,32.329483
DE25,32.186844
DE26,33.028263
DE27,44.205235
DE30,25.314758
EL42,16.339622
LV00,26.16377
ME00,65.75776
MK00,38.31348
MT00,11.7644615
NL11,27.376469
NL12,25.143618
EL64,28.95236
EL65,23.34452
ES11,50.74232
ES12,45.84549
ES13,42.40953
ES21,42.81618
ES22,37.42289
ES23,29.351292
ES24,28.934269
ES30,24.87363
IE05,33.552086
IE06,30.30496
IS00,51.524696
ITC3,55.0982
FI19,22.589552
FI1B,21.054052
FI1C,21.73677
DEA1,28.624355
DEA2,31.088001
DEA3,28.184357
DEA4,28.851166
DEA5,32.086876
DEB1,29.147425
DEB2,31.285845
DEB3,29.013647
DEC0,32.636215
DED2,27.727882
DED4,31.036942
DED5,26.750656
DEE0,26.50817
DEF0,25.344236
DEG0,30.424026
DK01,23.111092
DK02,22.604637
DK03,25.449848
DK04,25.569563
ES41,28.159134
ES42,24.900509
HU23,28.666348
HU31,28.819395
HU32,27.999166
HU33,27.658466
IE04,35.471645
EE00,22.256413
EL30,17.282454
EL41,25.030048
EL43,16.225536
EL51,33.68656
EL52,34.48523
FI20,18.624453
FR10,28.624453
FRB0,32.31324
FRC1,39.97745
FRC2,51.159416
FRD1,29.315317
FRD2,30.64156
FRE1,29.405476
FRE2,29.153181
FRF1,38.154102
NL13,27.251448
NL21,28.173347
NL22,27.502296
NL23,27.920578
NL31,28.54983
NL32,26.268713
ITG2,30.103943
ITH1,45.857975
ITH2,52.769928
FRI3,32.984962
FRJ1,44.18384
FRJ2,44.298416
FRK1,41.84721
FRK2,51.266296
FRL0,43.547775
FRM0,34.625084
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,30.75473
TR32,27.856472
TR33,28.131166
HR03,53.08479
HR02,39.53978
HU11,26.85362
HU12,27.216623
HU21,28.166132
HU22,28.72389
PT16,36.568195
PT17,27.626745
FRF2,34.66149
FRF3,36.11444
FRG0,28.01478
FRH0,29.809574
