nuts,June Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,37.093796
DE60,38.373257
DE71,35.45658
DE72,35.347507
DE73,34.58434
DE80,34.771976
DE91,33.241215
BG41,42.877186
BG42,39.50055
CH01,67.7084
AT32,69.819046
AT33,72.32781
AT34,77.12487
BE10,33.820354
BE23,30.968132
BE24,34.42499
BE25,30.726954
BE31,35.476246
BE32,32.28417
BE33,40.408318
BE34,39.65863
BE35,38.254807
BG31,41.88803
BG32,40.201084
BG33,35.71899
BG34,33.129074
DE92,33.65997
DE93,36.80225
DE94,37.430687
CZ07,42.118748
CZ08,44.61649
AL01,41.542736
AL02,33.769657
AL03,25.853123
AT11,41.766678
AT12,45.694675
AT13,40.70519
AT21,64.62757
AT22,57.618507
AT31,57.058727
DK05,35.41185
BE21,35.05058
BE22,37.79298
ES43,14.992724
ES51,31.328787
ES52,19.548388
ES53,12.393429
ES61,13.3024025
ES62,13.248898
ES63,7.076881
ES64,8.232527
CH02,67.837975
CH03,61.421944
CH04,58.490772
CH05,68.70201
CH06,81.88861
CH07,87.5221
CY00,3.8410802
CZ01,35.628864
CZ02,36.620697
CZ03,39.5614
CZ04,35.707485
CZ05,38.691296
CZ06,39.362965
DE40,32.57982
EL53,24.400318
EL54,23.232843
EL61,20.117012
EL62,11.961581
EL63,19.19526
ES70,1.7693832
ITC1,68.15603
ITC2,63.806072
DE11,39.875637
DE12,41.146187
DE13,49.29262
DE14,54.165806
DE21,59.618954
DE22,44.25026
DE23,39.585648
DE24,36.38465
DE25,36.404892
DE26,34.81169
DE27,60.88874
DE30,31.659336
EL42,2.0184672
LV00,36.772324
ME00,46.61233
MK00,31.010366
MT00,1.7073406
NL11,39.90711
NL12,35.30008
EL64,16.782974
EL65,10.910802
ES11,34.071182
ES12,47.247803
ES13,40.974586
ES21,39.17963
ES22,38.161877
ES23,37.523174
ES24,30.078505
ES30,21.54134
IE05,34.415733
IE06,34.082603
IS00,35.221966
ITC3,41.262573
FI19,33.80691
FI1B,32.841217
FI1C,32.20606
DEA1,36.703285
DEA2,39.280357
DEA3,37.63391
DEA4,35.038696
DEA5,39.646965
DEB1,36.453568
DEB2,36.09156
DEB3,34.6854
DEC0,37.736675
DED2,34.53605
