nuts,October Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,34.26597
DE60,38.92604
DE71,36.583046
DE72,37.549553
DE73,34.64777
DE80,28.825823
DE91,31.344938
BG41,33.870567
BG42,34.745388
CH01,64.56406
AT32,57.36567
AT33,57.67081
AT34,60.05086
BE10,33.230816
BE23,35.46489
BE24,34.197502
BE25,37.095802
BE31,34.580166
BE32,34.88125
BE33,38.092068
BE34,41.081326
BE35,37.413044
BG31,31.13836
BG32,32.20125
BG33,33.50397
BG34,35.73459
DE92,33.98382
DE93,34.661366
DE94,38.956867
CZ07,30.583776
CZ08,32.218296
AL01,81.403206
AL02,60.008
AL03,62.106556
AT11,36.862232
AT12,33.866528
AT13,31.95959
AT21,69.09116
AT22,48.227116
AT31,42.734917
DK05,42.071003
BE21,35.48196
BE22,35.47797
ES43,40.86759
ES51,43.406204
ES52,37.291237
ES53,35.68808
ES61,32.707615
ES62,24.085325
ES63,35.414978
ES64,21.779222
CH02,59.369545
CH03,49.47778
CH04,51.732437
CH05,63.081207
CH06,66.05686
CH07,97.00886
CY00,16.726198
CZ01,24.221203
CZ02,26.272966
CZ03,30.514929
CZ04,29.591185
CZ05,30.670803
CZ06,26.189295
DE40,25.96017
EL53,36.285202
EL54,69.576126
EL61,47.40544
EL62,75.00353
EL63,57.924686
ES70,7.157831
ITC1,80.07446
ITC2,68.84955
DE11,40.083233
DE12,44.104702
DE13,47.907776
DE14,43.24584
DE21,44.39295
DE22,38.19871
DE23,36.52307
DE24,36.39008
DE25,37.167965
DE26,39.104706
DE27,46.15042
DE30,25.372995
EL42,26.279158
LV00,34.546616
ME00,90.27651
MK00,34.211994
MT00,35.887962
NL11,41.950897
NL12,50.029705
EL64,41.394646
EL65,36.95849
ES11,64.39749
ES12,50.336708
ES13,41.317192
ES21,42.671677
ES22,40.151257
ES23,30.622322
ES24,32.897263
ES30,34.366913
IE05,45.781544
IE06,37.97565
IS00,67.927345
ITC3,78.50878
FI19,31.231249
FI1B,36.295784
FI1C,33.993153
DEA1,39.379963
DEA2,40.373062
DEA3,35.531963
DEA4,34.98412
DEA5,41.664707
DEB1,35.811558
DEB2,38.431538
DEB3,36.638252
DEC0,42.855656
