nuts,August Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,33.266094
DE60,36.78087
DE71,31.792719
DE72,34.398582
DE73,36.06221
DE80,36.510494
DE91,34.83618
BG41,30.162874
BG42,25.969269
CH01,58.399895
AT32,72.469765
AT33,71.66678
AT34,73.255554
BE10,33.120785
BE23,32.778194
BE24,32.34463
BE25,31.83027
BE31,30.59324
BE32,30.665874
BE33,34.51397
BE34,34.036938
BE35,31.995113
BG31,32.37816
BG32,31.233776
BG33,27.65542
BG34,25.406836
DE92,33.85638
DE93,35.339764
DE94,35.025265
CZ07,44.9739
CZ08,46.997303
AL01,27.569109
AL02,19.737066
AL03,16.011269
AT11,41.123055
AT12,46.118126
AT13,40.432095
AT21,60.82617
AT22,59.530388
AT31,61.81043
DK05,35.447865
BE21,31.99974
BE22,32.27152
ES43,6.2295947
ES51,32.553677
ES52,16.20636
ES53,10.282782
ES61,4.9008327
ES62,7.79115
ES63,6.69016
ES64,3.8418527
CH02,60.641006
CH03,54.51858
CH04,54.557278
CH05,65.9883
CH06,76.05632
CH07,77.15307
CY00,1.0383197
CZ01,42.731186
CZ02,42.608246
CZ03,46.0418
CZ04,38.83276
CZ05,43.490273
CZ06,41.3523
DE40,32.209625
EL53,16.242725
EL54,12.713393
EL61,16.212582
EL62,8.639658
EL63,9.025359
ES70,0.9653002
ITC1,48.988052
ITC2,48.724846
DE11,35.88371
DE12,35.331223
DE13,43.185024
DE14,51.161922
DE21,61.051876
DE22,48.077686
DE23,40.466927
DE24,35.882847
DE25,35.646366
DE26,32.41405
DE27,56.508743
DE30,27.662718
EL42,0.5782183
LV00,39.94711
ME00,31.853645
MK00,19.659533
MT00,3.347179
NL11,37.08053
NL12,39.79319
EL64,10.103175
EL65,5.367182
ES11,20.350376
ES12,30.701479
ES13,28.103865
ES21,28.503365
ES22,32.8585
ES23,23.170858
ES24,25.132927
ES30,9.0356865
IE05,35.26235
IE06,33.753857
IS00,45.35646
ITC3,28.498816
FI19,38.52148
FI1B,37.489326
FI1C,38.38369
DEA1,32.894848
DEA2,35.249012
DEA3,33.593643
DEA4,36.41019
DEA5,38.03353
DEB1,31.041357
DEB2,32.470158
DEB3,29.800388
DEC0,30.407877
DED2,41.283348
DED4,40.060738
DED5,32.6857
DEE0,32.93875
DEF0,34.91672
DEG0,34.174107
DK01,35.653767
DK02,33.25579
DK03,35.212044
DK04,33.17872
ES41,14.278844
ES42,9.493864
HU23,37.15757
HU31,34.34875
HU32,33.628963
HU33,32.708702
IE04,39.64763
EE00,40.24801
EL30,2.8652864
EL41,1.2056634
EL43,1.9794762
EL51,16.371117
EL52,19.42707
FI20,35.514206
FR10,28.240244
FRB0,26.394094
FRC1,31.761139
FRC2,41.27366
FRD1,28.644323
FRD2,29.409693
FRE1,29.94317
FRE2,29.389748
FRF1,37.382385
NL13,34.304504
NL21,32.854294
NL22,33.135334
NL23,34.82464
NL31,33.809593
NL32,38.79495
ITG2,7.0080767
ITH1,58.08647
ITH2,56.023457
FRI3,25.944822
FRJ1,32.247528
FRJ2,36.587887
FRK1,36.136967
FRK2,40.29207
FRL0,23.922316
FRM0,13.719709
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,2.4793024
TR32,3.3448951
TR33,6.0610704
HR03,40.741467
HR02,40.63197
HU11,31.782736
HU12,34.506737
HU21,36.47388
HU22,40.403004
PT16,7.812612
PT17,2.9485955
FRF2,32.130085
FRF3,33.118526
FRG0,22.723305
FRH0,24.101067
FRI1,32.55787
FRI2,37.397392
ITC4,51.431602
ITF1,27.60989
ITF2,20.731977
ITF3,16.4036
ITF4,12.942153
ITF5,14.206769
ITF6,17.521982
ITG1,9.415644
LT01,41.32597
LT02,37.894123
LU00,34.319252
