nuts,July Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,33.52238
DE60,37.209415
DE71,33.807198
DE72,35.614967
DE73,35.96822
DE80,35.770897
DE91,35.41426
BG41,37.8908
BG42,34.09598
CH01,60.608402
AT32,74.69065
AT33,73.50994
AT34,74.1256
BE10,33.92419
BE23,32.57495
BE24,33.9545
BE25,30.74141
BE31,34.20438
BE32,31.520739
BE33,38.482822
BE34,35.448246
BE35,35.683594
BG31,41.004047
BG32,41.774506
BG33,32.522453
BG34,28.999859
DE92,32.943542
DE93,36.948524
DE94,34.077023
CZ07,46.91349
CZ08,52.108986
AL01,27.570555
AL02,21.553501
AL03,15.592186
AT11,41.059895
AT12,47.992348
AT13,40.355007
AT21,65.93314
AT22,60.222977
AT31,62.473354
DK05,32.537884
BE21,36.257282
BE22,34.92981
ES43,4.3327446
ES51,25.741125
ES52,8.560149
ES53,2.9041998
ES61,3.259873
ES62,4.0054436
ES63,1.6405134
ES64,1.8565652
CH02,62.42916
CH03,57.37909
CH04,60.216236
CH05,67.167206
CH06,80.02293
CH07,84.245
CY00,0.6564988
CZ01,40.46765
CZ02,41.38752
CZ03,46.51607
CZ04,43.43567
CZ05,42.04417
CZ06,43.64798
DE40,37.974785
EL53,16.694021
EL54,12.396271
EL61,16.320293
EL62,4.93856
EL63,8.282385
ES70,1.0907867
ITC1,47.17816
ITC2,51.66652
DE11,38.4661
DE12,37.42419
DE13,44.30158
DE14,53.65319
DE21,65.019485
DE22,51.283634
DE23,40.42139
DE24,35.69806
DE25,35.944233
DE26,32.727135
DE27,62.30241
DE30,37.698715
EL42,0.35666353
LV00,41.61126
ME00,34.914238
MK00,24.563374
MT00,0.42931965
NL11,35.71405
NL12,38.73884
EL64,10.07974
EL65,5.328601
ES11,22.419607
ES12,33.89145
ES13,32.021095
ES21,29.01612
ES22,27.744286
ES23,23.357294
ES24,19.166512
ES30,9.3857975
IE05,31.847343
IE06,28.786438
IS00,40.77629
ITC3,23.669971
FI19,40.174854
FI1B,35.782825
FI1C,37.001053
DEA1,36.32935
DEA2,37.40627
DEA3,33.235016
DEA4,32.08619
DEA5,38.186275
DEB1,33.35385
DEB2,33.528694
DEB3,30.0573
DEC0,30.299488
DED2,41.95285
DED4,44.440525
DED5,36.98137
DEE0,36.115437
DEF0,35.03241
DEG0,33.22782
DK01,36.257442
DK02,34.89781
DK03,36.601105
DK04,34.484177
ES41,16.11127
ES42,7.4979806
HU23,34.173035
HU31,35.182434
HU32,36.03896
HU33,30.322084
IE04,35.320354
EE00,38.146263
EL30,2.3979518
EL41,1.7859131
EL43,1.6632154
EL51,20.315521
EL52,20.093792
FI20,32.147003
FR10,27.04382
FRB0,26.614254
FRC1,31.753132
FRC2,43.91557
FRD1,27.642834
FRD2,28.518282
FRE1,29.100283
FRE2,28.674963
FRF1,37.162376
NL13,33.98765
NL21,35.45956
NL22,35.033493
NL23,39.078915
NL31,38.27536
NL32,37.399513
ITG2,4.2346883
ITH1,62.53168
ITH2,62.814342
FRI3,23.450571
FRJ1,25.909948
FRJ2,36.607533
FRK1,34.714535
FRK2,40.116405
FRL0,21.694832
FRM0,9.055261
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
