nuts,Annual Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,59.802578
DE60,68.21483
DE71,66.5005
DE72,65.66176
DE73,66.58984
DE80,60.899986
DE91,64.11701
BG41,79.14849
BG42,86.54806
CH01,132.78745
AT32,116.3863
AT33,118.846504
AT34,123.10224
BE10,62.682873
BE23,61.293793
BE24,62.537724
BE25,60.84035
BE31,63.739006
BE32,62.805275
BE33,70.84283
BE34,72.36513
BE35,69.37565
BG31,85.89779
BG32,82.858864
BG33,76.305855
BG34,82.03001
DE92,62.16115
DE93,64.4976
DE94,66.860985
CZ07,76.97918
CZ08,81.157364
AL01,153.85284
AL02,114.27994
AL03,119.82972
AT11,79.41943
AT12,84.54939
AT13,76.93456
AT21,118.448746
AT22,98.714226
AT31,102.58744
DK05,63.760387
BE21,62.083015
BE22,64.39758
ES43,77.99188
ES51,97.142365
ES52,77.761024
ES53,68.26768
ES61,74.0961
ES62,60.585106
ES63,91.93234
ES64,50.23641
CH02,116.6003
CH03,99.90736
CH04,98.8387
CH05,119.26905
CH06,136.09366
CH07,176.8425
CY00,59.625374
CZ01,69.46179
CZ02,69.69914
CZ03,77.32069
CZ04,66.49788
CZ05,70.820435
CZ06,71.10917
DE40,62.47709
EL53,84.784744
EL54,138.5389
EL61,113.65905
EL62,148.26224
EL63,120.83047
ES70,21.804409
ITC1,156.87743
ITC2,152.97632
DE11,77.49679
DE12,81.3529
DE13,91.96407
DE14,92.02985
DE21,103.55853
DE22,82.17475
DE23,73.24942
DE24,69.37034
DE25,73.201675
DE26,70.17417
DE27,98.98394
DE30,60.73946
EL42,71.23913
LV00,64.750496
ME00,163.64061
MK00,79.685585
MT00,78.24159
NL11,69.16024
NL12,72.325806
EL64,97.90767
EL65,84.922455
ES11,125.39086
ES12,96.29806
ES13,83.21399
ES21,84.204735
ES22,76.16507
ES23,63.158886
ES24,74.10371
ES30,64.28232
IE05,73.85047
IE06,63.911118
IS00,113.46977
ITC3,145.83385
FI19,61.387096
FI1B,60.210423
FI1C,60.61612
DEA1,65.79979
DEA2,68.90707
DEA3,65.0907
DEA4,66.57398
DEA5,75.32894
DEB1,65.68812
DEB2,70.787796
DEB3,67.026726
DEC0,73.59442
DED2,73.85626
DED4,72.85886
DED5,66.16105
DEE0,59.876415
DEF0,63.96998
DEG0,65.47122
DK01,64.06546
DK02,60.917595
DK03,63.36223
DK04,63.87996
ES41,69.75051
ES42,63.798325
HU23,70.26053
HU31,68.42655
HU32,65.9763
HU33,66.79091
IE04,73.98675
EE00,65.14829
EL30,79.03396
EL41,94.187935
EL43,66.37643
EL51,88.716125
EL52,93.721245
FI20,59.0294
FR10,58.54135
FRB0,62.162457
FRC1,77.13769
FRC2,102.716324
FRD1,65.60411
FRD2,63.72681
FRE1,61.77829
FRE2,61.788517
FRF1,81.93802
NL13,66.65052
NL21,65.382286
NL22,62.97437
NL23,66.01735
NL31,64.058426
NL32,73.95404
ITG2,75.38104
ITH1,106.65055
ITH2,130.9148
FRI3,71.811745
FRJ1,126.072845
FRJ2,86.73698
FRK1,82.70633
FRK2,111.07517
FRL0,105.631096
FRM0,94.80252
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,98.46817
TR32,91.39167
TR33,63.473827
HR03,138.01091
HR02,87.02371
HU11,64.8953
HU12,66.36902
HU21,68.05693
HU22,74.451836
PT16,97.208916
PT17,73.296394
FRF2,70.623955
FRF3,79.219406
FRG0,64.79478
FRH0,67.1024
FRI1,82.94524
FRI2,84.35335
ITC4,126.60927
ITF1,102.63782
ITF2,97.05072
ITF3,113.73234
ITF4,82.704895
ITF5,84.015175
ITF6,115.41077
ITG1,81.97823
LT01,65.70735
LT02,64.51676
LU00,70.73856
PL22,79.58519
PL41,68.055695
PL42,69.806526
PT18,71.11737
PT20,0.0
PT30,0.0
RO11,82.90385
RO12,86.17097
RO21,89.60628
RO22,76.24531
RO31,85.080215
RO32,85.74104
ITH3,123.062355
ITH4,168.08533
ITH5,108.45412
ITI1,107.29303
ITI2,92.84223
ITI3,90.813576
ITI4,116.118126
LI00,133.7707
FI1D,60.490807
TR82,77.48186
TR83,71.943954
TR90,113.12904
TRA1,75.724884
TRA2,86.74433
PL43,65.638565
PL51,71.71652
PL52,73.54596
PL61,67.7613
PL62,63.99177
PL63,64.100105
PL71,68.14324
PL72,72.93394
PL81,72.123604
PL82,82.02976
PL84,63.91025
PL91,69.95253
PL92,67.95218
PT11,119.897736
PT15,73.72379
TRB1,92.73539
TRB2,111.75743
TRC1,83.04834
RS12,69.85457
RS21,82.31214
RS22,75.89564
SE11,59.686714
SE12,62.45579
NL33,69.00745
NL34,64.842285
NL41,62.868
NL42,62.4261
PL21,88.362076
UKM6,88.81604
TR22,89.22988
TRC2,79.63615
TRC3,73.20586
UKC1,61.48584
UKC2,63.10634
UKD1,83.21059
UKD3,66.32534
UKD4,77.20135
UKD6,59.49238
UKD7,68.6529
UKE1,55.156395
UKE2,63.426834
UKE3,60.990795
RO41,89.576004
RO42,81.01781
RS11,76.51465
TR41,65.58058
TR42,84.33868
TR51,52.017868
TR52,58.085537
