nuts,Summer Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,49.317806
DE60,51.752163
DE71,47.048267
DE72,48.985607
DE73,51.943996
DE80,46.786644
DE91,49.843616
BG41,56.054115
BG42,54.703735
CH01,90.64466
AT32,91.5452
AT33,93.903175
AT34,101.02568
BE10,45.065548
BE23,43.22714
BE24,44.031574
BE25,42.592724
BE31,44.156662
BE32,43.264545
BE33,51.392834
BE34,51.135906
BE35,47.94466
BG31,57.246292
BG32,60.70629
BG33,50.167408
BG34,49.18424
DE92,47.004845
DE93,49.900337
DE94,49.729847
CZ07,61.21991
CZ08,66.72299
AL01,52.652653
AL02,41.872032
AL03,33.750065
AT11,56.705727
AT12,64.54241
AT13,56.66794
AT21,83.917015
AT22,75.40169
AT31,77.83057
DK05,46.988075
BE21,45.99742
BE22,47.758945
ES43,18.839357
ES51,46.251144
ES52,26.973215
ES53,16.672256
ES61,15.674357
ES62,16.739202
ES63,11.054951
ES64,11.96584
CH02,86.70146
CH03,78.96757
CH04,77.758194
CH05,91.760864
CH06,105.25169
CH07,127.16977
CY00,4.47694
CZ01,58.69318
CZ02,56.893303
CZ03,58.864098
CZ04,53.721577
CZ05,57.169983
CZ06,56.1869
DE40,48.650864
EL53,32.862103
EL54,28.29457
EL61,34.836124
EL62,17.033812
EL63,25.222681
ES70,2.0918899
ITC1,89.180534
ITC2,78.38426
DE11,52.06772
DE12,52.445133
DE13,63.327694
DE14,68.8058
DE21,79.29962
DE22,62.531563
DE23,54.716816
DE24,46.7638
DE25,49.627598
DE26,46.19079
DE27,76.55174
DE30,46.97265
EL42,2.5915263
LV00,51.14269
ME00,58.229485
MK00,40.759884
MT00,3.230152
NL11,52.75856
NL12,52.009167
EL64,25.862234
EL65,15.727008
ES11,44.44124
ES12,61.75113
ES13,55.469162
ES21,54.287563
ES22,51.795128
ES23,44.272842
ES24,42.54849
ES30,25.369974
IE05,48.594463
IE06,45.210526
IS00,54.54775
ITC3,57.76021
FI19,50.099052
FI1B,47.859943
FI1C,47.49577
DEA1,49.894405
DEA2,53.125916
DEA3,48.162537
DEA4,47.673904
DEA5,54.337334
DEB1,47.029606
DEB2,48.718903
DEB3,44.937702
DEC0,46.765263
DED2,58.236977
DED4,56.93565
DED5,48.402634
DEE0,45.60461
DEF0,48.871975
DEG0,47.587387
DK01,48.269775
DK02,50.209015
DK03,50.26971
DK04,47.64523
ES41,32.399868
ES42,24.541403
HU23,50.817432
HU31,48.322212
HU32,48.504803
HU33,45.829464
IE04,49.861687
EE00,51.216972
EL30,8.690474
EL41,7.0156565
EL43,5.6493864
EL51,37.235455
EL52,41.78659
FI20,43.584343
FR10,40.48995
FRB0,41.166462
FRC1,49.132927
FRC2,64.01163
FRD1,40.90345
FRD2,43.1346
FRE1,42.536026
FRE2,42.389507
FRF1,56.211094
NL13,47.615425
NL21,47.34227
NL22,46.65546
NL23,47.722473
NL31,47.74121
NL32,49.322258
ITG2,19.562376
ITH1,78.59217
ITH2,84.41078
FRI3,42.607246
FRJ1,48.703896
FRJ2,59.41506
FRK1,53.888947
FRK2,63.11908
FRL0,45.795334
FRM0,32.322533
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,11.970192
TR32,14.870157
TR33,22.518768
HR03,54.65625
HR02,58.608906
HU11,47.04679
HU12,47.738132
HU21,47.41291
HU22,52.868763
PT16,22.930122
PT17,11.683672
FRF2,46.77817
FRF3,50.038734
FRG0,38.411594
FRH0,38.140266
FRI1,54.95741
FRI2,54.10733
ITC4,83.20756
ITF1,50.32794
ITF2,42.12036
ITF3,30.525223
ITF4,28.360155
ITF5,30.066404
ITF6,28.63554
ITG1,15.680427
LT01,52.527786
LT02,51.708973
LU00,49.638634
PL22,62.579693
PL41,53.565304
PL42,52.95298
PT18,14.143
PT20,0.0
PT30,0.0
RO11,63.431828
RO12,70.21073
RO21,68.72761
RO22,53.148903
RO31,66.881935
RO32,67.729195
ITH3,76.55795
ITH4,88.92012
ITH5,58.842113
ITI1,46.205303
ITI2,41.276077
ITI3,49.02584
ITI4,39.489258
LI00,115.40994
