nuts,March Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,27.699368
DE60,27.653267
DE71,30.648167
DE72,31.2894
DE73,30.757605
DE80,23.496199
DE91,29.088827
BG41,36.76296
BG42,39.76421
CH01,61.6705
AT32,53.60727
AT33,52.13716
AT34,57.896915
BE10,28.532084
BE23,28.152954
BE24,28.980844
BE25,26.666426
BE31,28.876482
BE32,30.325375
BE33,34.85798
BE34,37.74352
BE35,34.28835
BG31,34.503662
BG32,31.5391
BG33,28.490526
BG34,34.425953
DE92,28.737694
DE93,26.839153
DE94,28.473999
CZ07,26.97912
CZ08,27.987724
AL01,70.369705
AL02,57.074028
AL03,55.50466
AT11,26.175968
AT12,30.755676
AT13,24.872612
AT21,46.236702
AT22,39.29325
AT31,44.228676
DK05,24.550161
BE21,29.853092
BE22,31.606104
ES43,29.179798
ES51,31.764555
ES52,24.273306
ES53,19.321262
ES61,30.016897
ES62,21.98802
ES63,34.919777
ES64,25.386063
CH02,55.17607
CH03,43.52222
CH04,45.51987
CH05,50.3592
CH06,58.931072
CH07,54.73481
CY00,21.781534
CZ01,21.266088
CZ02,23.882185
CZ03,28.74744
CZ04,26.632845
CZ05,28.01435
CZ06,23.925009
DE40,24.252806
EL53,40.69307
EL54,60.851856
EL61,49.14013
EL62,53.2152
EL63,55.187218
ES70,7.3777137
ITC1,52.13638
ITC2,56.80355
DE11,35.399357
DE12,38.63282
DE13,42.229008
DE14,39.238205
DE21,42.947567
DE22,36.548264
DE23,33.737453
DE24,32.473076
DE25,32.361633
DE26,32.37397
DE27,43.757282
DE30,23.910824
EL42,31.905682
LV00,21.541506
ME00,74.91396
MK00,35.500698
MT00,20.026781
NL11,27.011116
NL12,27.659117
EL64,45.202602
EL65,39.590347
ES11,52.096584
ES12,45.94098
ES13,42.046947
ES21,41.90369
ES22,35.58285
ES23,27.967781
ES24,26.272047
ES30,24.966953
IE05,36.102654
IE06,29.851437
IS00,55.793476
ITC3,52.134636
FI19,18.536106
FI1B,20.699194
FI1C,20.322409
DEA1,33.088345
DEA2,34.335808
DEA3,31.732334
DEA4,31.655878
DEA5,37.53871
DEB1,31.038992
DEB2,33.373505
DEB3,29.670822
DEC0,35.70113
DED2,27.69052
DED4,31.06533
DED5,25.905529
DEE0,23.769766
DEF0,26.433214
DEG0,28.231369
DK01,21.65723
DK02,21.656485
DK03,25.484606
DK04,24.027426
ES41,28.250456
ES42,26.177996
HU23,26.641525
HU31,24.637615
HU32,25.36408
HU33,24.805569
IE04,36.432728
EE00,20.191359
EL30,31.171017
EL41,39.788864
EL43,29.44812
EL51,43.50683
EL52,39.681473
FI20,17.091194
FR10,27.89349
FRB0,29.451176
FRC1,33.903454
FRC2,48.46747
FRD1,30.518604
