nuts,December Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,30.96144
DE60,33.21715
DE71,37.2274
DE72,37.05445
DE73,34.313786
DE80,27.319122
DE91,33.13041
BG41,33.2295
BG42,38.562473
CH01,66.35706
AT32,50.251656
AT33,49.166634
AT34,56.140827
BE10,33.658634
BE23,34.275623
BE24,35.00611
BE25,36.007294
BE31,36.027363
BE32,36.760315
BE33,43.003635
BE34,46.334713
BE35,41.70828
BG31,27.619595
BG32,27.260458
BG33,27.949848
BG34,34.402782
DE92,33.93459
DE93,32.379627
DE94,33.593132
CZ07,26.855051
CZ08,26.558477
AL01,84.13733
AL02,64.52609
AL03,66.602974
AT11,24.165815
AT12,25.673136
AT13,23.449205
AT21,43.784397
AT22,34.098396
AT31,39.9597
DK05,32.54053
BE21,34.325912
BE22,37.23813
ES43,46.11295
ES51,29.084425
ES52,25.93555
ES53,29.84814
ES61,37.165047
ES62,18.327183
ES63,47.597404
ES64,16.642948
CH02,58.2413
CH03,47.52459
CH04,47.728115
CH05,50.79493
CH06,58.840004
CH07,55.48844
CY00,40.81134
CZ01,21.526737
CZ02,23.68321
CZ03,28.199226
CZ04,29.179464
CZ05,28.116991
CZ06,22.645624
DE40,27.014496
EL53,44.34296
EL54,81.39665
EL61,61.512142
EL62,85.772385
EL63,68.95285
ES70,12.90431
ITC1,51.08171
ITC2,56.668247
DE11,40.278988
DE12,45.330147
DE13,49.76881
DE14,40.941284
DE21,40.25316
DE22,35.361935
DE23,36.894535
DE24,38.516163
DE25,36.497364
DE26,38.52909
DE27,42.516003
DE30,25.737156
EL42,46.635067
LV00,25.38881
ME00,82.33701
MK00,38.04965
MT00,45.91159
NL11,33.31442
NL12,37.735588
EL64,54.346283
EL65,49.457676
ES11,74.735825
ES12,55.61042
ES13,44.88029
ES21,46.512012
ES22,37.82732
ES23,28.267889
ES24,25.088333
ES30,31.377808
IE05,43.726944
IE06,36.83965
IS00,66.61599
ITC3,61.196293
FI19,23.347898
FI1B,27.469917
FI1C,26.132998
DEA1,37.735485
DEA2,41.520443
DEA3,36.38171
DEA4,35.88824
