nuts,Autumn Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,42.259174
DE60,44.043156
DE71,49.758644
DE72,50.854538
DE73,47.645973
DE80,36.86507
DE91,43.07523
BG41,53.759262
BG42,58.909313
CH01,96.09873
AT32,83.8801
AT33,83.0334
AT34,84.395584
BE10,44.791195
BE23,45.813507
BE24,46.383274
BE25,47.275623
BE31,46.371056
BE32,44.192303
BE33,51.948925
BE34,53.166912
BE35,47.90274
BG31,52.102406
BG32,51.038692
BG33,55.436184
BG34,56.83201
DE92,43.283722
DE93,42.07971
DE94,48.600018
CZ07,50.94929
CZ08,53.644207
AL01,125.01808
AL02,97.872734
AL03,107.52541
AT11,55.80746
AT12,54.82026
AT13,50.985634
AT21,98.918846
AT22,74.16927
AT31,66.0567
DK05,49.112774
BE21,46.055756
BE22,45.818222
ES43,55.301632
ES51,82.47155
ES52,63.68289
ES53,56.399876
ES61,51.510292
ES62,42.79912
ES63,65.855415
ES64,35.666195
CH02,83.12461
CH03,72.191574
CH04,71.30401
CH05,90.24208
CH06,96.34422
CH07,149.6849
CY00,33.66197
CZ01,41.80994
CZ02,43.097565
CZ03,47.57964
CZ04,43.916496
CZ05,46.658302
CZ06,46.391663
DE40,36.182354
EL53,67.95573
EL54,122.587395
EL61,74.332184
EL62,130.6215
EL63,101.313446
ES70,13.329467
ITC1,117.564224
ITC2,112.49122
DE11,53.226295
DE12,57.538506
DE13,65.876755
DE14,62.7266
DE21,65.57786
DE22,53.82231
DE23,51.572502
DE24,48.111973
DE25,50.860764
DE26,49.875744
DE27,65.2454
DE30,35.421215
EL42,43.897514
LV00,42.35296
ME00,136.82831
MK00,61.505493
MT00,61.503075
NL11,53.343765
NL12,61.16591
EL64,67.41343
EL65,64.18899
ES11,86.68611
ES12,74.427574
ES13,66.23865
ES21,67.83405
ES22,61.953987
ES23,46.760227
ES24,58.087677
ES30,44.20904
IE05,56.301506
IE06,49.09965
IS00,88.85473
ITC3,116.04213
FI19,42.64847
FI1B,44.99138
FI1C,42.39464
DEA1,48.079884
DEA2,51.46333
DEA3,47.82903
DEA4,46.651676
DEA5,54.443863
DEB1,50.27719
DEB2,52.312393
DEB3,49.93998
DEC0,55.93437
DED2,45.877415
DED4,48.01988
DED5,41.15758
DEE0,39.26168
DEF0,46.820045
DEG0,45.371883
DK01,45.79671
DK02,43.84374
DK03,46.267357
DK04,47.33934
ES41,49.264824
ES42,47.604153
HU23,55.150692
HU31,47.98064
HU32,48.82143
HU33,47.204052
IE04,60.149208
EE00,42.992622
EL30,46.008755
EL41,58.937614
EL43,42.878834
EL51,65.25646
EL52,71.89966
FI20,44.005264
FR10,42.356762
FRB0,45.816223
FRC1,59.70056
FRC2,77.87929
FRD1,49.385967
FRD2,46.104267
FRE1,47.03693
FRE2,44.66646
FRF1,63.157036
NL13,47.794674
NL21,46.86933
NL22,44.79157
NL23,51.347416
NL31,46.982662
NL32,61.83049
ITG2,58.567764
ITH1,88.75857
ITH2,111.15016
FRI3,54.9436
FRJ1,97.73439
FRJ2,68.54413
FRK1,64.316216
FRK2,86.60892
FRL0,85.95088
FRM0,79.53406
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,70.24405
TR32,60.749542
TR33,41.154846
HR03,120.30492
HR02,65.16934
HU11,47.506794
HU12,48.28168
HU21,51.25068
HU22,56.53033
PT16,72.632065
PT17,59.042084
FRF2,54.91897
FRF3,60.104908
FRG0,49.920296
FRH0,49.03547
FRI1,64.43095
FRI2,63.818027
ITC4,104.47717
ITF1,75.73665
ITF2,74.09709
ITF3,99.67069
ITF4,61.84708
ITF5,61.186214
ITF6,85.29599
ITG1,63.018436
LT01,41.668816
LT02,42.695133
LU00,53.239216
PL22,53.52652
PL41,38.04912
PL42,37.842648
PT18,53.256332
PT20,0.0
PT30,0.0
RO11,55.543785
RO12,49.694458
RO21,49.531685
RO22,49.019905
RO31,51.568027
RO32,50.526268
ITH3,109.48118
ITH4,138.54527
ITH5,86.778275
ITI1,91.90521
ITI2,76.96963
ITI3,66.976685
ITI4,101.50048
LI00,91.530685
FI1D,39.31291
TR82,53.866447
TR83,52.570095
TR90,87.63531
TRA1,52.741417
TRA2,57.838516
PL43,38.60017
PL51,46.71432
PL52,47.73589
PL61,37.05801
PL62,41.844406
PL63,40.73766
PL71,43.01665
PL72,43.960777
PL81,43.08554
PL82,52.225307
PL84,40.769783
PL91,40.848045
PL92,40.870678
PT11,82.23901
PT15,50.818798
TRB1,59.770515
TRB2,68.584595
TRC1,51.601196
RS12,46.88478
RS21,54.317333
RS22,50.975567
SE11,41.35331
SE12,42.179413
NL33,53.154694
NL34,49.267574
NL41,46.078636
NL42,45.160366
PL21,52.97494
UKM6,72.06674
TR22,64.575966
TRC2,48.437363
TRC3,40.671288
UKC1,48.54143
UKC2,46.12895
UKD1,65.3241
UKD3,52.424088
UKD4,63.858013
UKD6,46.457687
UKD7,55.77903
UKE1,39.88803
UKE2,47.172363
UKE3,42.56975
RO41,56.247574
RO42,54.834423
RS11,48.89213
TR41,44.42787
TR42,57.224957
TR51,34.910294
TR52,36.696636
TR61,61.125874
TR62,61.9279
TR63,55.693607
