nuts,Autumn Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,40.787163
DE60,43.602375
DE71,44.296806
DE72,45.853886
DE73,44.70806
DE80,35.852436
DE91,40.713688
BG41,49.42968
BG42,56.52229
CH01,91.206116
AT32,79.43247
AT33,79.78225
AT34,81.9232
BE10,42.72679
BE23,42.46165
BE24,43.425888
BE25,44.13665
BE31,43.901073
BE32,43.050537
BE33,47.95699
BE34,50.22855
BE35,46.898697
BG31,49.691998
BG32,52.862926
BG33,52.743275
BG34,57.901752
DE92,42.669083
DE93,41.634514
DE94,44.87201
CZ07,46.421738
CZ08,47.617832
AL01,115.59482
AL02,87.73043
AL03,97.281525
AT11,53.104946
AT12,52.3999
AT13,48.43688
AT21,96.14407
AT22,70.64151
AT31,64.762314
DK05,46.29718
BE21,42.775402
BE22,44.169186
ES43,57.99693
ES51,67.734695
ES52,58.908077
ES53,52.688118
ES61,51.908527
ES62,42.076786
ES63,67.57451
ES64,36.42213
CH02,78.85107
CH03,63.76172
CH04,62.733143
CH05,85.00657
CH06,92.15401
CH07,146.56293
CY00,36.816208
CZ01,35.94801
CZ02,37.57703
CZ03,42.075684
CZ04,40.389088
CZ05,43.06379
CZ06,42.46391
DE40,34.225624
EL53,62.30874
EL54,116.28766
EL61,74.39434
EL62,125.98889
EL63,96.84304
ES70,16.657753
ITC1,118.287384
ITC2,108.04792
DE11,48.64638
DE12,53.10082
DE13,58.813606
DE14,56.845253
DE21,60.388584
DE22,49.09239
DE23,45.52765
DE24,46.317284
DE25,45.212917
DE26,46.058395
DE27,60.632492
DE30,33.52154
EL42,44.51154
LV00,40.28167
ME00,126.88234
MK00,56.516647
MT00,56.596783
NL11,48.068863
NL12,55.13076
EL64,63.85334
EL65,64.80291
ES11,90.11848
ES12,76.23413
ES13,63.687313
ES21,66.73215
ES22,61.261627
ES23,44.543278
ES24,50.81992
ES30,46.236675
IE05,54.59203
IE06,48.8891
IS00,83.63099
ITC3,116.699455
FI19,38.377544
FI1B,42.289555
FI1C,40.544792
DEA1,46.75932
DEA2,49.688892
DEA3,46.234844
DEA4,46.14275
DEA5,53.86206
DEB1,44.851036
DEB2,46.17314
DEB3,44.041115
DEC0,51.09291
DED2,40.819286
DED4,45.336212
DED5,38.44229
DEE0,35.748943
DEF0,43.904427
DEG0,41.65626
DK01,42.200424
DK02,41.312927
DK03,45.205627
DK04,44.897232
ES41,49.764984
ES42,45.493088
