nuts,Annual Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,55.020115
DE60,60.949963
DE71,59.62823
DE72,59.47028
DE73,61.61069
DE80,53.731594
DE91,57.482445
BG41,73.35655
BG42,85.6216
CH01,126.817635
AT32,107.416245
AT33,111.24312
AT34,122.21136
BE10,57.18218
BE23,56.282112
BE24,57.762764
BE25,56.879364
BE31,59.83059
BE32,57.125988
BE33,68.04826
BE34,67.16285
BE35,62.44798
BG31,76.04244
BG32,75.524574
BG33,71.41494
BG34,78.58863
DE92,55.250546
DE93,56.306545
DE94,59.140514
CZ07,68.953064
CZ08,72.91526
AL01,139.36917
AL02,106.67522
AL03,112.79853
AT11,65.8343
AT12,71.02311
AT13,68.921326
AT21,110.57549
AT22,89.81663
AT31,91.1748
DK05,56.559643
BE21,55.43627
BE22,59.807693
ES43,74.837906
ES51,92.33124
ES52,81.97534
ES53,63.4794
ES61,75.21842
ES62,63.09311
ES63,92.919945
ES64,58.8802
CH02,112.08655
CH03,93.18019
CH04,93.62873
CH05,113.643135
CH06,127.80915
CH07,179.4996
CY00,65.327736
CZ01,61.539604
CZ02,61.700226
CZ03,70.16221
CZ04,61.68588
CZ05,63.7573
CZ06,61.61544
DE40,55.0661
EL53,82.33724
EL54,135.09619
EL61,109.23737
EL62,136.41692
EL63,114.490875
ES70,29.97476
ITC1,148.30049
ITC2,145.29095
DE11,70.35354
DE12,74.45921
DE13,82.80846
DE14,83.090126
DE21,94.332535
DE22,74.71854
DE23,66.078636
DE24,62.740696
DE25,62.924377
DE26,62.700428
DE27,93.98008
DE30,53.1243
EL42,72.99477
LV00,56.607533
ME00,148.42354
MK00,72.71165
MT00,73.65581
NL11,60.530754
NL12,63.64276
EL64,96.030334
EL65,91.348976
ES11,114.439896
ES12,101.96745
ES13,87.730675
ES21,88.56597
ES22,80.417465
ES23,64.07579
ES24,72.74531
ES30,60.39867
IE05,65.91782
IE06,58.52259
IS00,99.32568
ITC3,133.97823
FI19,52.0151
FI1B,52.594707
FI1C,52.334732
DEA1,60.870117
DEA2,65.32721
DEA3,59.676094
DEA4,60.13201
DEA5,68.459564
DEB1,59.579334
DEB2,61.760567
DEB3,58.33889
DEC0,68.40256
DED2,66.30165
DED4,66.93998
DED5,58.10644
DEE0,55.988674
DEF0,58.356415
DEG0,59.99148
DK01,54.30418
DK02,53.94455
DK03,58.314552
DK04,55.380062
ES41,68.16389
ES42,62.512672
HU23,66.19214
HU31,61.301857
HU32,60.169506
HU33,58.531162
IE04,67.099014
EE00,55.866425
EL30,77.126854
EL41,89.74937
EL43,70.744804
EL51,86.06277
EL52,86.75028
FI20,50.677265
FR10,52.697487
FRB0,56.576675
FRC1,69.698006
FRC2,95.10476
FRD1,59.462395
FRD2,57.479713
FRE1,57.171192
FRE2,55.353813
FRF1,76.549034
NL13,55.22932
NL21,55.549576
NL22,55.512997
NL23,57.85949
NL31,55.770184
NL32,64.880264
ITG2,69.00366
ITH1,98.46741
ITH2,124.29336
FRI3,64.372284
FRJ1,112.93193
FRJ2,86.07039
FRK1,78.78865
FRK2,104.974304
FRL0,100.51062
FRM0,86.61115
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,93.33801
TR32,93.37621
TR33,59.06831
HR03,125.87276
HR02,80.52013
HU11,59.250492
HU12,59.625607
HU21,61.596874
HU22,64.56361
PT16,95.459015
PT17,71.518425
FRF2,64.57725
FRF3,72.39968
FRG0,59.792557
FRH0,62.341854
FRI1,80.993286
FRI2,79.19791
ITC4,117.08684
ITF1,98.709785
ITF2,88.4091
ITF3,108.64383
ITF4,75.15213
ITF5,80.597755
ITF6,108.60735
ITG1,77.44995
LT01,57.668186
LT02,57.632484
LU00,63.7535
PL22,69.705826
PL41,57.13325
PL42,59.235447
PT18,68.49753
PT20,0.0
PT30,0.0
RO11,71.9651
RO12,76.80098
RO21,76.058716
RO22,69.946785
RO31,76.67804
RO32,77.39724
ITH3,118.36957
ITH4,154.93738
ITH5,99.84389
ITI1,98.115814
ITI2,86.23344
ITI3,86.58173
ITI4,108.64555
LI00,131.27208
FI1D,52.8106
TR82,71.177765
TR83,65.90866
TR90,98.045525
TRA1,70.70357
TRA2,73.34749
PL43,57.465496
PL51,64.58123
PL52,63.34908
PL61,57.227665
PL62,55.94011
PL63,58.802216
PL71,57.044315
PL72,61.049652
PL81,61.568363
PL82,69.41532
PL84,56.84041
PL91,57.60462
PL92,57.65003
PT11,115.73382
PT15,70.83988
TRB1,89.69092
TRB2,104.15395
TRC1,87.160934
RS12,60.989185
RS21,73.59624
RS22,68.085846
SE11,50.642246
SE12,51.910236
NL33,59.15189
NL34,57.166862
NL41,54.728657
NL42,57.20654
PL21,76.59314
UKM6,80.76772
TR22,84.950066
TRC2,79.50836
TRC3,75.01378
UKC1,59.636868
UKC2,59.27654
UKD1,73.93199
UKD3,62.154152
UKD4,72.06072
UKD6,55.757793
UKD7,61.57724
UKE1,52.887115
UKE2,60.122288
UKE3,55.21609
RO41,79.06232
RO42,72.005424
RS11,67.974495
TR41,58.741516
TR42,76.457565
TR51,48.568356
TR52,57.359257
TR61,99.31161
TR62,104.67322
TR63,89.61191
TR71,51.541298
TR72,58.175278
TR81,87.495544
UKK1,54.72397
UKK2,61.04942
UKK3,63.79329
UKK4,63.339725
UKL1,72.32822
UKL2,64.62683
UKM5,63.892437
UKM7,70.005714
UKM8,78.32164
UKM9,69.12803
UKN0,61.18365
SE21,53.478775
SE22,54.557533
SE23,61.821022
SE31,59.865738
SE32,60.402454
SE33,63.913227
SI03,100.0442
SI04,128.77437
SK01,61.509323
SK02,64.71884
SK03,73.79233
SK04,70.78155
TR10,82.43424
TR21,78.42027
UKE4,60.045612
UKF1,52.98497
UKF2,48.741306
UKF3,50.07979
UKG1,53.553696
UKG2,54.22632
UKG3,52.21119
UKH1,49.4636
UKH2,47.822998
UKH3,47.889935
UKI3,48.226063
UKI4,48.226063
UKI5,47.876125
UKI6,49.23527
UKI7,48.12286
UKJ1,49.61386
UKJ2,57.802246
UKJ3,56.808907
UKJ4,53.352097
NO09,101.57625
NO0A,132.16956
NO0B,52.602966
HR05,79.65485
HR06,80.776535
NO02,72.281746
NO06,92.0852
NO07,80.163185
NO08,77.65787
