nuts,January Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,31.958796
DE60,32.618603
DE71,36.743656
DE72,36.614586
DE73,35.19754
DE80,26.726412
DE91,32.194157
BG41,28.346659
BG42,33.62769
CH01,66.48025
AT32,49.550285
AT33,49.44706
AT34,61.5532
BE10,31.457209
BE23,31.14314
BE24,32.393085
BE25,31.019102
BE31,33.07842
BE32,34.700947
BE33,41.04848
BE34,45.07476
BE35,38.901726
BG31,25.702108
BG32,30.363586
BG33,30.104784
BG34,32.66706
DE92,32.78118
DE93,31.516989
DE94,32.775852
CZ07,24.489481
CZ08,24.400307
AL01,75.93373
AL02,56.566967
AL03,53.84668
AT11,20.55748
AT12,25.55054
AT13,20.191284
AT21,38.02662
AT22,34.15826
AT31,45.12436
DK05,31.113043
BE21,33.442856
BE22,34.788307
ES43,36.8274
ES51,31.698969
ES52,26.314308
ES53,28.867779
ES61,34.82179
ES62,19.978241
ES63,46.058178
ES64,22.37044
CH02,58.46105
CH03,44.54295
CH04,47.62074
CH05,53.169422
CH06,60.13885
CH07,56.494396
CY00,34.857323
CZ01,21.606846
CZ02,23.647043
CZ03,29.089914
CZ04,28.27847
CZ05,28.665686
CZ06,21.92182
DE40,25.813835
EL53,35.39722
EL54,65.54105
EL61,48.297714
EL62,66.54849
EL63,62.3398
ES70,11.222859
ITC1,54.359917
ITC2,64.91901
DE11,40.57007
DE12,44.170757
DE13,46.698677
DE14,40.86466
DE21,42.134197
DE22,38.984592
DE23,38.048103
DE24,38.20572
DE25,37.560135
DE26,38.263798
DE27,45.08277
DE30,24.980555
EL42,44.39446
LV00,24.009594
ME00,76.007744
MK00,31.665144
MT00,34.265156
NL11,32.40438
NL12,33.634556
EL64,46.747776
EL65,44.785046
ES11,75.43929
ES12,56.10731
ES13,45.946125
ES21,49.273422
ES22,41.14787
ES23,31.411493
ES24,27.416319
ES30,27.480082
IE05,43.81357
IE06,36.860992
IS00,66.31982
ITC3,60.99272
FI19,22.57595
FI1B,27.76954
FI1C,25.048838
DEA1,38.01768
DEA2,40.986874
DEA3,35.38645
DEA4,36.143883
DEA5,44.967804
DEB1,37.160507
DEB2,40.357014
DEB3,34.046608
DEC0,43.87948
DED2,29.061623
DED4,32.79109
DED5,27.47963
DEE0,26.624119
DEF0,32.643887
DEG0,30.250957
DK01,28.42911
DK02,26.655567
DK03,31.335339
DK04,32.453857
ES41,34.859512
ES42,26.779047
HU23,26.331583
HU31,22.463493
HU32,23.47407
HU33,22.480211
IE04,46.597458
EE00,24.782885
EL30,35.134525
EL41,51.438335
EL43,41.56747
EL51,39.68105
EL52,33.17929
FI20,22.669014
FR10,28.579096
FRB0,33.029964
FRC1,39.552616
FRC2,56.197388
FRD1,37.27597
FRD2,32.012764
FRE1,33.831936
FRE2,31.988579
FRF1,44.36959
NL13,31.565166
NL21,31.176815
NL22,31.294733
NL23,30.837927
NL31,30.56254
NL32,32.366127
ITG2,30.667986
ITH1,38.01893
ITH2,42.199875
FRI3,41.31298
FRJ1,47.287052
FRJ2,44.89235
FRK1,40.813866
FRK2,54.077667
FRL0,50.20207
FRM0,39.656536
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,59.516983
TR32,60.29712
TR33,35.02934
HR03,60.760376
HR02,34.070595
HU11,23.278027
HU12,23.195223
HU21,24.575438
HU22,23.290426
PT16,53.715958
PT17,37.3752
FRF2,41.079506
FRF3,45.9368
