nuts,May Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,32.992752
DE60,31.107986
DE71,34.735165
DE72,36.230255
DE73,37.229576
DE80,28.179321
DE91,33.307198
BG41,41.14141
BG42,38.73332
CH01,69.16702
AT32,60.576344
AT33,62.56553
AT34,66.61067
BE10,30.286724
BE23,30.718191
BE24,31.732668
BE25,31.61912
BE31,33.074745
BE32,31.241325
BE33,34.92034
BE34,36.642822
BE35,35.06974
BG31,41.24246
BG32,37.322727
BG33,31.307531
BG34,32.774418
DE92,31.050352
DE93,30.655472
DE94,29.877596
CZ07,37.763504
CZ08,41.98447
AL01,48.122684
AL02,41.13369
AL03,33.120388
AT11,37.17579
AT12,41.88734
AT13,35.76339
AT21,58.370876
AT22,52.58303
AT31,53.35533
DK05,27.67108
BE21,32.71091
BE22,33.25959
ES43,24.077621
ES51,40.00474
ES52,27.355398
ES53,22.056025
ES61,21.698122
ES62,20.516293
ES63,14.913666
ES64,13.511795
CH02,64.72323
CH03,60.189796
CH04,56.82034
CH05,64.24144
CH06,71.391045
CH07,83.031815
CY00,10.139688
CZ01,32.76143
CZ02,32.81107
CZ03,39.456276
CZ04,33.40307
CZ05,33.881912
CZ06,34.356995
DE40,28.636084
EL53,32.62759
EL54,30.785202
EL61,28.861504
EL62,18.003428
EL63,26.944052
ES70,2.3105233
ITC1,66.95604
ITC2,67.659904
DE11,44.368374
DE12,44.49252
DE13,51.936893
DE14,52.925606
DE21,56.257027
DE22,44.071938
DE23,39.81281
DE24,38.20986
DE25,39.568527
DE26,37.720924
DE27,56.805824
DE30,30.487474
EL42,7.8045635
LV00,31.320398
ME00,50.314754
MK00,34.373528
MT00,5.1007695
NL11,29.227438
NL12,28.45326
EL64,23.838804
EL65,17.667774
ES11,45.55804
ES12,47.021633
ES13,42.48343
ES21,41.684444
ES22,41.842834
ES23,38.23234
ES24,36.34301
ES30,28.553997
IE05,34.387558
IE06,31.300116
IS00,40.51986
ITC3,46.751457
FI19,25.214567
FI1B,24.354898
FI1C,25.16148
DEA1,32.575832
DEA2,35.38711
DEA3,30.366991
DEA4,32.68255
DEA5,36.375797
DEB1,35.32652
DEB2,35.572525
DEB3,35.59874
DEC0,37.64979
DED2,32.78902
DED4,38.45958
DED5,34.45296
DEE0,31.2387
DEF0,29.809307
DEG0,37.32513
DK01,26.206074
DK02,26.192648
DK03,27.87146
DK04,28.308577
ES41,32.608498
ES42,28.636112
HU23,34.30278
HU31,37.49205
HU32,35.390167
HU33,33.215984
IE04,37.19863
EE00,27.041653
EL30,10.559802
EL41,13.058447
EL43,11.771346
EL51,28.440168
EL52,32.44729
FI20,20.674736
FR10,32.46013
FRB0,35.770733
FRC1,45.21693
FRC2,57.898335
FRD1,32.082478
FRD2,32.543983
FRE1,32.97768
FRE2,34.2259
FRF1,48.033325
NL13,29.640682
NL21,30.312487
NL22,30.865433
NL23,31.678522
NL31,31.137913
NL32,27.274387
ITG2,23.840866
ITH1,54.151222
ITH2,63.00108
FRI3,34.804466
FRJ1,45.251972
FRJ2,47.977196
FRK1,49.024143
FRK2,55.220512
FRL0,42.85789
FRM0,29.518257
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,19.703022
TR32,20.971363
TR33,23.63439
HR03,45.540676
HR02,42.89318
HU11,32.59252
HU12,34.109947
HU21,34.598915
HU22,35.56267
PT16,35.638054
PT17,22.338345
FRF2,38.534813
FRF3,42.066895
FRG0,31.541319
FRH0,31.164984
FRI1,41.973248
FRI2,46.61524
ITC4,61.276817
ITF1,34.64407
ITF2,30.077766
ITF3,33.064083
ITF4,19.921053
ITF5,23.611158
ITF6,23.677153
ITG1,12.927299
LT01,34.840916
LT02,30.554005
LU00,36.85128
PL22,39.763542
PL41,27.18486
PL42,28.494753
PT18,22.177448
PT20,0.0
PT30,0.0
RO11,45.013973
RO12,46.560852
RO21,38.98898
RO22,31.67052
RO31,37.01686
RO32,36.122334
ITH3,56.092052
ITH4,68.79526
ITH5,43.47713
ITI1,36.29157
ITI2,37.276276
ITI3,34.709515
ITI4,35.786785
LI00,71.521065
FI1D,27.247143
TR82,37.92093
TR83,38.76927
TR90,53.335983
TRA1,42.11214
TRA2,44.93338
PL43,28.245214
PL51,32.506805
PL52,34.379158
PL61,27.440516
PL62,31.097063
PL63,29.55787
PL71,31.449371
PL72,34.13201
PL81,37.00025
PL82,42.958008
PL84,33.44494
PL91,31.452978
PL92,32.213646
PT11,42.887974
PT15,15.975079
TRB1,35.52262
TRB2,37.8676
TRC1,23.15496
RS12,35.24251
RS21,44.693348
RS22,38.94226
SE11,21.195179
SE12,26.73816
NL33,30.337957
NL34,30.213762
NL41,32.043423
NL42,32.8013
PL21,46.168037
UKM6,35.715187
TR22,25.227493
TRC2,20.92653
TRC3,17.650335
UKC1,27.4063
UKC2,28.550442
UKD1,35.815166
UKD3,32.607704
UKD4,34.319836
UKD6,30.6419
UKD7,32.04411
UKE1,24.645782
UKE2,28.203398
UKE3,27.929989
RO41,41.2919
RO42,43.957962
RS11,40.13827
TR41,26.788715
TR42,32.726086
TR51,23.942045
TR52,21.671343
TR61,26.879734
TR62,32.1455
TR63,30.292263
TR71,25.669039
TR72,34.519035
TR81,40.215794
UKK1,31.07632
UKK2,30.673529
UKK3,30.554749
UKK4,31.952946
UKL1,34.97205
UKL2,35.2897
UKM5,28.706127
UKM7,34.119118
UKM8,39.358646
UKM9,34.964947
UKN0,31.983898
SE21,27.040436
SE22,27.579203
SE23,31.431553
SE31,32.99836
SE32,32.112125
SE33,29.928532
SI03,49.073242
SI04,57.742626
SK01,34.44514
SK02,37.948193
SK03,44.548164
SK04,43.659298
TR10,20.041622
TR21,23.57787
UKE4,29.339792
UKF1,28.989058
UKF2,26.975023
UKF3,26.907084
UKG1,31.069733
UKG2,29.732168
UKG3,30.79343
UKH1,25.564901
UKH2,25.934338
UKH3,25.570345
UKI3,27.027449
UKI4,27.027449
UKI5,25.433044
UKI6,27.560144
UKI7,26.307796
UKJ1,27.901669
UKJ2,26.946861
UKJ3,28.434628
UKJ4,26.622694
NO09,44.72466
NO0A,51.93876
NO0B,21.814781
HR05,42.796257
HR06,41.4545
NO02,38.40286
NO06,40.21771
NO07,34.84019
NO08,39.02827
