nuts,April Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,25.672277
DE60,24.247854
DE71,28.661682
DE72,27.732777
DE73,27.622759
DE80,21.968094
DE91,25.377401
BG41,37.692604
BG42,36.32243
CH01,59.09354
AT32,48.490917
AT33,48.639305
AT34,53.94293
BE10,23.731985
BE23,24.668034
BE24,24.349878
BE25,24.360462
BE31,24.6888
BE32,25.76322
BE33,29.720465
BE34,32.134815
BE35,29.094545
BG31,34.694683
BG32,33.16106
BG33,29.009064
BG34,32.120945
DE92,25.372702
DE93,24.43189
DE94,24.343744
CZ07,28.919329
CZ08,31.41924
AL01,63.564487
AL02,50.586212
AL03,44.70782
AT11,27.695583
AT12,31.049156
AT13,25.84091
AT21,49.263622
AT22,39.576847
AT31,41.58578
DK05,23.209436
BE21,24.722792
BE22,25.34843
ES43,32.621548
ES51,37.189304
ES52,27.605434
ES53,19.929077
ES61,31.03953
ES62,23.3746
ES63,33.315697
ES64,23.862041
CH02,52.631283
CH03,46.8898
CH04,45.46956
CH05,53.62762
CH06,60.998295
CH07,84.130104
CY00,13.096554
CZ01,24.651112
CZ02,25.075314
CZ03,27.718609
CZ04,25.288647
CZ05,25.893503
CZ06,25.748375
DE40,22.230072
EL53,34.64664
EL54,46.776573
EL61,36.50007
EL62,33.912033
EL63,40.49658
ES70,4.483173
ITC1,70.69304
ITC2,71.185295
DE11,33.099873
DE12,34.26593
DE13,40.476124
DE14,40.572304
DE21,42.820827
DE22,32.866573
DE23,29.282082
DE24,27.93247
DE25,29.178482
DE26,29.734304
DE27,43.009903
DE30,21.608122
EL42,17.665361
LV00,23.048237
ME00,63.92247
MK00,36.341003
MT00,13.246226
NL11,24.174334
NL12,22.091558
EL64,31.641851
EL65,26.069859
ES11,53.29977
ES12,51.539845
ES13,45.543816
ES21,44.895893
ES22,39.31232
ES23,34.14198
ES24,34.94438
ES30,29.826952
IE05,31.242456
IE06,27.607765
IS00,44.912918
ITC3,61.35984
FI19,19.172646
FI1B,19.24775
FI1C,19.074114
DEA1,26.337952
DEA2,28.95284
