nuts,September Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,33.833508
DE60,34.814606
DE71,34.754517
DE72,34.892185
DE73,34.141148
DE80,29.985025
DE91,32.43177
BG41,32.436817
BG42,34.218742
CH01,63.570316
AT32,63.072258
AT33,62.548504
AT34,64.72974
BE10,27.70539
BE23,28.237247
BE24,28.449883
BE25,30.198698
BE31,27.694813
BE32,28.053755
BE33,33.09664
BE34,34.562435
BE35,30.784834
BG31,36.462708
BG32,39.213963
BG33,41.221035
BG34,39.758533
DE92,31.934845
DE93,32.67944
DE94,35.002556
CZ07,42.21444
CZ08,43.509666
AL01,63.192375
AL02,51.08967
AL03,54.22389
AT11,41.464012
AT12,42.946857
AT13,40.07963
AT21,65.238556
AT22,53.99268
AT31,49.882534
DK05,34.242146
BE21,29.269037
BE22,30.922085
ES43,19.167526
ES51,40.120552
ES52,33.424316
ES53,28.81964
ES61,16.722397
ES62,21.77896
ES63,14.428751
ES64,14.561639
CH02,58.128273
CH03,50.827324
CH04,52.273426
CH05,58.93072
CH06,69.23399
CH07,91.739265
CY00,3.5200694
CZ01,31.397932
CZ02,34.471767
CZ03,36.499233
CZ04,33.46845
CZ05,38.00222
CZ06,38.233227
DE40,27.747301
EL53,32.539864
EL54,50.58077
EL61,33.768024
EL62,51.418865
EL63,36.955795
ES70,3.9287815
ITC1,64.64062
ITC2,57.764034
DE11,34.88336
DE12,38.67903
DE13,42.7407
DE14,44.26078
DE21,51.675762
DE22,40.463493
DE23,37.600845
DE24,34.84736
DE25,34.15943
DE26,32.229828
DE27,48.860107
DE30,26.220993
EL42,6.2514825
LV00,34.119404
ME00,64.58365
MK00,30.720947
MT00,26.505453
NL11,37.00576
NL12,43.672314
EL64,25.020966
EL65,18.78927
ES11,33.785446
ES12,38.489487
ES13,33.53837
ES21,28.170156
ES22,32.19102
ES23,22.358656
ES24,28.468397
ES30,16.929398
IE05,39.40851
IE06,35.67388
IS00,60.81928
ITC3,58.055416
FI19,31.5408
FI1B,31.822767
FI1C,31.12083
DEA1,34.01778
DEA2,36.575367
DEA3,32.490105
DEA4,33.856625
DEA5,37.283833
DEB1,34.29772
DEB2,34.49413
DEB3,35.087284
DEC0,37.2187
DED2,32.552483
DED4,35.9268
DED5,29.621113
DEE0,30.28395
DEF0,34.414165
DEG0,32.326042
DK01,34.3917
DK02,34.18803
DK03,35.262646
DK04,35.188194
ES41,21.327408
ES42,18.725374
HU23,35.088108
HU31,33.73244
HU32,33.38402
HU33,32.562775
IE04,41.401093
EE00,34.04062
EL30,12.738929
EL41,14.3799515
EL43,9.753542
EL51,26.10867
EL52,32.780968
FI20,30.437944
FR10,27.681717
FRB0,30.544905
FRC1,39.59406
FRC2,50.230343
FRD1,31.431213
FRD2,30.535713
FRE1,27.79638
FRE2,27.386034
FRF1,41.695663
NL13,33.371662
NL21,32.71743
NL22,31.143097
NL23,36.086464
NL31,31.531067
NL32,44.28024
ITG2,23.91127
ITH1,53.82816
ITH2,59.249718
FRI3,31.811245
FRJ1,49.288616
FRJ2,40.938503
FRK1,44.621784
FRK2,51.915386
FRL0,42.863293
FRM0,29.872658
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,14.916979
TR32,10.657148
TR33,11.543109
HR03,63.468864
HR02,47.669304
HU11,31.955385
HU12,31.92428
HU21,34.080376
HU22,40.57106
PT16,26.348465
PT17,14.070209
FRF2,35.136353
FRF3,40.975388
FRG0,29.62464
FRH0,30.17308
FRI1,36.835068
FRI2,41.69609
ITC4,63.383797
ITF1,39.966545
ITF2,35.294308
ITF3,43.323685
ITF4,31.773836
ITF5,31.075739
ITF6,40.30177
ITG1,33.043423
LT01,32.828526
LT02,34.052177
LU00,35.513966
PL22,42.4848
PL41,28.310162
PL42,31.585756
PT18,14.790198
PT20,0.0
PT30,0.0
RO11,40.15852
RO12,39.11672
RO21,36.16155
RO22,33.801025
RO31,37.66245
RO32,38.023956
ITH3,68.37462
ITH4,89.76465
ITH5,49.375843
ITI1,50.7125
ITI2,48.56834
ITI3,44.49042
ITI4,48.453205
LI00,73.61672
FI1D,30.677065
TR82,27.244963
TR83,20.655819
TR90,47.923405
TRA1,16.927757
TRA2,27.00697
PL43,27.966894
PL51,35.21631
PL52,36.012474
PL61,28.95685
PL62,33.583572
PL63,33.977924
PL71,33.589874
PL72,35.429276
PL81,34.630836
PL82,42.352573
PL84,33.08369
PL91,32.178234
PL92,32.530453
PT11,29.858366
PT15,12.349868
TRB1,8.707637
TRB2,9.014716
TRC1,4.542992
RS12,32.73989
RS21,36.744076
RS22,33.32079
SE11,29.257053
SE12,30.065083
NL33,35.160866
NL34,33.110256
NL41,30.997438
NL42,31.813002
PL21,41.233658
UKM6,50.64086
TR22,22.632517
TRC2,4.6058655
TRC3,3.1044066
UKC1,32.415962
UKC2,31.871767
UKD1,41.533478
UKD3,36.830345
UKD4,41.601448
UKD6,32.6892
UKD7,38.242805
