nuts,June Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,39.54891
DE60,38.889576
DE71,36.329212
DE72,37.072678
DE73,36.92304
DE80,34.868385
DE91,36.087795
BG41,41.23716
BG42,40.04061
CH01,70.97379
AT32,74.69876
AT33,72.22993
AT34,78.20773
BE10,37.108234
BE23,35.07188
BE24,36.710938
BE25,29.621864
BE31,36.313927
BE32,34.61515
BE33,43.855698
BE34,41.39182
BE35,38.80796
BG31,42.14288
BG32,36.703213
BG33,34.707256
BG34,32.117046
DE92,33.840008
DE93,37.37577
DE94,37.711693
CZ07,43.364094
CZ08,44.634663
AL01,35.90898
AL02,32.244286
AL03,24.742884
AT11,40.958607
AT12,46.65165
AT13,40.614056
AT21,68.227264
AT22,60.747894
AT31,61.6
DK05,34.030952
BE21,36.324387
BE22,39.071033
ES43,12.450194
ES51,31.75796
ES52,18.846464
ES53,10.113604
ES61,8.997622
ES62,10.938908
ES63,3.296366
ES64,5.5950027
CH02,68.90531
CH03,61.700542
CH04,62.47507
CH05,72.56165
CH06,80.22558
CH07,91.37672
CY00,3.0144334
CZ01,34.681664
CZ02,35.52937
CZ03,43.009388
CZ04,36.07172
CZ05,39.259155
CZ06,39.891636
DE40,34.016228
EL53,21.38765
EL54,20.464476
EL61,19.6903
EL62,11.645628
EL63,16.600155
ES70,1.4272977
ITC1,64.88532
ITC2,64.80637
DE11,40.961613
DE12,40.666405
DE13,50.375206
DE14,56.39747
DE21,63.00815
DE22,48.15699
DE23,40.76283
DE24,38.656967
DE25,39.093285
DE26,35.694187
DE27,61.59318
DE30,33.85954
EL42,2.017115
LV00,39.145145
ME00,37.794952
MK00,31.291454
MT00,2.1405823
NL11,38.567276
NL12,35.511208
EL64,15.655857
EL65,8.347828
ES11,33.355537
ES12,41.388645
ES13,39.555542
ES21,39.647697
ES22,36.619
ES23,34.595688
ES24,30.461843
ES30,17.975914
IE05,33.205357
IE06,33.549744
IS00,35.46718
ITC3,37.878582
FI19,34.960335
FI1B,33.455547
FI1C,33.42362
DEA1,38.006355
DEA2,40.6919
DEA3,35.871826
DEA4,34.626877
DEA5,39.82335
DEB1,38.441013
DEB2,38.354053
DEB3,36.0569
DEC0,38.62478
DED2,36.594036
DED4,39.536633
DED5,34.590122
DEE0,33.233093
DEF0,37.24111
DEG0,36.46874
DK01,35.4224
DK02,34.912773
DK03,36.62732
DK04,34.725845
ES41,24.772741
ES42,16.815159
HU23,41.209827
HU31,39.13762
HU32,38.227444
HU33,35.750893
IE04,36.708115
EE00,36.882107
EL30,5.563249
EL41,5.226369
EL43,3.7014873
EL51,26.53348
EL52,26.547976
FI20,28.963089
FR10,32.279625
FRB0,32.587402
FRC1,40.28847
FRC2,51.97782
FRD1,30.984447
FRD2,32.961174
FRE1,34.097878
FRE2,33.32011
FRF1,43.858395
NL13,36.450157
NL21,36.17001
NL22,36.38578
NL23,34.970966
NL31,33.974506
NL32,33.104546
ITG2,12.491347
ITH1,60.568336
ITH2,64.31829
FRI3,31.50558
FRJ1,33.244896
FRJ2,41.445507
FRK1,41.031536
FRK2,50.97107
FRL0,36.99006
FRM0,22.654976
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,9.021262
TR32,10.536964
TR33,17.274004
HR03,44.37528
HR02,49.095997
HU11,35.11361
HU12,36.260048
HU21,37.77007
HU22,39.749405
PT16,15.994407
PT17,8.217252
FRF2,37.909435
FRF3,41.0523
FRG0,27.843136
FRH0,27.476437
FRI1,39.86081
FRI2,42.72415
ITC4,59.48919
ITF1,36.379543
ITF2,29.849934
ITF3,24.801888
ITF4,17.052732
ITF5,20.299732
ITF6,15.399728
ITG1,7.1312633
LT01,38.32032
LT02,37.874386
LU00,39.32802
PL22,44.967564
PL41,34.716393
PL42,36.638596
PT18,8.78596
PT20,0.0
PT30,0.0
RO11,50.649403
RO12,52.739174
RO21,44.78513
RO22,36.496887
RO31,40.791744
RO32,41.090607
ITH3,56.11351
ITH4,66.5074
ITH5,43.28667
ITI1,33.720524
ITI2,32.97646
ITI3,36.250828
ITI4,28.481253
LI00,90.21878
FI1D,36.817883
TR82,31.085573
TR83,27.718954
TR90,47.86089
TRA1,31.359997
TRA2,40.968945
PL43,33.41306
PL51,38.215935
PL52,39.74588
PL61,34.956192
PL62,36.22254
PL63,35.258778
PL71,37.048557
PL72,41.28078
PL81,42.053894
PL82,48.154274
PL84,37.63369
PL91,39.455208
PL92,37.92411
PT11,24.990559
PT15,4.6095414
TRB1,17.64047
TRB2,21.304358
TRC1,7.8669057
RS12,40.000465
RS21,40.52849
RS22,38.046543
SE11,33.2914
SE12,36.624897
NL33,31.637505
NL34,32.558327
NL41,35.07441
NL42,37.971134
PL21,48.40867
UKM6,36.35004
TR22,15.080488
TRC2,6.2871275
TRC3,4.419881
UKC1,29.710026
UKC2,30.424702
UKD1,38.368435
UKD3,34.72424
UKD4,36.66452
UKD6,32.80172
UKD7,34.40359
UKE1,29.774406
UKE2,31.525297
UKE3,32.623474
RO41,44.967415
RO42,48.149826
RS11,37.751427
TR41,21.37115
TR42,32.580315
TR51,18.65489
TR52,15.211149
TR61,14.819443
TR62,20.9288
TR63,13.342127
TR71,17.458498
TR72,22.215136
TR81,36.92306
UKK1,28.313465
UKK2,28.626278
UKK3,33.49331
UKK4,31.661259
UKL1,37.0094
UKL2,34.40496
UKM5,31.429745
UKM7,35.56436
UKM8,38.507
UKM9,36.35481
UKN0,34.364983
SE21,37.461235
SE22,34.991898
SE23,44.45583
SE31,41.57029
SE32,39.906116
SE33,38.599968
SI03,59.494892
SI04,65.24045
SK01,37.51375
SK02,41.14704
SK03,47.89795
SK04,45.15285
TR10,21.486988
TR21,23.29157
UKE4,33.728024
UKF1,31.111458
UKF2,29.041876
UKF3,29.868664
UKG1,30.789717
UKG2,32.406124
UKG3,31.521984
UKH1,27.822197
UKH2,29.123222
UKH3,29.066189
UKI3,28.924866
UKI4,28.924866
UKI5,28.53698
UKI6,28.924541
UKI7,29.021034
UKJ1,28.877216
UKJ2,27.283411
UKJ3,26.485209
UKJ4,29.781057
NO09,48.094795
NO0A,54.688652
NO0B,17.42084
HR05,54.059074
HR06,52.627495
NO02,47.84826
NO06,50.41395
NO07,41.63906
NO08,45.085766
