nuts,September Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,33.724075
DE60,36.170517
DE71,34.749104
DE72,37.000053
DE73,35.52379
DE80,32.137676
DE91,31.608202
BG41,29.611645
BG42,27.61154
CH01,57.08718
AT32,62.114124
AT33,60.881897
AT34,59.89931
BE10,30.668491
BE23,30.526497
BE24,31.057707
BE25,31.638403
BE31,31.065828
BE32,30.128235
BE33,34.580868
BE34,36.39627
BE35,34.25366
BG31,34.833042
BG32,28.670061
BG33,27.31825
BG34,27.540707
DE92,32.295994
DE93,33.85154
DE94,37.542233
CZ07,42.289616
CZ08,42.867317
AL01,57.090645
AL02,43.2712
AL03,45.070736
AT11,41.984814
AT12,42.48857
AT13,37.849796
AT21,64.45535
AT22,54.89161
AT31,52.401604
DK05,38.690987
BE21,32.89906
BE22,33.20316
ES43,17.417427
ES51,42.555798
ES52,31.65691
ES53,25.196964
ES61,14.658546
ES62,24.132132
ES63,13.191579
ES64,10.894597
CH02,54.907444
CH03,54.50739
CH04,53.777786
CH05,57.32338
CH06,65.41029
CH07,90.47593
CY00,3.2092125
CZ01,33.750366
CZ02,35.61779
CZ03,39.26145
CZ04,31.134172
CZ05,40.520252
CZ06,40.040276
DE40,28.1993
EL53,26.15652
EL54,40.336014
EL61,27.046045
EL62,49.113235
EL63,29.790382
ES70,4.059198
ITC1,68.62866
ITC2,58.00281
DE11,35.52015
DE12,37.577286
DE13,43.26779
DE14,46.60625
DE21,51.682747
DE22,42.551468
DE23,37.303444
DE24,36.79731
DE25,34.310146
DE26,34.061344
DE27,48.203537
DE30,27.674181
EL42,4.864419
LV00,36.827106
ME00,65.04126
MK00,27.189695
MT00,22.544378
NL11,40.585808
NL12,45.72122
EL64,18.807238
EL65,15.060089
ES11,35.74661
ES12,32.071056
ES13,32.40943
ES21,30.024658
ES22,31.21375
ES23,22.368788
ES24,31.318342
ES30,16.677418
IE05,38.291794
IE06,35.78779
IS00,64.55531
ITC3,58.640526
FI19,35.476
FI1B,38.22713
FI1C,35.86705
DEA1,35.65361
DEA2,34.44119
DEA3,33.861713
DEA4,34.576912
DEA5,36.57937
DEB1,34.556107
DEB2,35.188564
DEB3,34.324604
DEC0,35.80104
DED2,32.61839
DED4,31.676722
DED5,30.715544
DEE0,30.446598
DEF0,37.058563
DEG0,33.30804
DK01,35.99939
DK02,34.32787
DK03,38.277805
DK04,38.36653
ES41,20.616325
ES42,19.161009
HU23,35.64156
HU31,32.337265
HU32,33.463978
HU33,30.811127
IE04,44.278263
EE00,36.323063
EL30,8.682703
EL41,9.338161
EL43,7.871842
EL51,19.423635
EL52,26.361528
FI20,34.38339
FR10,28.57504
FRB0,29.163614
FRC1,39.296112
FRC2,47.948673
FRD1,30.001892
FRD2,30.51142
FRE1,30.945595
FRE2,29.788408
FRF1,40.79811
NL13,36.282234
NL21,35.52951
NL22,33.655792
NL23,37.84349
NL31,35.239056
NL32,47.18902
ITG2,20.327982
ITH1,51.298645
ITH2,55.94715
FRI3,29.230959
FRJ1,49.05722
FRJ2,38.64774
FRK1,42.805866
FRK2,51.34722
FRL0,42.901863
FRM0,28.375504
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,10.638083
TR32,8.374655
TR33,8.82483
HR03,63.621952
HR02,42.676674
HU11,32.971558
HU12,30.946276
HU21,33.732727
HU22,38.384556
PT16,20.7885
PT17,9.940109
FRF2,34.40304
FRF3,39.41494
FRG0,26.125475
FRH0,27.030329
FRI1,35.867245
FRI2,41.784115
ITC4,64.67038
ITF1,39.74755
ITF2,36.04767
ITF3,43.025444
ITF4,33.60295
ITF5,27.373594
ITF6,35.43776
ITG1,25.297098
LT01,33.92773
LT02,33.05645
LU00,35.16797
PL22,39.946133
PL41,28.525383
PL42,31.44039
PT18,15.004889
PT20,0.0
PT30,0.0
RO11,40.171185
RO12,38.130867
RO21,38.595592
RO22,28.205496
RO31,33.29066
RO32,39.102745
ITH3,64.28209
ITH4,83.35043
ITH5,47.699764
ITI1,47.030594
ITI2,39.920746
ITI3,38.465755
ITI4,44.143288
LI00,65.8366
FI1D,34.0191
TR82,24.99457
TR83,22.007185
TR90,50.259914
TRA1,15.356395
TRA2,26.529814
PL43,28.26537
PL51,33.67367
PL52,35.12561
PL61,30.612526
PL62,33.077435
PL63,32.60887
PL71,33.369278
PL72,38.193264
PL81,39.91147
PL82,42.948467
PL84,34.490543
PL91,31.886385
PL92,31.94136
PT11,30.114113
PT15,10.983579
TRB1,9.244466
TRB2,8.29305
TRC1,5.1724873
RS12,29.948286
RS21,34.692345
RS22,28.294401
SE11,32.71603
SE12,33.3491
NL33,39.65502
NL34,35.661446
NL41,33.35204
NL42,32.482265
PL21,45.664436
UKM6,57.92355
TR22,14.863713
TRC2,4.296017
TRC3,3.5069778
UKC1,33.31509
UKC2,32.15849
UKD1,46.017906
UKD3,41.66337
UKD4,47.221024
UKD6,36.033123
UKD7,42.178165
UKE1,30.24889
UKE2,34.702282
UKE3,32.164005
RO41,36.53175
RO42,36.140007
RS11,30.30675
TR41,14.27771
TR42,27.06624
TR51,8.572513
TR52,8.1821
TR61,10.644829
TR62,14.822917
TR63,9.788561
TR71,8.884022
TR72,11.511528
TR81,34.7254
UKK1,33.449966
UKK2,35.102997
UKK3,34.07106
UKK4,36.041557
UKL1,44.863903
UKL2,39.201786
UKM5,36.03831
UKM7,42.858627
UKM8,53.971275
UKM9,43.90242
UKN0,38.971535
SE21,33.329666
SE22,34.40541
SE23,42.587193
SE31,39.15599
SE32,41.32822
SE33,42.31744
SI03,61.090237
SI04,73.092705
SK01,37.031036
SK02,36.719627
SK03,40.810856
SK04,41.44461
TR10,27.382624
TR21,17.76335
UKE4,36.099106
UKF1,32.503292
UKF2,30.051027
UKF3,31.381554
UKG1,33.902325
UKG2,33.302437
UKG3,32.405846
UKH1,29.110102
UKH2,28.62428
UKH3,26.37781
UKI3,25.572449
UKI4,25.572449
UKI5,26.480558
UKI6,26.588068
UKI7,27.46561
UKJ1,29.900078
UKJ2,30.971798
UKJ3,31.350021
UKJ4,29.091595
NO09,62.875458
NO0A,90.30735
NO0B,33.425682
HR05,45.239624
HR06,47.244324
NO02,46.161064
NO06,61.473896
NO07,52.947407
NO08,50.82283
