nuts,March Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,28.188345
DE60,31.576267
DE71,33.26904
DE72,33.355495
DE73,32.93802
DE80,26.357939
DE91,29.573727
BG41,35.89315
BG42,39.741596
CH01,60.125614
AT32,54.38382
AT33,53.09289
AT34,57.612885
BE10,31.599056
BE23,30.387993
BE24,32.663925
BE25,29.422316
BE31,33.134457
BE32,33.249413
BE33,38.201324
BE34,38.384686
BE35,37.065712
BG31,34.17393
BG32,35.522526
BG33,32.411106
BG34,37.7036
DE92,30.165442
DE93,28.88209
DE94,30.295012
CZ07,29.774084
CZ08,31.377968
AL01,70.440865
AL02,52.85105
AL03,50.36798
AT11,29.256922
AT12,32.976295
AT13,29.949247
AT21,46.78753
AT22,41.32972
AT31,48.12863
DK05,25.694084
BE21,32.36169
BE22,32.829292
ES43,29.99376
ES51,33.30903
ES52,23.056774
ES53,20.96624
ES61,29.59583
ES62,23.691422
ES63,32.730133
ES64,25.914137
CH02,53.16739
CH03,44.91539
CH04,47.1276
CH05,51.80646
CH06,56.84379
CH07,62.57451
CY00,20.160688
CZ01,24.055977
CZ02,25.535557
CZ03,31.679548
CZ04,26.958035
CZ05,30.306677
CZ06,26.491428
DE40,26.251957
EL53,36.555428
EL54,56.183872
EL61,42.34692
EL62,49.81989
EL63,51.62359
ES70,5.6468368
ITC1,59.17962
ITC2,61.597183
DE11,36.87645
DE12,39.284225
DE13,43.042953
DE14,40.136726
DE21,43.217453
DE22,36.514877
DE23,33.4903
DE24,33.112225
DE25,32.844578
DE26,34.157387
DE27,44.58761
DE30,25.565868
EL42,28.803123
LV00,24.137838
ME00,72.99962
MK00,36.131832
MT00,20.11793
NL11,30.557848
NL12,31.792858
EL64,42.12961
EL65,38.303974
ES11,56.405655
ES12,51.183174
ES13,41.631588
ES21,44.020977
ES22,34.764668
ES23,27.577105
ES24,27.406216
ES30,25.71047
IE05,38.863106
IE06,32.646767
IS00,61.12636
ITC3,55.309593
FI19,20.093357
FI1B,22.01771
FI1C,21.4215
DEA1,34.416542
DEA2,36.957207
DEA3,32.290768
DEA4,32.564674
DEA5,38.627354
DEB1,33.629745
DEB2,35.38339
DEB3,32.43464
DEC0,37.037823
DED2,28.786848
DED4,31.047258
DED5,27.191488
DEE0,25.479769
DEF0,29.64492
DEG0,30.326838
DK01,24.04179
DK02,23.979885
DK03,27.287453
DK04,26.454174
ES41,28.936361
ES42,24.907257
HU23,29.42974
HU31,25.818424
HU32,28.567814
HU33,27.812757
IE04,39.595486
EE00,21.504726
EL30,31.673119
EL41,40.74965
EL43,25.874273
EL51,40.525578
EL52,38.30365
FI20,18.967669
FR10,29.457605
FRB0,30.535635
FRC1,35.33685
FRC2,50.546432
FRD1,33.20677
FRD2,31.454676
FRE1,31.47572
FRE2,31.59947
FRF1,39.611725
NL13,30.032433
NL21,31.995274
NL22,32.283337
NL23,32.84099
NL31,31.504541
NL32,32.406796
ITG2,32.96625
ITH1,41.13526
ITH2,45.065414
FRI3,32.45868
FRJ1,40.088455
FRJ2,38.07916
FRK1,36.152515
FRK2,47.24831
FRL0,37.220734
FRM0,38.402737
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,43.55217
TR32,38.39027
TR33,30.99644
HR03,58.00783
HR02,37.410145
HU11,25.795486
HU12,25.867107
HU21,27.35093
HU22,29.47884
PT16,39.907734
PT17,26.960108
FRF2,35.72385
FRF3,38.249523
FRG0,30.945065
FRH0,33.20953
FRI1,37.958824
FRI2,40.277317
ITC4,47.297295
ITF1,44.856464
ITF2,40.190296
ITF3,47.763863
ITF4,33.86096
ITF5,34.21576
ITF6,47.628593
ITG1,30.611448
LT01,25.26843
LT02,25.041548
LU00,36.394703
PL22,31.036194
PL41,26.202023
PL42,26.577501
PT18,28.316742
PT20,0.0
PT30,0.0
RO11,35.925114
RO12,33.76889
RO21,30.656092
RO22,30.231483
RO31,31.251669
RO32,29.020243
ITH3,47.556355
ITH4,62.36024
ITH5,44.254005
ITI1,42.583866
ITI2,43.78594
ITI3,42.24063
ITI4,47.4969
LI00,60.20618
FI1D,20.10057
TR82,39.955204
TR83,37.127277
TR90,50.52966
TRA1,39.82325
TRA2,44.24581
PL43,26.41226
PL51,28.975853
PL52,27.835497
PL61,24.102364
PL62,25.008982
PL63,24.781784
PL71,26.140652
PL72,28.094069
PL81,26.96208
PL82,31.991558
PL84,23.879131
PL91,24.530127
PL92,23.8793
PT11,51.24876
PT15,27.762434
TRB1,47.871292
TRB2,60.815254
TRC1,38.11479
RS12,31.300413
RS21,38.501713
RS22,35.415127
SE11,19.351824
SE12,21.45706
NL33,31.131374
NL34,29.49691
NL41,32.32369
NL42,31.937136
PL21,33.030663
UKM6,47.999958
TR22,40.13588
TRC2,37.883392
TRC3,35.7279
UKC1,31.461306
UKC2,30.781336
UKD1,42.424446
UKD3,37.920357
UKD4,41.361626
UKD6,31.861364
UKD7,34.163357
UKE1,27.283901
UKE2,32.023575
UKE3,28.459963
RO41,33.05492
RO42,35.61175
RS11,36.199627
TR41,32.53356
TR42,42.265804
TR51,27.35547
TR52,25.836357
TR61,35.09161
TR62,44.05124
TR63,44.195145
TR71,28.029709
TR72,34.782295
TR81,46.022015
UKK1,28.806087
UKK2,31.9977
UKK3,35.76751
UKK4,34.373447
UKL1,42.70591
UKL2,37.165825
UKM5,32.92064
UKM7,42.528313
UKM8,50.899994
UKM9,42.434666
UKN0,36.433247
SE21,22.46175
SE22,24.35228
SE23,25.817724
SE31,24.635677
SE32,26.465714
SE33,26.430862
SI03,44.209328
SI04,58.63682
SK01,25.637783
SK02,29.159369
SK03,32.572243
SK04,30.055485
TR10,36.387794
TR21,36.715557
UKE4,33.662426
UKF1,28.30607
UKF2,25.688059
UKF3,25.481691
UKG1,27.36045
UKG2,29.265379
UKG3,27.086647
UKH1,25.452171
UKH2,25.334635
UKH3,24.119137
UKI3,24.97494
UKI4,24.97494
UKI5,24.396494
UKI6,25.283438
UKI7,25.04932
UKJ1,26.805796
UKJ2,27.533905
UKJ3,30.19662
UKJ4,25.84963
NO09,50.39368
NO0A,72.73845
NO0B,29.958174
HR05,37.095493
HR06,35.89068
NO02,31.496809
NO06,46.812138
NO07,40.662525
NO08,35.994152
