nuts,May Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,30.017908
DE60,34.47906
DE71,37.339897
DE72,35.282578
DE73,35.365883
DE80,31.200754
DE91,32.85991
BG41,42.99363
BG42,38.658096
CH01,72.177734
AT32,64.31478
AT33,68.0759
AT34,75.86917
BE10,31.882622
BE23,31.585443
BE24,32.450657
BE25,32.26776
BE31,32.984394
BE32,32.393578
BE33,35.212734
BE34,37.409473
BE35,34.8387
BG31,43.46212
BG32,41.26741
BG33,33.626415
BG34,33.759827
DE92,32.599644
DE93,32.47762
DE94,31.78257
CZ07,41.65291
CZ08,44.213993
AL01,48.900654
AL02,39.528606
AL03,34.89833
AT11,39.304825
AT12,43.140995
AT13,37.132584
AT21,59.635735
AT22,55.95836
AT31,58.470768
DK05,33.359154
BE21,32.30494
BE22,33.191696
ES43,22.16619
ES51,34.95376
ES52,21.749016
ES53,17.717964
ES61,17.891212
ES62,17.665636
ES63,10.677925
ES64,10.218251
CH02,73.18885
CH03,67.55397
CH04,66.06974
CH05,69.27461
CH06,80.36201
CH07,85.92196
CY00,8.3116255
CZ01,34.699707
CZ02,34.578705
CZ03,39.553204
CZ04,36.781765
CZ05,35.72307
CZ06,35.60915
DE40,31.488205
EL53,29.160666
EL54,30.725594
EL61,25.575624
EL62,18.853043
EL63,24.239563
ES70,2.288082
ITC1,63.01242
ITC2,64.969185
DE11,48.43915
DE12,46.10672
DE13,55.386654
DE14,58.7602
DE21,63.66215
DE22,49.536694
DE23,43.85406
DE24,38.78733
DE25,42.808914
DE26,38.81981
DE27,62.354725
DE30,31.788504
EL42,7.640895
LV00,33.95078
ME00,54.85926
MK00,35.933933
MT00,4.389949
NL11,32.815445
NL12,32.867252
EL64,20.854803
EL65,14.820796
ES11,41.887783
ES12,41.159225
ES13,39.234833
ES21,34.43818
ES22,34.58447
ES23,34.293518
ES24,29.69263
ES30,24.503862
IE05,33.748215
IE06,31.847446
IS00,40.726738
ITC3,40.778896
FI19,28.772192
FI1B,28.6175
FI1C,28.980995
DEA1,32.281116
DEA2,34.374035
DEA3,32.803753
DEA4,33.104443
DEA5,37.12205
DEB1,34.85596
DEB2,35.010708
DEB3,36.234486
DEC0,37.9436
DED2,34.590687
DED4,40.137035
DED5,32.83371
DEE0,31.321371
DEF0,32.236492
DEG0,35.577072
DK01,30.189318
DK02,28.703703
DK03,31.625622
DK04,32.165283
ES41,28.036121
ES42,25.103992
HU23,37.490273
HU31,39.04373
HU32,37.48476
HU33,32.53979
IE04,36.830326
EE00,30.661001
EL30,8.783208
EL41,11.56738
EL43,9.327146
EL51,27.870409
EL52,28.52124
FI20,24.01613
FR10,33.946064
FRB0,35.434265
FRC1,44.546368
FRC2,58.742245
FRD1,33.15853
FRD2,33.163425
FRE1,34.05064
FRE2,34.86007
FRF1,47.66213
NL13,33.65256
NL21,34.00436
NL22,32.23403
NL23,33.94674
NL31,32.42389
NL32,31.781673
ITG2,23.435595
ITH1,58.15161
ITH2,65.061165
FRI3,35.52225
FRJ1,38.68269
FRJ2,45.91237
FRK1,46.90995
FRK2,54.489944
FRL0,38.265404
FRM0,27.838215
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,18.860794
TR32,17.924158
TR33,21.327862
HR03,46.661736
HR02,43.733307
HU11,36.70552
HU12,37.33595
HU21,38.446686
HU22,38.949596
PT16,31.90682
PT17,20.827719
FRF2,38.16249
FRF3,41.211414
FRG0,32.68914
FRH0,33.02907
FRI1,39.60194
FRI2,44.979557
ITC4,57.5874
ITF1,34.84674
ITF2,30.126442
ITF3,30.695372
ITF4,19.565445
ITF5,21.930143
ITF6,21.218435
ITG1,12.686304
LT01,37.36386
LT02,33.269608
LU00,36.364464
