nuts,April Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,24.815987
DE60,23.980278
DE71,27.47303
DE72,27.524006
DE73,27.236998
DE80,22.475294
DE91,25.290726
BG41,37.084164
BG42,35.125847
CH01,58.094284
AT32,47.46505
AT33,50.89942
AT34,54.264038
BE10,24.326372
BE23,26.149633
BE24,25.422932
BE25,26.897179
BE31,24.713568
BE32,26.839785
BE33,28.959002
BE34,30.761168
BE35,28.848164
BG31,37.62637
BG32,35.471516
BG33,30.802753
BG34,33.48287
DE92,24.966484
DE93,23.243263
DE94,23.712582
CZ07,27.211153
CZ08,29.909372
AL01,62.891983
AL02,49.903713
AL03,43.39805
AT11,28.964022
AT12,30.409643
AT13,26.402037
AT21,49.103638
AT22,40.36584
AT31,39.677265
DK05,23.622366
BE21,23.86099
BE22,25.254238
ES43,30.404722
ES51,35.330143
ES52,26.508886
ES53,19.934809
ES61,26.81423
ES62,19.885408
ES63,29.126303
ES64,17.62564
CH02,53.098156
CH03,44.356934
CH04,46.08067
CH05,51.24701
CH06,57.127666
CH07,77.10842
CY00,13.931005
CZ01,22.756517
CZ02,23.7067
CZ03,27.691118
CZ04,25.503666
CZ05,26.358414
CZ06,25.795513
DE40,21.499147
EL53,33.599274
EL54,43.842243
EL61,34.373386
EL62,33.41851
EL63,42.108643
ES70,3.276174
ITC1,65.2885
ITC2,63.125923
DE11,31.67185
DE12,33.036755
DE13,39.93503
DE14,40.519756
DE21,41.248344
DE22,32.720493
DE23,29.21874
DE24,28.147816
DE25,27.823992
DE26,28.48493
DE27,42.752213
DE30,20.61606
EL42,19.190516
LV00,22.857492
ME00,64.258
MK00,35.202488
MT00,14.511836
NL11,23.626122
NL12,22.078075
EL64,32.656883
EL65,26.933844
ES11,49.56302
ES12,49.145576
ES13,44.061527
ES21,44.93994
ES22,41.538467
ES23,34.829037
ES24,34.14175
ES30,29.220636
IE05,32.813816
IE06,28.863344
IS00,46.999695
ITC3,58.432507
FI19,19.896198
FI1B,18.911806
FI1C,18.241137
DEA1,25.367723
DEA2,28.186075
DEA3,24.744875
DEA4,25.662592
DEA5,29.687132
DEB1,28.092884
DEB2,28.911724
DEB3,26.976862
DEC0,29.456099
DED2,25.793936
DED4,27.788532
DED5,22.512472
DEE0,21.720306
DEF0,24.78928
DEG0,25.594635
DK01,20.070879
DK02,20.914593
DK03,23.252497
DK04,23.470488
ES41,32.513184
ES42,29.265108
HU23,27.967295
HU31,26.302984
HU32,26.875505
HU33,25.776466
IE04,34.319836
EE00,21.387438
EL30,20.446459
EL41,27.302496
EL43,20.230772
EL51,32.8539
EL52,31.068388
FI20,17.646578
FR10,25.890438
FRB0,30.177025
FRC1,38.866543
FRC2,46.65618
FRD1,28.923569
FRD2,27.899897
FRE1,27.89239
FRE2,27.724337
FRF1,35.62624
NL13,23.48214
NL21,24.003265
NL22,23.920338
NL23,23.599852
NL31,24.412983
NL32,22.43388
ITG2,30.07902
ITH1,45.158386
ITH2,51.96474
FRI3,34.192986
FRJ1,43.77241
FRJ2,45.705486
FRK1,42.38953
FRK2,50.527073
FRL0,44.033104
FRM0,36.13947
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,34.557945
TR32,32.276375
TR33,29.702778
HR03,53.271435
HR02,37.66033
HU11,24.876005
HU12,24.83011
HU21,26.136229
HU22,28.152397
PT16,37.36606
PT17,27.6228
FRF2,31.720348
FRF3,33.1802
FRG0,29.47858
FRH0,30.97671
FRI1,43.286827
FRI2,44.52175
ITC4,52.918507
ITF1,42.029995
ITF2,36.11541
ITF3,43.229725
ITF4,27.941553
ITF5,33.777954
ITF6,39.077976
ITG1,25.9765
LT01,25.993975
LT02,23.693941
LU00,29.545965
PL22,29.079605
PL41,21.802938
PL42,23.429272
PT18,27.935234
PT20,0.0
PT30,0.0
RO11,38.122295
RO12,40.903072
RO21,35.02143
RO22,30.374207
RO31,34.714516
RO32,34.22316
ITH3,49.49803
ITH4,63.659855
ITH5,45.11477
ITI1,42.040005
ITI2,42.520275
ITI3,39.811375
ITI4,42.837868
LI00,58.256866
FI1D,19.28847
TR82,41.053413
TR83,38.443893
TR90,48.025284
TRA1,41.305195
TRA2,42.882793
PL43,23.900583
PL51,25.934393
PL52,24.542276
PL61,22.327528
PL62,22.139475
PL63,21.902876
PL71,24.5997
PL72,26.805182
PL81,26.707827
PL82,32.5283
PL84,24.461584
PL91,24.127184
PL92,24.910084
PT11,44.583633
PT15,28.536728
TRB1,44.30137
TRB2,57.384228
TRC1,31.34525
RS12,29.597134
RS21,38.59601
RS22,36.599937
SE11,18.552633
SE12,22.403812
NL33,24.785889
NL34,25.194237
NL41,23.705936
NL42,23.148283
PL21,31.930391
UKM6,36.57744
TR22,30.237083
TRC2,32.546112
TRC3,32.137657
UKC1,27.857683
UKC2,29.037024
UKD1,35.281704
UKD3,32.554173
UKD4,35.677094
UKD6,28.458672
UKD7,30.6628
