nuts,Autumn Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,42.36944
DE60,44.856388
DE71,47.758137
DE72,46.75625
DE73,44.884716
DE80,36.185497
DE91,43.652588
BG41,48.959137
BG42,53.08716
CH01,95.51099
AT32,80.52196
AT33,81.63111
AT34,85.19729
BE10,40.573658
BE23,41.513912
BE24,42.544044
BE25,43.826096
BE31,42.838776
BE32,42.078518
BE33,48.36235
BE34,51.2356
BE35,47.349014
BG31,48.183666
BG32,50.49058
BG33,53.055428
BG34,56.10946
DE92,42.565136
DE93,41.533012
DE94,46.082615
CZ07,44.811035
CZ08,47.30881
AL01,121.81251
AL02,93.25688
AL03,101.640274
AT11,49.45532
AT12,49.54899
AT13,46.238235
AT21,89.68712
AT22,65.33963
AT31,61.915276
DK05,48.62419
BE21,41.720093
BE22,43.08884
ES43,61.04506
ES51,75.10701
ES52,56.07257
ES53,53.529224
ES61,56.909225
ES62,47.68599
ES63,72.75072
ES64,35.50377
CH02,83.1969
CH03,69.514046
CH04,67.7815
CH05,86.80142
CH06,95.75625
CH07,146.8423
CY00,35.710415
CZ01,35.879967
CZ02,37.929726
CZ03,43.25334
CZ04,41.74249
CZ05,42.792282
CZ06,41.424225
DE40,34.802578
EL53,60.870678
EL54,116.412415
EL61,73.2264
EL62,121.9613
EL63,99.13887
ES70,16.578033
ITC1,112.32162
ITC2,108.33826
DE11,51.61757
DE12,55.49916
DE13,62.476276
DE14,58.616886
DE21,62.850147
DE22,51.004852
DE23,48.22465
DE24,48.06185
DE25,47.119034
DE26,48.10855
DE27,63.98943
DE30,34.61828
EL42,45.10698
LV00,41.76417
ME00,129.45056
MK00,55.737682
MT00,58.127323
NL11,48.95268
NL12,58.381622
EL64,66.59347
EL65,64.55839
ES11,92.98023
ES12,76.25938
ES13,66.50878
ES21,67.1291
ES22,61.161453
ES23,44.829983
ES24,51.28442
ES30,47.79188
IE05,56.94895
IE06,50.24129
IS00,81.91185
ITC3,115.731346
FI19,38.407692
FI1B,44.04663
FI1C,41.80719
DEA1,47.057102
DEA2,48.06897
DEA3,45.579624
DEA4,46.27694
DEA5,51.91199
DEB1,45.801765
DEB2,47.599564
DEB3,47.19898
DEC0,53.42559
DED2,43.118362
DED4,48.571026
DED5,41.11543
DEE0,38.69297
DEF0,45.447556
DEG0,44.63986
DK01,43.744087
DK02,42.07803
DK03,46.66858
DK04,47.321575
ES41,51.84372
ES42,48.303158
HU23,50.977997
HU31,45.602478
HU32,44.467697
HU33,43.878063
IE04,60.051216
EE00,42.846252
EL30,48.4234
EL41,57.850742
EL43,43.78818
EL51,58.529427
EL52,61.605083
FI20,41.97879
FR10,41.692806
FRB0,45.473347
FRC1,57.762955
FRC2,75.133026
FRD1,47.658978
FRD2,44.39628
FRE1,44.19587
FRE2,41.657352
FRF1,58.98651
NL13,44.047333
NL21,43.751213
NL22,42.81833
NL23,48.53243
NL31,44.749004
NL32,58.7427
ITG2,53.426407
ITH1,79.62156
ITH2,100.72258
FRI3,51.337788
FRJ1,98.34255
FRJ2,67.61937
FRK1,65.313
FRK2,84.302826
FRL0,81.14752
FRM0,72.26328
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,69.12424
TR32,64.53263
TR33,42.960854
HR03,115.89883
HR02,63.934006
HU11,44.375965
HU12,45.718758
HU21,47.987206
HU22,50.663326
PT16,77.24466
PT17,59.668774
FRF2,51.527462
FRF3,59.06436
FRG0,46.800438
FRH0,48.918003
FRI1,63.424522
FRI2,62.566307
ITC4,100.44061
ITF1,79.24272
ITF2,74.55298
ITF3,100.17352
ITF4,63.283863
ITF5,65.32547
ITF6,82.224174
ITG1,63.09185
LT01,39.49241
LT02,40.815483
LU00,49.517086
PL22,47.233597
PL41,33.808037
PL42,37.864365
PT18,56.597458
PT20,0.0
PT30,0.0
RO11,52.223995
RO12,46.301937
RO21,47.973732
RO22,47.95734
RO31,49.01187
RO32,48.61742
ITH3,101.09375
