nuts,Spring Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,38.62803
DE60,40.49867
DE71,45.567036
DE72,44.514553
DE73,45.035675
DE80,36.565216
DE91,40.84859
BG41,57.37121
BG42,56.92362
CH01,88.722565
AT32,75.524414
AT33,77.28183
AT34,86.85481
BE10,39.89787
BE23,39.749733
BE24,41.085617
BE25,38.90266
BE31,41.093044
BE32,42.436302
BE33,46.298847
BE34,47.365997
BE35,45.558895
BG31,57.926388
BG32,54.176315
BG33,48.473335
BG34,50.89051
DE92,40.805466
DE93,39.301296
DE94,37.944798
CZ07,48.962505
CZ08,52.556217
AL01,88.89818
AL02,67.62612
AL03,62.645073
AT11,45.441723
AT12,51.15765
AT13,45.743694
AT21,73.26317
AT22,65.23845
AT31,71.156746
DK05,38.35098
BE21,40.99986
BE22,42.40203
ES43,42.469707
ES51,52.32353
ES52,39.600185
ES53,32.19381
ES61,42.33209
ES62,34.23361
ES63,42.982536
ES64,31.479883
CH02,83.17027
CH03,76.165535
CH04,72.406944
CH05,81.24437
CH06,91.89944
CH07,111.77424
CY00,24.14049
CZ01,37.72578
CZ02,39.002495
CZ03,47.04803
CZ04,42.036407
CZ05,42.91506
CZ06,41.60233
DE40,39.00266
EL53,50.497215
EL54,66.150604
EL61,55.84491
EL62,57.506798
EL63,63.723595
ES70,7.1982474
ITC1,98.274536
ITC2,98.137726
DE11,55.873882
DE12,55.3455
DE13,66.00715
DE14,65.90924
DE21,73.49004
DE22,57.55833
DE23,51.524
DE24,49.395565
DE25,50.37521
DE26,48.676075
DE27,71.39998
DE30,37.87437
EL42,33.578056
LV00,38.2323
ME00,91.88039
MK00,54.656544
MT00,23.663506
NL11,39.043594
NL12,38.44277
EL64,52.64949
EL65,46.233
ES11,71.83925
ES12,65.69559
ES13,58.13207
ES21,57.188976
ES22,49.812458
ES23,44.98036
ES24,42.41671
ES30,39.63437
IE05,47.328136
IE06,43.24411
IS00,70.83151
ITC3,77.55018
FI19,33.44248
FI1B,34.87056
FI1C,34.15059
DEA1,42.483814
DEA2,46.54712
DEA3,41.846523
DEA4,41.915962
DEA5,48.429813
DEB1,43.212326
DEB2,43.740772
DEB3,43.53868
DEC0,47.275726
DED2,45.61499
DED4,47.511086
DED5,40.03622
DEE0,39.187134
DEF0,38.919937
DEG0,45.282764
DK01,35.887775
DK02,34.962215
DK03,38.644516
DK04,38.287437
ES41,43.702225
ES42,39.92564
HU23,44.833546
HU31,45.43541
HU32,42.931774
HU33,40.495495
IE04,48.753674
EE00,35.506634
EL30,40.370552
EL41,47.80993
EL43,31.757513
EL51,53.94911
EL52,54.93069
FI20,29.472708
FR10,41.735073
FRB0,45.167404
FRC1,54.70031
FRC2,72.3916
FRD1,41.924286
FRD2,42.937813
FRE1,41.80155
FRE2,42.755207
FRF1,57.172558
NL13,38.182163
NL21,40.12453
NL22,41.123146
NL23,40.744385
NL31,42.11285
NL32,38.925472
ITG2,45.000477
ITH1,67.71912
ITH2,76.31194
FRI3,47.01676
FRJ1,61.51117
FRJ2,58.681335
FRK1,57.144787
FRK2,72.17876
FRL0,61.945232
FRM0,53.879047
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,51.964603
TR32,45.372482
TR33,39.97934
HR03,77.20686
HR02,56.113453
HU11,40.77922
HU12,42.02707
HU21,43.351467
HU22,46.019753
PT16,55.56247
PT17,41.436188
FRF2,47.925644
FRF3,51.3442
FRG0,42.131363
FRH0,44.51969
FRI1,55.200104
FRI2,59.19908
ITC4,80.03359
ITF1,60.737717
ITF2,54.644444
ITF3,60.563187
ITF4,42.543396
ITF5,45.77438
ITF6,58.86712
ITG1,37.235363
LT01,41.33155
LT02,38.42462
LU00,45.87859
PL22,53.695595
PL41,38.11801
PL42,39.863613
PT18,39.794296
PT20,0.0
PT30,0.0
RO11,56.194077
RO12,59.74776
RO21,50.642902
RO22,44.064247
RO31,53.240852
RO32,49.63929
ITH3,73.33567
ITH4,91.71913
ITH5,64.57944
ITI1,57.353252
ITI2,57.301098
ITI3,62.89899
ITI4,60.067184
LI00,94.45782
FI1D,34.553196
TR82,52.83743
TR83,52.791283
TR90,67.65109
TRA1,56.80932
TRA2,59.527683
PL43,39.693485
PL51,41.96309
PL52,44.51369
PL61,38.50044
PL62,41.250614
PL63,39.169895
PL71,43.05087
PL72,45.90228
PL81,45.973408
PL82,54.24824
PL84,39.10356
PL91,43.7293
PL92,43.46292
PT11,69.04903
PT15,40.65507
TRB1,61.869503
TRB2,74.09268
TRC1,46.531166
RS12,46.633507
RS21,61.30097
RS22,55.9068
SE11,30.43038
SE12,36.76474
NL33,40.72616
NL34,39.25915
NL41,41.003044
NL42,41.239433
PL21,59.582703
UKM6,54.589497
TR22,49.468395
TRC2,47.77772
TRC3,45.242085
UKC1,42.71473
UKC2,42.284615
UKD1,51.073242
UKD3,45.170723
UKD4,49.723663
UKD6,41.467346
UKD7,43.20815
UKE1,37.230938
UKE2,43.025703
UKE3,40.28866
RO41,55.553905
RO42,56.470974
RS11,53.6078
TR41,41.720303
TR42,51.545525
TR51,35.557735
TR52,34.988304
TR61,44.4134
TR62,54.753838
TR63,54.42092
TR71,37.434532
TR72,46.192757
TR81,57.837723
UKK1,41.49472
UKK2,42.741325
UKK3,44.95574
UKK4,45.351448
UKL1,51.53624
UKL2,48.29204
UKM5,42.666203
UKM7,49.63415
UKM8,57.330753
UKM9,50.297512
UKN0,46.37968
SE21,36.016766
SE22,36.411835
SE23,41.73762
SE31,44.02602
SE32,43.492256
SE33,39.85918
SI03,68.873695
SI04,81.58205
SK01,43.643867
SK02,49.137253
SK03,55.341248
SK04,53.38301
TR10,43.429344
TR21,46.004486
UKE4,44.161552
UKF1,40.624092
UKF2,37.939255
UKF3,36.88512
UKG1,40.531128
UKG2,41.579075
UKG3,40.163776
UKH1,35.983807
UKH2,36.991974
UKH3,37.56887
UKI3,37.88774
UKI4,37.88774
UKI5,38.769093
UKI6,37.728664
UKI7,38.39167
UKJ1,38.190792
UKJ2,38.849216
UKJ3,40.054413
UKJ4,35.625202
NO09,66.54703
NO0A,87.43244
NO0B,38.286373
HR05,54.22936
HR06,54.656437
NO02,51.045406
NO06,61.98975
NO07,54.221424
NO08,52.50422
