nuts,Annual Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,56.81158
DE60,65.235596
DE71,64.61406
DE72,64.16982
DE73,65.18741
DE80,54.60576
DE91,60.629494
BG41,76.202225
BG42,85.35359
CH01,129.00275
AT32,115.0298
AT33,118.48767
AT34,122.47279
BE10,58.919636
BE23,56.22302
BE24,60.326065
BE25,56.89534
BE31,60.43409
BE32,58.630867
BE33,69.260185
BE34,70.122086
BE35,64.52956
BG31,79.59537
BG32,79.28734
BG33,73.902275
BG34,76.86156
DE92,57.094063
DE93,59.537037
DE94,62.06918
CZ07,76.765335
CZ08,81.38335
AL01,151.52185
AL02,118.3765
AL03,125.83413
AT11,72.84063
AT12,80.49857
AT13,72.8344
AT21,117.309135
AT22,93.83345
AT31,98.54902
DK05,58.54774
BE21,59.521496
BE22,62.778698
ES43,78.186874
ES51,103.524445
ES52,84.17956
ES53,67.299706
ES61,73.89116
ES62,60.154022
ES63,91.88234
ES64,55.31008
CH02,112.271454
CH03,92.618546
CH04,95.13938
CH05,118.957596
CH06,130.59795
CH07,181.57344
CY00,61.56746
CZ01,66.24553
CZ02,65.31139
CZ03,72.383385
CZ04,64.94872
CZ05,70.82293
CZ06,69.8789
DE40,55.21168
EL53,86.803925
EL54,142.93399
EL61,116.31034
EL62,147.10716
EL63,119.73631
ES70,25.61467
ITC1,154.92006
ITC2,151.88078
DE11,72.68583
DE12,77.64356
DE13,86.09659
DE14,85.65233
DE21,97.46024
DE22,78.679214
DE23,68.93933
DE24,66.84783
DE25,67.80473
DE26,65.95085
DE27,95.30938
DE30,55.04917
EL42,75.472176
LV00,59.737457
ME00,159.2335
MK00,79.642044
MT00,78.553
NL11,63.8
NL12,69.51657
EL64,98.75842
EL65,91.68555
ES11,116.02343
ES12,102.3728
ES13,87.74573
ES21,91.65383
ES22,86.08666
ES23,71.56167
ES24,78.58492
ES30,63.244427
IE05,67.764946
IE06,59.337353
IS00,105.82665
ITC3,136.06927
FI19,54.5456
FI1B,57.54615
FI1C,56.838715
DEA1,64.4385
DEA2,68.17565
DEA3,62.30516
DEA4,60.48644
DEA5,70.65669
DEB1,63.813393
DEB2,68.074936
DEB3,64.42255
DEC0,71.87887
DED2,69.63827
DED4,70.711075
DED5,60.27356
DEE0,57.506264
DEF0,60.857388
DEG0,62.015003
DK01,58.342216
DK02,56.934937
DK03,58.257263
DK04,57.537094
ES41,68.84329
ES42,64.79857
HU23,69.40999
HU31,65.682
HU32,64.11909
HU33,61.523987
IE04,69.87216
EE00,58.760696
EL30,79.46638
EL41,91.64053
EL43,66.60365
EL51,87.85169
EL52,92.15328
FI20,53.83432
FR10,56.52074
FRB0,59.37565
FRC1,71.443275
FRC2,96.8816
FRD1,61.22994
FRD2,59.24018
FRE1,58.898197
FRE2,57.858303
FRF1,79.08701
NL13,58.821785
NL21,60.07169
NL22,59.72114
NL23,62.94962
NL31,60.106846
NL32,70.39445
ITG2,74.51094
ITH1,106.84198
ITH2,131.91014
FRI3,66.77222
FRJ1,124.29454
FRJ2,86.98613
FRK1,80.81322
FRK2,107.275215
FRL0,105.89472
FRM0,95.05646
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,95.66452
TR32,95.25487
TR33,61.78871
HR03,135.55817
HR02,84.48301
HU11,63.801075
HU12,63.642033
HU21,66.344284
HU22,70.17326
PT16,101.83134
PT17,77.28747
FRF2,67.63005
FRF3,76.57854
FRG0,62.64424
FRH0,66.44922
FRI1,83.78509
FRI2,79.604866
ITC4,122.69539
ITF1,103.08004
ITF2,92.58782
ITF3,112.95083
ITF4,76.97758
ITF5,80.36866
ITF6,116.4783
ITG1,81.61895
LT01,61.68125
LT02,60.757862
LU00,68.2695
PL22,75.37302
PL41,61.457237
PL42,59.582874
PT18,72.41023
PT20,0.0
PT30,0.0
RO11,75.16223
RO12,78.78064
RO21,79.702644
RO22,74.12734
RO31,80.86996
RO32,83.64185
ITH3,125.61886
ITH4,158.45827
ITH5,102.50053
ITI1,103.99305
ITI2,91.78555
ITI3,85.68833
ITI4,113.49603
LI00,130.8347
FI1D,56.78518
TR82,73.13424
TR83,67.39226
TR90,102.27834
TRA1,78.21349
TRA2,77.634315
PL43,61.669056
PL51,70.24087
PL52,73.98009
PL61,59.190346
PL62,58.93532
PL63,59.96349
PL71,63.11542
PL72,68.01672
PL81,66.44299
PL82,75.33201
PL84,59.966175
PL91,61.96451
PL92,61.045975
PT11,118.69084
PT15,74.06357
TRB1,95.79064
TRB2,110.638214
TRC1,87.25698
RS12,64.57623
RS21,77.985245
RS22,72.76871
SE11,54.94511
SE12,56.54544
NL33,65.50477
NL34,59.06162
NL41,60.527504
NL42,60.834347
PL21,80.96274
UKM6,83.786964
TR22,87.16143
TRC2,80.52202
TRC3,75.846756
UKC1,63.102905
UKC2,60.538673
UKD1,75.70692
UKD3,63.811123
UKD4,72.84101
UKD6,55.426968
UKD7,64.890594
UKE1,52.952488
UKE2,60.799965
UKE3,55.872265
RO41,81.60841
RO42,75.46005
RS11,67.54663
TR41,63.752457
TR42,76.76157
TR51,51.05246
TR52,57.38954
TR61,96.90366
TR62,106.138374
TR63,94.61016
TR71,55.02491
TR72,62.30107
TR81,88.85075
UKK1,55.883
UKK2,61.39981
UKK3,64.58951
UKK4,65.71167
UKL1,76.23445
UKL2,68.29347
UKM5,66.73553
UKM7,72.9016
UKM8,82.75728
UKM9,72.35305
UKN0,62.95127
SE21,56.842052
SE22,57.383644
SE23,63.938572
SE31,62.320152
SE32,65.194496
SE33,66.6078
SI03,105.65181
SI04,134.00383
SK01,68.10534
SK02,70.3987
SK03,75.90345
SK04,73.459694
TR10,86.853355
TR21,80.38508
UKE4,58.977528
UKF1,54.552708
UKF2,50.333214
UKF3,50.557396
UKG1,55.429558
UKG2,55.38554
UKG3,53.276997
UKH1,51.306686
UKH2,50.658375
UKH3,50.21702
UKI3,51.784035
UKI4,51.784035
UKI5,51.352283
UKI6,52.5518
UKI7,52.236313
UKJ1,52.138668
UKJ2,58.92147
UKJ3,59.226654
UKJ4,54.082703
NO09,104.20996
NO0A,137.85635
NO0B,58.646828
HR05,84.37641
HR06,85.78672
NO02,75.6236
NO06,96.10311
NO07,84.70173
NO08,81.66547
