nuts,Summer Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,52.498695
DE60,55.46184
DE71,48.327187
DE72,50.540287
DE73,50.542316
DE80,51.444336
DE91,50.800007
BG41,55.456547
BG42,51.392467
CH01,89.60199
AT32,92.97062
AT33,97.891045
AT34,104.13856
BE10,47.221046
BE23,47.195183
BE24,47.997498
BE25,44.62856
BE31,46.72013
BE32,46.03867
BE33,54.471634
BE34,50.738495
BE35,47.860172
BG31,58.37382
BG32,59.053055
BG33,48.766487
BG34,46.95803
DE92,49.40367
DE93,52.870945
DE94,50.73963
CZ07,65.12997
CZ08,70.25849
AL01,57.254463
AL02,47.04877
AL03,35.7428
AT11,59.614536
AT12,66.88838
AT13,57.077366
AT21,87.44358
AT22,80.186424
AT31,83.97529
DK05,52.058647
BE21,47.28025
BE22,48.6682
ES43,17.289377
ES51,46.492294
ES52,26.865835
ES53,17.88744
ES61,13.512486
ES62,15.483404
ES63,10.469134
ES64,8.459444
CH02,87.82043
CH03,75.53309
CH04,75.86795
CH05,93.436066
CH06,110.87584
CH07,127.425095
CY00,4.3139877
CZ01,59.55213
CZ02,58.74661
CZ03,62.368637
CZ04,56.201004
CZ05,60.768826
CZ06,57.548225
DE40,50.845806
EL53,33.067566
EL54,29.17593
EL61,38.405277
EL62,19.440878
EL63,23.976683
ES70,2.0869915
ITC1,87.06883
ITC2,79.1336
DE11,53.012833
DE12,52.380806
DE13,62.414185
DE14,70.586876
DE21,86.59115
DE22,66.69708
DE23,55.82509
DE24,48.651276
DE25,51.846844
DE26,47.8025
DE27,80.01005
DE30,50.69202
EL42,2.8019643
LV00,52.19433
ME00,60.61284
MK00,41.095436
MT00,4.745999
NL11,51.542988
NL12,50.73812
EL64,24.663206
EL65,15.569467
ES11,42.40901
ES12,56.890488
ES13,51.45295
ES21,53.210953
ES22,50.437435
ES23,43.69292
ES24,38.843575
ES30,23.275496
IE05,49.254692
IE06,45.703663
IS00,57.42392
ITC3,52.01269
FI19,52.017174
FI1B,49.424137
FI1C,48.019943
DEA1,48.938965
DEA2,53.244904
DEA3,46.55944
DEA4,49.89069
DEA5,53.066547
DEB1,49.23419
DEB2,47.87327
DEB3,45.581112
DEC0,45.722626
DED2,61.53747
DED4,56.956783
DED5,49.557404
DEE0,48.112247
DEF0,50.5574
DEG0,47.916416
DK01,52.775677
DK02,51.204384
DK03,49.719055
DK04,51.25273
ES41,30.69137
ES42,23.743904
HU23,53.877148
HU31,52.26341
HU32,51.16183
HU33,45.81716
IE04,49.658375
EE00,53.206184
EL30,8.528698
EL41,7.9304285
EL43,6.621683
EL51,36.89288
EL52,38.875248
FI20,46.233524
FR10,42.44569
FRB0,41.150925
FRC1,49.71484
FRC2,62.68671
FRD1,42.98731
FRD2,43.278023
FRE1,43.62466
FRE2,42.611076
FRF1,56.06207
NL13,47.652493
NL21,48.463554
NL22,46.994198
NL23,49.50882
NL31,47.744247
NL32,51.340263
ITG2,20.695873
ITH1,81.394745
ITH2,85.71725
FRI3,40.52404
FRJ1,49.048046
FRJ2,57.723335
FRK1,53.098473
FRK2,63.283203
FRL0,45.047188
FRM0,31.736923
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,12.256907
TR32,13.180225
TR33,19.954567
HR03,56.43578
HR02,60.76316
HU11,46.740234
HU12,50.27193
HU21,50.574665
HU22,54.50962
PT16,23.334772
PT17,13.0498905
FRF2,49.320164
FRF3,49.53765
FRG0,38.3559
FRH0,38.528347
FRI1,54.38277
FRI2,51.47149
ITC4,82.824036
ITF1,50.995068
ITF2,41.30252
ITF3,33.16651
ITF4,27.54217
ITF5,31.773941
ITF6,28.530863
ITG1,16.493156
LT01,55.874332
LT02,54.70583
LU00,49.98667
PL22,65.87711
PL41,53.923878
PL42,54.956165
PT18,13.722545
PT20,0.0
PT30,0.0
RO11,67.30704
RO12,74.36757
RO21,67.2544
RO22,51.852695
RO31,63.76005
RO32,66.770935
ITH3,77.45912
ITH4,89.64873
ITH5,58.54616
ITI1,46.209408
ITI2,45.20094
ITI3,52.161144
ITI4,43.874413
LI00,123.97086
FI1D,52.447815
TR82,43.310184
TR83,35.909924
TR90,65.874214
TRA1,37.594776
TRA2,51.10231
PL43,55.05854
PL51,63.629078
PL52,61.80324
PL61,52.83662
PL62,53.380535
PL63,55.550568
PL71,55.52967
PL72,59.027924
PL81,61.236053
PL82,65.48443
PL84,55.467346
PL91,54.236183
PL92,54.679535
PT11,34.924286
PT15,8.64482
TRB1,18.760904
TRB2,22.01316
TRC1,9.944898
