nuts,Winter Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,39.42879
DE60,41.898754
DE71,46.459972
DE72,46.676228
DE73,44.523155
DE80,34.72542
DE91,39.34509
BG41,47.34736
BG42,56.454403
CH01,94.94289
AT32,66.81594
AT33,70.93298
AT34,84.90054
BE10,41.06776
BE23,40.255062
BE24,41.573513
BE25,39.755527
BE31,41.13833
BE32,42.675674
BE33,53.29586
BE34,55.588844
BE35,48.12646
BG31,43.071407
BG32,43.203224
BG33,42.907665
BG34,48.867004
DE92,40.631557
DE93,39.578205
DE94,41.012466
CZ07,33.970165
CZ08,33.759308
AL01,117.85416
AL02,87.535934
AL03,90.12267
AT11,33.319
AT12,36.502148
AT13,32.48548
AT21,59.883835
AT22,49.141956
AT31,59.599686
DK05,38.391323
BE21,41.68297
BE22,44.50659
ES43,64.43826
ES51,56.724197
ES52,43.375202
ES53,44.61709
ES61,59.00072
ES62,35.150406
ES63,72.8728
ES64,32.55337
CH02,81.78531
CH03,61.968727
CH04,64.38232
CH05,74.0712
CH06,82.57175
CH07,90.66313
CY00,55.547153
CZ01,27.734581
CZ02,31.733353
CZ03,39.351425
CZ04,37.10168
CZ05,36.217976
CZ06,30.02262
DE40,32.61533
EL53,57.479473
EL54,106.77769
EL61,80.83118
EL62,105.87567
EL63,91.30522
ES70,24.540018
ITC1,84.89963
ITC2,97.43489
DE11,54.118652
DE12,60.47381
DE13,63.832497
DE14,56.327023
DE21,55.188896
DE22,52.423225
DE23,49.161465
DE24,48.322983
DE25,48.195637
DE26,48.456898
DE27,60.33932
DE30,31.790955
EL42,64.307655
LV00,30.780901
ME00,120.03432
MK00,53.530323
MT00,56.038597
NL11,41.10596
NL12,43.458572
EL64,75.9915
EL65,69.15703
ES11,99.176575
ES12,76.30525
ES13,62.55272
ES21,64.12829
ES22,55.44155
ES23,41.631214
ES24,41.747528
ES30,46.722984
IE05,54.45007
IE06,44.85901
IS00,85.64139
ITC3,95.1935
FI19,28.698387
FI1B,33.84824
FI1C,31.038319
DEA1,47.176334
DEA2,51.606262
DEA3,44.840332
DEA4,44.1584
