nuts,Winter Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,40.06078
DE60,41.215416
DE71,45.236336
DE72,44.421097
DE73,42.891293
DE80,33.365887
DE91,39.759815
BG41,45.908653
BG42,55.754734
CH01,96.97313
AT32,65.15378
AT33,69.24318
AT34,84.73076
BE10,42.22943
BE23,40.755127
BE24,43.094788
BE25,40.652573
BE31,43.66149
BE32,44.687954
BE33,52.388676
BE34,55.289707
BE35,49.676525
BG31,38.305798
BG32,42.343273
BG33,42.71479
BG34,50.387184
DE92,40.494495
DE93,39.051888
DE94,41.1679
CZ07,32.55678
CZ08,32.803135
AL01,110.09575
AL02,82.93611
AL03,84.433266
AT11,30.657751
AT12,34.436672
AT13,27.64254
AT21,58.390507
AT22,46.381706
AT31,54.203312
DK05,36.006218
BE21,41.54468
BE22,45.702255
ES43,57.24162
ES51,49.527004
ES52,40.605476
ES53,41.131958
ES61,53.2111
ES62,31.168
ES63,69.84149
ES64,31.557266
CH02,84.02212
CH03,60.593014
CH04,61.809338
CH05,73.358025
CH06,85.78925
CH07,84.71646
CY00,56.889725
CZ01,26.629503
CZ02,29.488497
CZ03,35.69388
CZ04,34.634876
CZ05,35.31541
CZ06,29.022219
DE40,31.301567
EL53,61.085213
EL54,102.77466
EL61,80.56186
EL62,101.45099
EL63,93.20068
ES70,24.962069
ITC1,77.05521
ITC2,92.18666
DE11,50.58023
DE12,56.860535
DE13,62.51004
DE14,53.677944
DE21,53.490616
DE22,46.400475
DE23,45.726562
DE24,46.835957
DE25,45.05407
DE26,47.0872
DE27,58.297863
DE30,30.832293
EL42,64.3659
LV00,28.93971
ME00,109.98717
MK00,51.63094
MT00,55.63067
NL11,40.516273
NL12,42.312687
EL64,75.37057
EL65,70.84638
ES11,99.692795
ES12,77.33594
ES13,63.38544
ES21,66.48797
ES22,53.724735
ES23,39.205936
ES24,39.18738
ES30,41.702473
IE05,52.169975
IE06,43.65446
IS00,80.82147
ITC3,86.00531
FI19,26.759195
FI1B,30.75274
FI1C,28.80873
DEA1,46.53681
DEA2,50.602154
DEA3,44.662937
DEA4,44.46177
DEA5,53.75438
DEB1,45.629845
DEB2,50.309925
DEB3,42.633656
DEC0,56.132736
DED2,36.795994
DED4,41.146088
DED5,34.40214
DEE0,32.204044
DEF0,39.795837
DEG0,38.368874
DK01,33.984848
DK02,33.855938
DK03,37.348305
DK04,36.32336
ES41,49.11322
ES42,41.18188
HU23,35.751205
HU31,29.870674
HU32,31.422754
HU33,31.311087
IE04,55.57305
EE00,29.335142
EL30,59.894356
EL41,77.45812
EL43,59.115017
EL51,64.69939
EL52,62.060307
FI20,27.853405
FR10,40.443703
FRB0,42.415092
FRC1,51.458412
FRC2,77.431816
FRD1,48.814064
FRD2,42.814198
