nuts,Annual Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,58.223446
DE60,65.27014
DE71,63.880478
DE72,65.84421
DE73,64.673874
DE80,57.224216
DE91,61.391518
BG41,76.797775
BG42,85.790955
CH01,127.587166
AT32,111.48288
AT33,115.480606
AT34,123.930534
BE10,58.770687
BE23,60.474773
BE24,60.573013
BE25,58.93664
BE31,59.842377
BE32,58.1565
BE33,67.03171
BE34,68.962135
BE35,63.83979
BG31,77.59168
BG32,78.068054
BG33,74.52928
BG34,78.85719
DE92,58.87043
DE93,61.191994
DE94,60.445
CZ07,73.33957
CZ08,80.84888
AL01,150.24324
AL02,116.04731
AL03,118.19212
AT11,71.87858
AT12,79.4147
AT13,70.519066
AT21,115.6191
AT22,96.10758
AT31,99.67554
DK05,59.887066
BE21,59.109264
BE22,61.585503
ES43,80.93563
ES51,96.62231
ES52,82.662926
ES53,67.72676
ES61,78.30367
ES62,65.59824
ES63,94.102066
ES64,52.66962
CH02,109.70727
CH03,89.58139
CH04,91.198616
CH05,116.52418
CH06,132.1806
CH07,180.99895
CY00,61.995155
CZ01,65.32676
CZ02,64.85107
CZ03,72.42904
CZ04,65.165375
CZ05,67.612015
CZ06,68.819046
DE40,57.12774
EL53,80.85545
EL54,137.10596
EL61,111.49582
EL62,139.14157
EL63,117.84693
ES70,29.65156
ITC1,153.63004
ITC2,150.51764
DE11,72.20569
DE12,76.05676
DE13,86.02336
DE14,87.32746
DE21,98.28499
DE22,78.9646
DE23,67.95539
DE24,65.79336
DE25,67.660324
DE26,64.253586
DE27,96.479576
DE30,57.386784
EL42,73.18513
LV00,58.520885
ME00,161.39757
MK00,74.97676
MT00,80.63284
NL11,62.646397
NL12,68.422905
EL64,97.80172
EL65,89.00493
ES11,116.29186
ES12,99.17481
ES13,85.75964
ES21,86.59979
ES22,81.322716
ES23,65.21259
ES24,72.39787
ES30,63.667374
IE05,69.5572
IE06,60.44052
IS00,105.736725
ITC3,145.19246
FI19,55.31274
FI1B,55.934116
FI1C,54.01867
DEA1,63.55332
DEA2,67.778725
DEA3,58.96281
DEA4,61.364265
DEA5,69.725716
DEB1,62.899437
DEB2,64.290665
DEB3,63.17884
DEC0,70.944824
DED2,70.74884
DED4,69.71603
DED5,60.17695
DEE0,57.209473
DEF0,61.25185
DEG0,64.460396
DK01,60.356373
DK02,59.918465
DK03,58.857597
DK04,57.910446
ES41,70.50175
ES42,65.98887
HU23,67.76717
HU31,63.251217
HU32,61.683033
HU33,60.92848
IE04,71.23736
EE00,57.57229
EL30,74.07501
EL41,90.99337
EL43,70.25663
EL51,89.98187
EL52,89.50625
FI20,53.45704
FR10,57.205036
FRB0,59.851177
FRC1,71.64919
FRC2,96.721924
FRD1,62.85071
FRD2,58.198364
FRE1,58.62473
FRE2,58.53311
FRF1,80.68049
NL13,58.564774
NL21,58.535145
NL22,57.505592
NL23,61.78993
NL31,56.84002
NL32,67.381294
ITG2,75.37987
ITH1,106.01323
ITH2,128.6708
FRI3,65.18134
FRJ1,121.398705
FRJ2,88.94376
FRK1,82.06395
FRK2,106.67852
FRL0,106.88887
FRM0,93.45771
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,96.31839
TR32,93.484535
TR33,61.64069
HR03,130.64468
HR02,83.37463
HU11,58.73543
HU12,61.278595
HU21,63.73033
HU22,69.28663
PT16,99.5825
PT17,77.11505
FRF2,67.22183
FRF3,75.34853
FRG0,60.82867
FRH0,63.72119
FRI1,83.87671
FRI2,79.45389
ITC4,128.85287
ITF1,101.16897
ITF2,94.62723
ITF3,116.48527
ITF4,76.58451
ITF5,83.69792
ITF6,111.37965
ITG1,81.646805
LT01,60.348305
LT02,60.873837
LU00,65.76824
PL22,74.98035
PL41,58.74325
PL42,60.45777
PT18,73.80651
PT20,0.0
PT30,0.0
RO11,75.56206
RO12,80.51796
RO21,78.73712
RO22,72.05948
RO31,79.277855
RO32,80.61058
ITH3,124.61013
ITH4,158.2439
ITH5,103.5509
ITI1,105.1657
ITI2,89.92837
ITI3,90.61494
ITI4,113.653
LI00,137.4863
FI1D,55.46082
TR82,74.188705
TR83,68.96663
TR90,102.201096
TRA1,74.06883
TRA2,78.34305
PL43,60.089905
PL51,70.29079
PL52,69.08396
PL61,58.39231
PL62,59.508354
PL63,60.80804
PL71,61.058628
PL72,67.50441
PL81,67.193954
PL82,73.0626
PL84,61.810555
PL91,59.027325
PL92,60.709213
PT11,122.88292
PT15,79.50406
TRB1,95.60586
TRB2,112.2435
TRC1,88.91363
RS12,64.940384
RS21,74.341835
RS22,71.028435
SE11,55.718075
SE12,56.861794
NL33,62.360367
NL34,61.515503
NL41,58.404293
NL42,59.568806
PL21,80.48021
UKM6,85.643616
TR22,87.95679
TRC2,84.06006
TRC3,77.44907
UKC1,60.82461
UKC2,59.948055
UKD1,78.50758
UKD3,61.96421
UKD4,72.47916
UKD6,56.00034
UKD7,63.90322
UKE1,51.203766
UKE2,60.53099
UKE3,55.080147
RO41,84.01623
RO42,76.72896
RS11,72.88365
TR41,63.613426
TR42,80.16389
TR51,48.96994
TR52,58.008068
TR61,98.86423
TR62,103.34385
TR63,92.5377
TR71,52.555874
TR72,61.576694
TR81,86.16468
UKK1,55.33908
UKK2,61.872986
UKK3,65.81367
UKK4,64.23946
UKL1,73.25606
UKL2,66.41804
UKM5,66.602745
UKM7,75.14587
UKM8,81.94395
UKM9,73.30301
UKN0,63.608402
SE21,57.86942
SE22,58.06884
SE23,63.360493
SE31,64.094604
SE32,66.608734
SE33,66.41281
SI03,106.5356
SI04,132.90594
SK01,70.761284
SK02,66.28467
SK03,73.34255
SK04,72.36405
TR10,87.73945
TR21,80.24157
UKE4,59.461273
UKF1,53.125843
UKF2,50.8657
UKF3,49.726448
UKG1,53.431133
UKG2,55.029293
UKG3,51.56298
UKH1,50.435658
UKH2,50.03069
UKH3,50.32044
UKI3,52.31793
UKI4,52.31793
UKI5,50.431316
UKI6,51.84687
UKI7,50.566322
UKJ1,51.4622
UKJ2,58.584545
UKJ3,58.26731
UKJ4,55.516056
NO09,104.47296
NO0A,139.12866
NO0B,56.80638
HR05,84.67458
HR06,83.01766
NO02,76.841675
NO06,96.19862
NO07,84.619484
NO08,80.521454
