nuts,September Fire Weather Index (-) ensemble median - RCP4.5 - (2041 - 2070)
DE50,5.293364374270874
DE60,5.861798458971424
DE71,11.67961176940954
DE72,9.630814003820449
DE73,8.63330260606276
DE80,7.544265921000662
DE91,8.691122741304586
BG41,14.464178101400847
BG42,20.251649738157074
CH01,5.13251064056975
AT32,2.3812346621098226
AT33,2.948175562255718
AT34,3.6621054535827655
BE10,10.648536168260586
BE23,10.29473098011269
BE24,11.04404108501932
BE25,10.407669875622208
BE31,11.393737728390672
BE32,11.371469137031106
BE33,10.273425798008928
BE34,10.028273892755106
BE35,10.737504954710982
BG31,19.319919952497404
BG32,17.259704546576145
BG33,18.312439385008062
BG34,19.92217573323962
DE92,8.643425629283183
DE93,6.964386313903278
DE94,7.2285369037755505
CZ07,7.1093691724100445
CZ08,6.236375431184892
AL01,15.08954444331932
AL02,19.57941017405596
AL03,20.319495060814585
AT11,9.657767340375138
AT12,7.268321130833305
AT13,10.730717351441694
AT21,3.8226389373871847
AT22,4.236824854249416
AT31,4.23042991639998
DK05,5.549695509532262
BE21,10.114981765798346
BE22,11.34338428854525
ES43,36.132801544651485
ES51,17.63787728110622
ES52,27.181942302822257
ES53,21.436293925004822
ES61,35.44305717382249
ES62,33.53355581296594
ES63,0.0
ES64,0.0
CH02,5.953238680510492
CH03,7.649345390348598
CH04,7.2676626985482615
CH05,4.982787957923918
CH06,4.345966834936844
CH07,4.831310887710417
CY00,40.45500878288872
CZ01,9.155984460034995
CZ02,8.996021482456458
CZ03,6.959520595649587
CZ04,8.069126151170067
CZ05,7.108433453314378
CZ06,7.835156501663985
DE40,9.43159387179352
EL53,22.194669709065558
EL54,20.935351313594886
EL61,22.4989401062138
EL62,0.0
EL63,25.40287805223447
ES70,0.0
ITC1,9.28532040243588
ITC2,5.446719653426368
DE11,9.508849647345233
DE12,10.606389392087506
DE13,8.609206365337952
DE14,6.852402966626767
DE21,5.40401881721756
DE22,6.323891712171634
DE23,7.614342640158845
DE24,8.514440930819442
DE25,9.606644790451098
DE26,10.072234946264162
DE27,6.552333352856529
DE30,10.762940680023236
EL42,30.92310645096553
LV00,5.063021797033404
ME00,12.729391186845026
MK00,20.474376080787
MT00,0.0
NL11,5.66020975258619
NL12,5.181463746413088
EL64,26.46399677311501
EL65,29.558066791301414
ES11,18.77682367860967
ES12,9.400554461230817
ES13,9.598605248689351
ES21,13.123134004422546
ES22,20.906349299867323
ES23,22.176552395550893
ES24,26.653861421972717
ES30,35.05190816850039
IE05,4.491783177804332
IE06,4.523050335899739
IS00,1.4486954021381087
ITC3,9.24417018975394
FI19,4.143014185088302
FI1B,5.251686265003478
FI1C,4.7921699951089485
DEA1,9.558733736732222
DEA2,10.340470322631575
DEA3,9.040125551481799
DEA4,8.43578361243091
DEA5,8.163984231176254
DEB1,10.594332392909093
DEB2,10.700798104590056
DEB3,12.197399596444827
DEC0,10.913536019057304
DED2,7.088005809439187
DED4,6.871338866440095
DED5,9.331669584817167
DEE0,10.01027612472007
DEF0,5.739224217916787
DEG0,9.164095739812021
DK01,7.072287786279941
DK02,7.145974520850061
DK03,5.045418530022609
DK04,4.976219659057086
ES41,28.53443321450107
ES42,36.27590814914828
HU23,13.514934958092985
HU31,13.868325182950736
HU32,15.844275433626164
HU33,16.310211106070238
IE04,3.3629395820927885
EE00,4.5732681885326585
EL30,38.04515726006992
EL41,35.72573290984484
EL43,38.48369872770894
EL51,25.835812289188002
EL52,21.785327728134337
FI20,6.057946185064458
FR10,17.219182384608573
FRB0,19.036308304476208
FRC1,14.729826766858674
FRC2,11.839400428048934
FRD1,14.778392160196818
FRD2,14.158348071190467
FRE1,12.065559406247976
FRE2,14.435385784706469
FRF1,10.91273151448769
NL13,6.480308175689677
NL21,7.296929829981344
NL22,8.249615981153584
NL23,6.746223350609048
NL31,8.024692227760593
NL32,6.439757219610978
ITG2,27.59312539140704
ITH1,4.2114631748728915
ITH2,4.278362206826481
FRI3,19.544267012530092
FRJ1,19.984061888652292
FRJ2,16.11951901090111
FRK1,14.49703965147219
FRK2,12.826411564109222
FRL0,17.745033760757867
FRM0,18.268396231661395
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,37.97149675686152
TR32,39.0567819739394
TR33,36.511398119087275
HR03,13.887549074653316
HR02,12.082898362423332
HU11,14.676373887332922
HU12,15.571591739525353
HU21,14.068008432782893
HU22,12.337527333548447
PT16,31.791749472666282
PT17,31.376503775111864
FRF2,13.552261613179583
FRF3,11.622737906308519
FRG0,19.214007817668314
FRH0,16.353654744205066
FRI1,16.5596486109833
FRI2,15.385064178739189
ITC4,8.552207353672335
ITF1,12.909441458019698
ITF2,17.811134221657895
ITF3,18.096885257963812
ITF4,24.50848244550914
ITF5,21.452534408070782
ITF6,17.147440006834987
ITG1,25.17159781573653
LT01,6.649000498564908
LT02,6.106757196574105
LU00,10.617476893845847
PL22,7.086892245163814
PL41,8.672019392785225
PL42,6.650063502444781
PT18,35.70127064149023
PT20,0.0
PT30,0.0
RO11,9.65126188863891
RO12,8.219071427425218
RO21,11.221851260599097
RO22,17.54793193272738
RO31,15.50637977693309
RO32,15.59623534415004
ITH3,8.395085496904061
ITH4,7.200224759854724
ITH5,13.228301843306994
ITI1,14.73011085621026
ITI2,17.404458381899634
ITI3,14.606940378454942
ITI4,16.357543566744624
LI00,4.372947924426169
FI1D,2.524661251190459
TR82,24.527699053869238
TR83,24.658061430514373
TR90,15.125466763909706
TRA1,33.85594085691073
TRA2,11.173211067713899
PL43,8.523873553136566
