nuts,Winter Fire Weather Index (-) ensemble median - RCP4.5 - (2011 - 2040)
DE50,0.4142883202926175
DE60,0.3997655685537782
DE71,0.46154653224095543
DE72,0.3574229066532605
DE73,0.42332763300678794
DE80,0.46884455597546437
DE91,0.5183688117617098
BG41,1.5223926930790828
BG42,1.9799887958205207
CH01,0.40547702110529715
AT32,0.26583598197407865
AT33,0.29275070342433035
AT34,0.357972621878541
BE10,0.7345779162240879
BE23,0.7646673690486308
BE24,0.7801452845177547
BE25,0.8173353672031266
BE31,0.8045055855216902
BE32,0.7289352422345907
BE33,0.621696209102257
BE34,0.434611469694157
BE35,0.6071229078853901
BG31,2.4355945598824693
BG32,2.1433725855202908
BG33,2.241733774421518
BG34,2.0195200128890787
DE92,0.5096425357851635
DE93,0.4489685138695305
DE94,0.4928805294918495
CZ07,0.4732303870721728
CZ08,0.543004617033072
AL01,1.184942012863108
AL02,1.6453400131143332
AL03,1.5658117400372646
AT11,1.5340826089843156
AT12,1.1058345234947535
AT13,1.681157995012679
AT21,0.5913373614655253
AT22,0.7203595290219129
AT31,0.39543348224813457
DK05,0.5104775253789138
BE21,0.686409555379724
BE22,0.7379454814102577
ES43,5.4321886560581145
ES51,5.529605522028889
ES52,10.832079009098782
ES53,6.943519914826046
ES61,7.325252768028186
ES62,12.377166116322751
ES63,0.0
ES64,0.0
CH02,0.4546787004198852
CH03,0.48146009637254
CH04,0.468335074072654
CH05,0.36683833434954577
CH06,0.34062385867335926
CH07,0.7878558113857992
CY00,7.814580744148331
CZ01,0.8534605508856388
CZ02,0.7255398272805772
CZ03,0.5950584383137836
CZ04,0.5443668371392674
CZ05,0.4258422127665208
CZ06,0.7708590807660611
DE40,0.5447341427573186
EL53,1.5509150247129433
EL54,1.322970580354244
EL61,1.8240672067843904
EL62,0.0
EL63,1.7269529603181335
ES70,0.0
ITC1,1.6344761843082534
ITC2,0.5969578256981236
DE11,0.5488962492155968
DE12,0.5590048737464213
DE13,0.5402266030234452
DE14,0.6114789257975104
DE21,0.5127725721910344
DE22,0.47263875571300373
DE23,0.41630398420042863
DE24,0.3877206898666238
DE25,0.5029060739565414
DE26,0.44488566907777355
DE27,0.6170097458707618
DE30,0.5358702831929455
EL42,5.15334968099187
LV00,0.15406432009817247
ME00,0.8604611328753663
MK00,1.781030270968025
MT00,0.0
NL11,0.5808645888059601
NL12,0.6611529282251228
EL64,2.2401582808646365
EL65,2.6635497129264913
ES11,1.4269259152099054
ES12,1.394324856754973
ES13,1.5381604265584976
ES21,1.7474820776110995
ES22,2.951144208464213
ES23,2.9581830378176224
ES24,6.999511571339385
ES30,4.036450759452092
IE05,0.549330349799839
IE06,0.5719435119731814
IS00,0.2146396543921429
ITC3,2.117538021383093
FI19,0.11128396947183528
FI1B,0.10584262920539392
FI1C,0.09177975584060587
DEA1,0.5658346633510678
DEA2,0.5700628600667926
DEA3,0.5050206958333605
DEA4,0.4688846867131522
DEA5,0.4464797132285739
DEB1,0.42651553837822226
DEB2,0.39716519791122523
DEB3,0.5202941041366121
DEC0,0.44094296253972926
DED2,0.6477023378197204
DED4,0.5813846783542422
DED5,0.8183868789843239
DEE0,0.6315698812989684
DEF0,0.38640237861976173
DEG0,0.556477981313723
DK01,0.5270871738691862
DK02,0.595028221589532
DK03,0.41794767724917997
DK04,0.43995177636010474
ES41,2.9223809762958366
ES42,6.117510856521299
HU23,1.3521610674931526
HU31,1.0053231923149513
HU32,1.0879726842353368
HU33,1.2629394164146315
IE04,0.5199834292690322
EE00,0.14139680472776148
EL30,4.505200124614242
EL41,3.5384782349190393
EL43,5.884826421487169
EL51,2.367764134463542
EL52,2.1430941882176446
FI20,0.6883181700355118
FR10,0.7517653788858712
FRB0,0.8438459169218258
FRC1,0.6957607946753003
FRC2,0.7268479964482455
FRD1,0.7941441241434709
FRD2,0.8357012883025868
FRE1,0.8117578583826873
FRE2,0.7664089544301285
FRF1,0.5314211285949114
NL13,0.5538172037684344
NL21,0.5405278223075757
NL22,0.5539215807227669
NL23,0.5618975120219231
NL31,0.6113359741672364
NL32,0.6961535143427305
ITG2,3.972003428109673
ITH1,0.6168217041595848
ITH2,1.0605269706456375
FRI3,1.1732522656282727
FRJ1,3.1341828018901574
FRJ2,1.5967533812464747
FRK1,1.0985649979707661
FRK2,1.031027373847643
FRL0,3.1917573390032326
FRM0,2.6838003063943887
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,2.440543912382449
TR32,3.2884173050050896
TR33,3.0121344997250126
HR03,1.1880309064272403
HR02,1.1061842197557301
HU11,1.216228559935715
HU12,1.264678439221351
HU21,1.3744172149435012
HU22,1.5284037887568316
PT16,4.1739999624330775
PT17,5.699467447352831
FRF2,0.6210554123627082
FRF3,0.5452605899337377
FRG0,0.9827801753100576
FRH0,1.038925226843796
FRI1,1.5040163133332305
FRI2,1.1906212959328104
ITC4,1.6518943485048594
ITF1,1.6510148497972854
ITF2,2.086188123128349
ITF3,1.5464764455909394
ITF4,3.8318413084193357
ITF5,2.9953923951956885
ITF6,2.071789912863275
ITG1,4.413485628717935
LT01,0.15583440688589786
LT02,0.19240541090654137
LU00,0.38900453993556694
PL22,0.6417616351896893
PL41,0.5240551272462648
PL42,0.3821865707587961
PT18,6.524072841822579
PT20,0.0
PT30,0.0
RO11,0.623649873657948
RO12,0.6863370803605424
RO21,1.6035248896537082
RO22,2.4528023787502353
RO31,2.121019532402428
RO32,1.9666377115800104
ITH3,1.6077767064279451
ITH4,1.0414520006061372
ITH5,2.2027524680928345
ITI1,1.6910506484434904
ITI2,1.4767799771351784
ITI3,1.9123632337618701
ITI4,1.5540981922510335
LI00,0.34829135430839964
FI1D,0.08321838223411848
TR82,1.9811367735639325
TR83,2.3440281530341003
TR90,1.0387564589638636
TRA1,1.1586447590971265
TRA2,0.38612910591735705
PL43,0.5176264108823444
PL51,0.672341366333447
PL52,0.7686576756820839
PL61,0.41421910719228855
PL62,0.26060430762822184
PL63,0.3487740622293483
PL71,0.614043272358701
PL72,0.5981933471714364
PL81,0.44012203271490047
PL82,0.5101398279637828
PL84,0.2870862899847628
PL91,0.42594643635790613
PL92,0.43309205053881167
PT11,2.1784688895520525
PT15,8.431617178065599
TRB1,2.361267035911477
TRB2,1.3618286071563395
TRC1,4.653846303787949
RS12,1.3999550383622807
RS21,1.0736316550956315
RS22,1.3392231027355939
SE11,0.36184042628185936
SE12,0.28285249453712646
NL33,0.7012114054543263
NL34,0.7785378972605741
NL41,0.658550944819375
NL42,0.7028324757132131
PL21,0.5704985639818391
UKM6,0.3956705382642919
TR22,2.5637320855580183
TRC2,5.44629508526181
TRC3,6.230627121699659
UKC1,0.6138957317528856
UKC2,0.6270516241777019
UKD1,0.2841520914663042
UKD3,0.4607854983906082
UKD4,0.3800655746891016
UKD6,0.5438973424741018
UKD7,0.5676244166235211
UKE1,1.2287457675197646
UKE2,0.7360467500483651
UKE3,0.9832775915083638
RO41,2.062606588930537
RO42,0.976919795148517
RS11,1.3634902105086244
TR41,2.8391453140724012
TR42,1.3986113306198693
TR51,3.3788131503824466
TR52,4.546888331948428
TR61,3.183594779051749
TR62,4.0039799104644445
TR63,3.804817880422611
TR71,3.846940923177305
TR72,2.753214997995767
TR81,1.231473827639215
UKK1,0.8956358065559619
UKK2,0.9740704856211824
UKK3,1.1124087332400807
UKK4,0.9598775630578346
UKL1,0.5129794377194048
UKL2,0.48717001582870717
UKM5,0.5102130291631548
UKM7,0.35615489786215426
UKM8,0.31193679010489433
UKM9,0.4441327837718257
UKN0,0.4973411782031119
SE21,0.3095003983917718
SE22,0.3099008309177748
SE23,0.20229574256927085
SE31,0.15965954135387253
SE32,0.09978572179279332
SE33,0.09187933287921352
SI03,1.1155800367367585
SI04,0.9078208948934109
SK01,1.3448741464701084
SK02,0.9719983195878444
SK03,0.42427375808475204
SK04,0.39670919299364504
TR10,2.0775188464774015
TR21,2.832064621517087
UKE4,0.7387323715451977
UKF1,0.9811888181448762
UKF2,1.073303807712653
UKF3,1.3029764094799732
UKG1,0.8241370974786881
UKG2,0.6892263385391563
UKG3,0.8050707712608003
UKH1,1.2464120933161837
UKH2,1.12693425535998
UKH3,1.142816742173709
UKI3,0.8609507146350064
UKI4,0.9627161088339404
UKI5,1.0054329762606478
UKI6,0.9315072748954227
UKI7,0.8729372430517346
UKJ1,0.9834260726439988
UKJ2,1.007237000950822
UKJ3,0.9391998270426555
UKJ4,1.0570748649035198
NO09,0.15496918497865936
NO0A,0.1391933241057973
NO0B,0.0
HR05,1.0912396546456031
HR06,1.2786901898339627
NO02,0.07636461903799696
NO06,0.14291570128854503
NO07,0.10899660720208536
NO08,0.11768416797659122
