nuts,June Fire Weather Index (-) (1981 - 2010)
UKC1,5.308237515409753
UKC2,4.653707051530044
UKD1,3.580651333996901
UKD3,4.63457899371446
UKD4,3.795777839260174
UKD6,5.2397433029214975
UKD7,4.324019653879168
UKE1,6.38891240977664
UKE2,5.458053023235985
UKE3,7.15497247359922
RO41,12.064249107203878
RO42,8.535543094016104
RS11,12.402078196119504
TR41,23.323420480311732
TR42,12.326581750945424
TR51,28.55295265585393
TR52,32.59047187236175
TR61,25.17062267513708
TR62,21.80910242235875
TR63,31.735249000399907
TR71,30.942716153349703
TR72,21.990827044510553
TR81,7.358117292548377
UKK1,7.731567838662746
UKK2,6.6177505041158255
UKK3,5.637123421955493
UKK4,5.409797996952634
UKL1,4.4209940309032785
UKL2,5.371192664832044
UKM5,3.338340869115178
UKM7,3.962115764111408
UKM8,3.8507823670713797
UKM9,3.6687623834513374
UKN0,4.093713633940303
SE21,9.37227862059953
SE22,9.031536480469729
SE23,8.724612812305438
SE31,8.646940465329527
SE32,7.671689669868293
SE33,7.058476215077001
SI03,6.236038865765029
SI04,5.189097832922832
SK01,12.908573397749372
SK02,11.024968322986592
SK03,6.322156117321666
SK04,6.501035804140692
TR10,16.419293023903293
TR21,19.901993563034758
UKE4,6.032556307837774
UKF1,7.4016739958387365
UKF2,8.722729325543689
UKF3,7.8526492702573
UKG1,7.531435697125501
UKG2,6.28002458539396
UKG3,7.51657935343598
UKH1,7.846938431707683
UKH2,9.331529373136881
UKH3,8.183158671199505
UKI3,9.584815039960855
UKI4,9.584815039960855
UKI5,9.319482108489527
UKI6,9.061111952219875
UKI7,9.308646691294856
UKJ1,8.791108380500383
UKJ2,7.817341933952357
UKJ3,8.201887516035649
UKJ4,7.236066888758462
NO09,7.611837880663464
NO0A,3.7970518621018146
NO0B,0.5297474928934368
HR05,8.664777642924713
HR06,8.9252285304482
NO02,6.3980290635844055
NO06,4.1388445874899915
NO07,3.1774494353395317
NO08,7.701070932831473
