nuts,June Fire Weather Index (-) (1981 - 2010)
DE50,7.116358900113759
DE60,7.765615806479949
DE71,8.051732152009457
DE72,6.63794144806944
DE73,6.1308214796562925
DE80,8.882788999607264
DE91,7.2269847548956765
BG41,8.526798777534598
BG42,12.243739648806086
CH01,2.618089163902927
AT32,1.8162716290706624
AT33,1.576047452953031
AT34,2.045851076238095
BE10,7.513830973615563
BE23,7.528707765198592
BE24,7.414368770272681
BE25,7.178853179895455
BE31,7.069484059257708
BE32,7.0401510537592795
BE33,5.809429574605575
BE34,5.9069709235698244
BE35,5.970116968262911
BG31,12.478309043565394
BG32,11.295487846235877
BG33,11.273295469596757
BG34,11.703869743586184
DE92,7.511905385669962
DE93,8.542157909912483
DE94,7.033214085392375
CZ07,6.398720948920381
CZ08,5.236749159865343
AL01,9.193356915151286
AL02,15.017222292504808
AL03,15.945781485169237
AT11,10.554440070689694
AT12,8.318948274563484
AT13,11.727766572374918
AT21,2.5667864167920853
AT22,3.6611058698592442
AT31,4.077190155840923
DK05,8.161052235449638
BE21,7.928732141327423
BE22,7.2400091441296865
ES43,30.779441504937797
ES51,18.433189513775552
ES52,27.140564418189427
ES53,17.83751506903642
ES61,31.393332144693325
ES62,34.898829209941226
ES63,21.756897380678332
ES64,31.908847504116554
CH02,3.5685236026729705
CH03,4.867747149043052
CH04,4.671176005023849
CH05,2.809888424454772
CH06,2.808935321955009
CH07,4.474623484216551
CY00,29.281580751885354
CZ01,8.584591654463162
CZ02,8.29191542020467
CZ03,6.066999112653259
CZ04,7.523370509425371
CZ05,7.047570728617648
CZ06,8.600661225012967
DE40,11.056682432240741
EL53,18.127831368025262
EL54,15.547906084310354
EL61,19.933117471831256
EL62,12.858644491264622
EL63,21.38488517735128
ES70,24.87725059270408
ITC1,7.392192834647214
ITC2,3.341515165033025
DE11,6.308230285995994
DE12,6.845202174141923
DE13,5.370730511672597
DE14,3.979717589203683
DE21,4.1228185789755205
DE22,5.618257791563671
DE23,6.421143485884641
DE24,6.772071715463123
