nuts,Annual Fire Weather Index (-) ensemble median - RCP4.5 - (2071 - 2100)
DE50,5.394522380341678
DE60,6.1651749670242575
DE71,7.435762613584062
DE72,6.098165223160494
DE73,5.621946967950838
DE80,6.184317357044681
DE91,5.872669895715531
BG41,10.239395240835734
BG42,13.825301983615253
CH01,3.021270066932971
AT32,2.4304804070502524
AT33,2.1679160583328376
AT34,2.4200087726458444
BE10,5.9919513160796605
BE23,5.985809001204624
BE24,6.064219042598008
BE25,6.202133137406377
BE31,5.920460871059675
BE32,6.06284538941639
BE33,5.127751344390569
BE34,5.414426564160474
BE35,5.429758008543573
BG31,13.722261346469166
BG32,12.83850696088134
BG33,13.328115088319596
BG34,13.640926185892939
DE92,6.005168076253481
DE93,6.295184865606501
DE94,5.802220213899905
CZ07,6.3548065273528485
CZ08,5.497889609630189
AL01,11.3200929243146
AL02,14.761475207572945
AL03,15.889010051949558
AT11,8.826054483591628
AT12,7.470029792155208
AT13,10.503625879113798
AT21,3.186603895193123
AT22,3.6939596488667013
AT31,3.981523416218137
DK05,4.790475251888906
BE21,6.372127917185318
BE22,6.371411825786274
ES43,26.02063555723309
ES51,16.26337052243774
ES52,24.823718087024886
ES53,18.583535448252203
ES61,27.695272377661812
ES62,28.695955472384178
ES63,0.0
ES64,0.0
CH02,3.6469378214238306
CH03,4.669896644338809
CH04,4.505266631898591
CH05,3.074488968233028
CH06,2.792311925085118
CH07,3.9836157867264688
CY00,29.88698886245131
CZ01,7.477983719431067
CZ02,7.2711798866143225
CZ03,5.83947838766589
CZ04,6.554783673470567
CZ05,6.141623577925775
CZ06,7.677739954512998
DE40,7.182540604684209
EL53,17.024045900065005
EL54,15.843815084830663
EL61,18.573974633760923
EL62,0.0
EL63,19.683235256806597
ES70,0.0
ITC1,8.10967821344223
ITC2,3.9912527497822667
DE11,6.41255444036478
DE12,6.884874122111587
DE13,5.467418950056117
DE14,4.418609895244112
DE21,4.247736747894536
DE22,5.33591018539172
DE23,5.964119788545848
DE24,6.045004741717069
DE25,6.484306816889657
DE26,6.636691517910911
DE27,4.471473212474115
DE30,7.674966741580662
EL42,22.365173692777198
LV00,4.792713599795907
ME00,9.320028441724393
MK00,15.24772374846427
MT00,0.0
NL11,5.11902135979724
NL12,4.802269117322567
EL64,21.54503839182974
EL65,23.328096296848475
ES11,11.580432701654338
ES12,5.985416495723338
ES13,6.35606107488023
ES21,8.37042589956982
ES22,14.74805269152599
ES23,15.318703349562144
ES24,21.813422989976587
ES30,24.83563840934683
IE05,3.7534214075156402
IE06,3.5579853426241312
IS00,1.977461830435139
ITC3,7.9507231497964765
FI19,3.9016915900559193
FI1B,5.072363733938105
FI1C,4.646680732723132
DEA1,6.2415687962906645
DEA2,5.773823329241774
DEA3,6.3389758498027815
DEA4,5.742544787282425
DEA5,5.393018581855995
DEB1,6.372828136459737
DEB2,6.075794211212651
DEB3,7.80235399811036
DEC0,6.821848030348473
DED2,6.3013528338238745
DED4,5.554296188730019
DED5,7.243847801883188
DEE0,6.8466435789419515
DEF0,5.631049573442554
DEG0,6.020814251753927
DK01,5.941986850434532
DK02,5.768270174331645
DK03,4.7925993787167025
DK04,4.573398244743209
ES41,19.313620564454553
ES42,27.37857203679912
HU23,10.747813364594313
HU31,10.89754002372303
HU32,11.630965738869904
HU33,11.825498242997448
IE04,2.792425005127086
EE00,4.386104004605524
EL30,30.800401979345768
EL41,25.96137743987976
EL43,30.269267219341565
EL51,17.570044010139295
EL52,16.285252749215793
FI20,4.871845817903747
FR10,9.28565370227396
FRB0,10.177489657705511
FRC1,8.159404802192734
FRC2,6.67095521886908
FRD1,7.694121412650189
FRD2,7.569249472036977
FRE1,6.58446949673604
FRE2,7.477240229395038
FRF1,7.133570657468755
NL13,5.690033271531414
NL21,6.180453486735677
NL22,6.172301153726816
NL23,5.760789193238659
NL31,5.949237674377624
NL32,5.297905982387936
ITG2,21.903159650536377
ITH1,3.424847286403615
ITH2,4.255241881147081
FRI3,11.059221655437494
FRJ1,16.13962015848699
FRJ2,10.09674652907714
FRK1,8.413324530571542
FRK2,9.112403840343868
FRL0,16.09969141029027
FRM0,13.440609425449098
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,28.849300430962515
TR32,28.749761457380522
TR33,26.742882659454672
HR03,10.899228894937744
HR02,9.968545242707515
HU11,11.462974692368846
HU12,11.663441267672793
HU21,10.983158000630695
HU22,10.190758877265656
PT16,20.870235560436022
PT17,22.27622468471411
FRF2,7.679838496762933
FRF3,7.177644490395451
FRG0,10.776972550473065
FRH0,8.74920521086989
FRI1,9.75440346800583
FRI2,8.294058776696382
ITC4,8.519655415648955
ITF1,11.824042522240852
ITF2,15.21276304562475
ITF3,15.905711161171995
ITF4,21.840720109646277
ITF5,19.783141967222836
ITF6,14.887927800170687
ITG1,22.798435154799627
LT01,5.247264490897987
LT02,5.490469795122914
LU00,6.146330474826194
PL22,6.275845700061063
PL41,7.922812332135761
PL42,5.892547136982181
PT18,25.229118895401072
PT20,0.0
PT30,0.0
RO11,6.981919854312788
RO12,5.743475752669323
RO21,8.666891627440627
RO22,13.861758275849725
RO31,12.002594988197922
RO32,11.888635607607407
ITH3,7.725453242243667
ITH4,5.608543665212544
ITH5,11.863567490568778
ITI1,12.496107735500065
ITI2,14.941580802933954
ITI3,12.834992326433682
ITI4,14.384767529558108
LI00,2.9711474764441466
FI1D,2.6900624594744778
TR82,16.856975537251042
TR83,18.295639290796114
TR90,8.691914375704547
TRA1,18.04948228484033
